stage,schedule,fill_model,fold,train_start,train_end_exclusive,test_start,test_end_exclusive,param_id,parameter_set,a,b,c,d,direction,selection_mode,composite_score,train_total_pnl_cents,train_daily_sharpe,train_top_trade_removed_pnl_cents,train_profit_factor,train_max_drawdown_cents,train_neighborhood_count,train_consistency_gate_pass,train_top_trade_gate_pass,train_neighborhood_gate_pass,winner_is_top_composite,test_total_pnl_cents,test_daily_sharpe,test_trades,test_win_rate,test_profit_factor,test_max_drawdown_cents,test_top_trade_removed_pnl_cents
2,3m_train_1m_test,mid_dynamic_cost,3m_train_1m_test_2025-04,2025-01-01,2025-04-01,2025-04-01,2025-05-01,a300_b0.9_c3600_d7200_reversal,a=300s | b=0.9x sigma | c=3600s | d=7200s | reversal,300,0.9,3600,7200,reversal,strict_all_gates,0.5499999999999999,261.4212658691406,3.9709156195557265,164.64386596679685,1.920458457734793,-74.75374206542966,3,True,True,True,True,-371.469835357666,-8.703166562495861,11,0.2727272727272727,0.14475882515714303,-385.00132705688475,-419.4641421508789
2,3m_train_1m_test,actual_bid_ask,3m_train_1m_test_2025-07,2025-04-01,2025-07-01,2025-07-01,2025-08-01,a60_b0.9_c900_d14400_continuation,a=60s | b=0.9x sigma | c=900s | d=14400s | continuation,60,0.9,900,14400,continuation,strict_all_gates,0.6005781815203055,979.9991607666016,4.229611550649487,659.9994659423828,2.1965803725175936,-222.99957275390625,4,True,True,True,True,86.99951171875,2.6247937242338937,14,0.5714285714285714,1.5437448740201034,-69.000244140625,-1.0009765625
2,3m_train_1m_test,actual_bid_ask,3m_train_1m_test_2025-08,2025-05-01,2025-08-01,2025-08-01,2025-09-01,a300_b0.3_c1800_d14400_reversal,a=300s | b=0.3x sigma | c=1800s | d=14400s | reversal,300,0.3,1800,14400,reversal,strict_all_gates,1.5772733724267118,579.998779296875,3.0947857739382703,368.99871826171875,1.71165381139137,-251.00021362304688,5,True,True,True,True,-84.99832153320312,-1.6871100217160477,14,0.35714285714285715,0.7500039269101052,-295.9991455078125,-211.99874877929688
2,3m_train_1m_test,actual_bid_ask,3m_train_1m_test_2025-09,2025-06-01,2025-09-01,2025-09-01,2025-10-01,a300_b0.5_c1800_d14400_reversal,a=300s | b=0.5x sigma | c=1800s | d=14400s | reversal,300,0.5,1800,14400,reversal,strict_all_gates,1.539073717832194,806.0020446777344,5.000333097353028,595.0019836425781,2.5773032258449815,-186.00006103515625,6,True,True,True,True,196.9970703125,3.8790219404252553,13,0.46153846153846156,1.9849778367779787,-64.00070190429688,60.99700927734375
2,3m_train_1m_test,actual_bid_ask,3m_train_1m_test_2025-10,2025-07-01,2025-10-01,2025-10-01,2025-11-01,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,120,0.9,900,14400,continuation,strict_all_gates,1.7158381897476476,847.0046997070312,7.021991286671586,711.004638671875,3.4479857114506847,-92.999267578125,4,True,True,True,True,-24.999618530273438,-0.5964379552935203,15,0.26666666666666666,0.8987873321616437,-121.00028991699219,-123.99978637695312
2,3m_train_1m_test,actual_bid_ask,3m_train_1m_test_2025-11,2025-08-01,2025-11-01,2025-11-01,2025-12-01,a120_b0.9_c3600_d7200_reversal,a=120s | b=0.9x sigma | c=3600s | d=7200s | reversal,120,0.9,3600,7200,reversal,strict_all_gates,1.5133144819751454,497.00164794921875,5.310420280888174,381.0020446777344,2.492503459589248,-133.99887084960938,6,True,True,True,True,57.999420166015625,2.7074908893045873,13,0.46153846153846156,1.5321046976765347,-51.00059509277344,9.999465942382812
2,3m_train_1m_test,actual_bid_ask,3m_train_1m_test_2025-12,2025-09-01,2025-12-01,2025-12-01,2026-01-01,a300_b0.3_c3600_d14400_reversal,a=300s | b=0.3x sigma | c=3600s | d=14400s | reversal,300,0.3,3600,14400,reversal,strict_all_gates,1.4376498431442268,684.0000152587891,5.103019640046776,547.9999542236328,2.3598413146223525,-65.99960327148438,4,True,True,True,True,0.0,0.0,0,0.0,0.0,0.0,0.0
2,3m_train_1m_test,actual_bid_ask,3m_train_1m_test_2026-01,2025-10-01,2026-01-01,2026-01-01,2026-02-01,a120_b0.7_c3600_d14400_reversal,a=120s | b=0.7x sigma | c=3600s | d=14400s | reversal,120,0.7,3600,14400,reversal,strict_all_gates,0.7637858858577086,411.00196838378906,5.429616171251797,292.00172424316406,2.3089284911599517,-93.99986267089844,6,True,True,True,True,31.36348098754883,15.707285459424769,5,0.8,8.048534218363244,0.0,19.914342041015626
2,3m_train_1m_test,actual_bid_ask,3m_train_1m_test_2026-02,2025-11-01,2026-02-01,2026-02-01,2026-03-01,a120_b0.7_c3600_d7200_reversal,a=120s | b=0.7x sigma | c=3600s | d=7200s | reversal,120,0.7,3600,7200,reversal,strict_all_gates,0.9925872776951674,196.36325210571286,6.4752139051970685,123.36329788208005,3.325213179333899,-26.999664306640625,4,True,True,True,True,0.0,0.0,0,0.0,0.0,0.0,0.0
2,3m_train_1m_test,actual_bid_ask,3m_train_1m_test_2026-03,2025-12-01,2026-03-01,2026-03-01,2026-04-01,a60_b0.5_c900_d14400_reversal,a=60s | b=0.5x sigma | c=900s | d=14400s | reversal,60,0.5,900,14400,reversal,fallback_no_neighbor_gate_survivors,1.1394388688011376,239.09170989990236,15.28036210731341,158.60510833740236,9.130588503207557,-29.406445770263673,0,True,True,False,True,0.0,0.0,0,0.0,0.0,0.0,0.0
2,6m_train_1m_test,actual_bid_ask,6m_train_1m_test_2025-07,2025-01-01,2025-07-01,2025-07-01,2025-08-01,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,120,0.9,900,14400,continuation,strict_all_gates,1.4638537451163443,1089.0022277832031,3.081565635875791,768.0023193359375,1.735813112623646,-258.0009460449219,5,True,True,True,True,124.00131225585938,3.814418904740718,14,0.6428571428571429,1.9538596069087346,-29.000091552734375,36.000823974609375
2,6m_train_1m_test,actual_bid_ask,6m_train_1m_test_2025-08,2025-02-01,2025-08-01,2025-08-01,2025-09-01,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,120,0.9,900,14400,continuation,strict_all_gates,1.2352026634368551,983.0055236816406,2.9415143444385206,662.005615234375,1.7346839512459227,-258.0009460449219,4,True,True,True,True,173.00262451171875,4.100969817264733,14,0.5,2.1233929978053117,-92.999267578125,52.001953125
2,6m_train_1m_test,actual_bid_ask,6m_train_1m_test_2025-09,2025-03-01,2025-09-01,2025-09-01,2025-10-01,a60_b0.9_c900_d14400_continuation,a=60s | b=0.9x sigma | c=900s | d=14400s | continuation,60,0.9,900,14400,continuation,strict_all_gates,1.201783528254855,1157.999038696289,3.213766455569286,837.9993438720703,1.8030505404991433,-222.99957275390625,4,True,True,True,True,388.0012512207031,10.263589002202773,13,0.6153846153846154,6.105265271294484,-47.0001220703125,286.0008239746094
2,6m_train_1m_test,actual_bid_ask,6m_train_1m_test_2025-10,2025-04-01,2025-10-01,2025-10-01,2025-11-01,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,120,0.9,900,14400,continuation,strict_all_gates,1.5049907949071133,1693.0076599121094,4.777759829667244,1372.0077514648438,2.4494942418592225,-258.0009460449219,5,True,True,True,True,-24.999618530273438,-0.5964379552935203,15,0.26666666666666666,0.8987873321616437,-121.00028991699219,-123.99978637695312
2,6m_train_1m_test,actual_bid_ask,6m_train_1m_test_2025-11,2025-05-01,2025-11-01,2025-11-01,2025-12-01,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,120,0.9,900,14400,continuation,strict_all_gates,1.617720181657893,1010.0059509277344,3.660808728887317,874.0058898925781,1.91485975469857,-258.0009460449219,4,True,True,True,True,47.000885009765625,1.2566850765271758,11,0.6363636363636364,1.208892822265625,-175.9998321533203,-4.9991607666015625
2,6m_train_1m_test,actual_bid_ask,6m_train_1m_test_2025-12,2025-06-01,2025-12-01,2025-12-01,2026-01-01,a300_b0.7_c1800_d14400_reversal,a=300s | b=0.7x sigma | c=1800s | d=14400s | reversal,300,0.7,1800,14400,reversal,strict_all_gates,1.4230503599555768,1229.9964904785156,4.296006897516885,1018.9964294433594,2.1222565404826694,-249.00054931640625,5,True,True,True,True,0.0,0.0,0,0.0,0.0,0.0,0.0
2,6m_train_1m_test,actual_bid_ask,6m_train_1m_test_2026-01,2025-07-01,2026-01-01,2026-01-01,2026-02-01,a120_b0.9_c3600_d7200_reversal,a=120s | b=0.9x sigma | c=3600s | d=7200s | reversal,120,0.9,3600,7200,reversal,strict_all_gates,1.3239562355789738,648.0026245117188,4.5691210602163785,532.0030212402344,2.1781906758765337,-133.99887084960938,5,True,True,True,True,46.47609161376954,4.44430520347882,3,0.6666666666666666,2.384959040416087,-33.557737274169924,-29.0037678527832
2,6m_train_1m_test,actual_bid_ask,6m_train_1m_test_2026-02,2025-08-01,2026-02-01,2026-02-01,2026-03-01,a300_b0.3_c3600_d14400_reversal,a=300s | b=0.3x sigma | c=3600s | d=14400s | reversal,300,0.3,3600,14400,reversal,strict_all_gates,1.5809709001066783,869.3708273315431,4.472199894271489,733.3707662963868,2.120322922686529,-204.0008544921875,4,True,True,True,True,0.0,0.0,0,0.0,0.0,0.0,0.0
2,6m_train_1m_test,actual_bid_ask,6m_train_1m_test_2026-03,2025-09-01,2026-03-01,2026-03-01,2026-04-01,a300_b0.3_c3600_d14400_reversal,a=300s | b=0.3x sigma | c=3600s | d=14400s | reversal,300,0.3,3600,14400,reversal,strict_all_gates,1.3514642922958433,794.3708273315431,5.631009527042528,658.3707662963868,2.579266441576722,-65.99960327148438,4,True,True,True,True,0.0,0.0,0,0.0,0.0,0.0,0.0
