stage,schedule,fill_model,fold,train_start,train_end_exclusive,test_start,test_end_exclusive,param_id,parameter_set,a,b,c,d,direction,total_pnl_cents,trades,daily_sharpe,win_rate,profit_factor,max_drawdown_cents,top_trade_pnl_cents,top_trade_removed_pnl_cents,subfold_1_pnl_cents,subfold_2_pnl_cents,subfold_3_pnl_cents,profitable_train_subfolds,consistency_gate_pass,top_trade_gate_pass,neighborhood_count,neighborhood_gate_pass,survives_base_gates,survives_all_gates,eligible_for_selection,selection_mode,z_sharpe,z_top_trade_removed_pnl,z_profit_factor,z_neighborhood_count,z_drawdown,composite_score,is_winner,winner_is_top_composite,rank,elimination_reason,stage2_source
1,3m_train_1m_test,mid_dynamic_cost,3m_train_1m_test_2025-04,2025-01-01,2025-04-01,2025-04-01,2025-05-01,a120_b0.5_c3600_d14400_continuation,a=120s | b=0.5x sigma | c=3600s | d=14400s | continuation,120,0.5,3600,14400,continuation,377.42960000000335,63,2.0126210729798304,0.5873015873015873,1.37835672531973,-204.66079999999704,136.40299999999817,241.02660000000517,130.07600000000372,126.88920000000329,120.46439999999646,3,True,True,3,True,True,True,True,strict_all_gates,1.0,1.0000000000000002,1.0,0.0,-1.0,0.55,True,True,1.0,survived,
1,3m_train_1m_test,actual_bid_ask,3m_train_1m_test_2025-08,2025-05-01,2025-08-01,2025-08-01,2025-09-01,a60_b0.3_c3600_d14400_reversal,a=60s | b=0.3x sigma | c=3600s | d=14400s | reversal,60,0.3,3600,14400,reversal,632.9999999999999,64,2.550119543221261,0.53125,1.5542907180385288,-234.99999999999943,221.0000000000008,411.9999999999991,-206.99999999999935,727.0000000000009,112.99999999999812,2,True,True,3,True,True,True,True,strict_all_gates,0.05305782481527872,0.602073583565414,-0.023583754218635455,-1.1879987938181635,0.5396394886772778,0.06564428443200893,False,True,21.0,survived,
1,3m_train_1m_test,actual_bid_ask,3m_train_1m_test_2025-08,2025-05-01,2025-08-01,2025-08-01,2025-09-01,a300_b0.7_c1800_d14400_reversal,a=300s | b=0.7x sigma | c=1800s | d=14400s | reversal,300,0.7,1800,14400,reversal,599.0000000000066,64,2.536019896624516,0.546875,1.5391539153915479,-245.99999999999653,210.99999999999994,388.00000000000665,-224.99999999999574,485.00000000000085,339.0000000000015,2,True,True,3,True,True,True,True,strict_all_gates,0.03555631224050267,0.4598753000098045,-0.0902209760957506,-1.1879987938181635,0.7466080462782304,0.045893960129249345,False,True,22.0,survived,
1,3m_train_1m_test,actual_bid_ask,3m_train_1m_test_2025-08,2025-05-01,2025-08-01,2025-08-01,2025-09-01,a120_b0.3_c3600_d1800_reversal,a=120s | b=0.3x sigma | c=3600s | d=1800s | reversal,120,0.3,3600,1800,reversal,323.000000000004,64,3.3085644289162874,0.546875,1.7654028436019094,-121.99999999999918,104.99999999999972,218.00000000000426,6.999999999998607,158.00000000000267,158.00000000000267,3,True,True,4,True,True,True,True,strict_all_gates,0.9944950880251642,-0.547362541842761,0.9058017890963704,-0.19092837757791908,-1.5864920575876171,0.030765094036484086,False,True,23.0,survived,
1,3m_train_1m_test,actual_bid_ask,3m_train_1m_test_2025-08,2025-05-01,2025-08-01,2025-08-01,2025-09-01,a120_b0.5_c1800_d7200_reversal,a=120s | b=0.5x sigma | c=1800s | d=7200s | reversal,120,0.5,1800,7200,reversal,385.00000000000364,64,2.2339337061447013,0.546875,1.4794520547945262,-198.9999999999995,132.00000000000074,253.0000000000029,-27.000000000002444,392.0000000000073,19.999999999998863,2,True,True,6,True,True,True,True,strict_all_gates,-0.3394151613402068,-0.33999004499077323,-0.35304835277914987,1.8032124549025697,-0.1377121543805622,0.010045732511673296,False,True,24.0,survived,
1,3m_train_1m_test,actual_bid_ask,3m_train_1m_test_2025-08,2025-05-01,2025-08-01,2025-08-01,2025-09-01,a60_b0.3_c900_d7200_reversal,a=60s | b=0.3x sigma | c=900s | d=7200s | reversal,60,0.3,900,7200,reversal,518.000000000002,64,2.831398928483594,0.640625,1.6771241830065398,-176.9999999999996,159.00000000000034,359.0000000000017,38.000000000000966,417.0000000000016,62.999999999999545,3,True,True,3,True,True,True,True,strict_all_gates,0.4022023699934893,0.28805237404669287,0.5171698679236718,-1.1879987938181635,-0.5516492695825741,0.009302075188160105,False,True,25.0,survived,
1,3m_train_1m_test,actual_bid_ask,3m_train_1m_test_2025-08,2025-05-01,2025-08-01,2025-08-01,2025-09-01,a60_b0.7_c1800_d14400_reversal,a=60s | b=0.7x sigma | c=1800s | d=14400s | reversal,60,0.7,1800,14400,reversal,585.9999999999964,64,2.3526011798126785,0.53125,1.5073593073593037,-257.9999999999999,221.0000000000008,364.99999999999557,-222.0000000000021,503.99999999999915,303.9999999999992,2,True,True,3,True,True,True,True,strict_all_gates,-0.19211641393071638,0.3236019449355701,-0.2301913779932178,-1.1879987938181635,0.9723919272975738,-0.04360417462239352,False,True,26.0,survived,
1,3m_train_1m_test,actual_bid_ask,3m_train_1m_test_2025-08,2025-05-01,2025-08-01,2025-08-01,2025-09-01,a120_b0.3_c900_d14400_reversal,a=120s | b=0.3x sigma | c=900s | d=14400s | reversal,120,0.3,900,14400,reversal,453.0000000000022,64,1.8723218794608498,0.53125,1.3838983050847478,-290.99999999999824,210.99999999999994,242.00000000000227,-136.99999999999974,302.00000000000387,287.9999999999981,2,True,True,5,True,True,True,True,strict_all_gates,-0.7882742081588872,-0.4051642582871185,-0.7737076273367686,0.8061420386623253,1.5932976001005639,-0.09391352530552766,False,True,27.0,survived,
1,3m_train_1m_test,actual_bid_ask,3m_train_1m_test_2025-08,2025-05-01,2025-08-01,2025-08-01,2025-09-01,a300_b0.3_c900_d14400_reversal,a=300s | b=0.3x sigma | c=900s | d=14400s | reversal,300,0.3,900,14400,reversal,471.0000000000001,64,1.9791091564839274,0.53125,1.401877133105802,-296.0000000000008,210.99999999999994,260.00000000000017,-144.99999999999673,302.9999999999987,312.9999999999981,2,True,True,4,True,True,True,True,strict_all_gates,-0.6557220297179781,-0.29851554562039023,-0.6945588678615671,-0.19092837757791908,1.6873742171919788,-0.15106244955761705,False,True,28.0,survived,
1,3m_train_1m_test,actual_bid_ask,3m_train_1m_test_2025-08,2025-05-01,2025-08-01,2025-08-01,2025-09-01,a60_b0.5_c1800_d7200_reversal,a=60s | b=0.5x sigma | c=1800s | d=7200s | reversal,60,0.5,1800,7200,reversal,395.00000000000097,64,2.16674416125186,0.546875,1.4840686274509802,-255.00000000000256,159.00000000000034,236.00000000000063,-33.00000000000054,418.0000000000021,9.999999999999432,2,True,True,4,True,True,True,True,strict_all_gates,-0.42281573856510135,-0.44071382917604185,-0.33272466992520805,-0.19092837757791908,0.915945957042804,-0.17817924243258934,False,True,29.0,survived,
1,3m_train_1m_test,actual_bid_ask,3m_train_1m_test_2025-08,2025-05-01,2025-08-01,2025-08-01,2025-09-01,a60_b0.3_c3600_d1800_reversal,a=60s | b=0.3x sigma | c=3600s | d=1800s | reversal,60,0.3,3600,1800,reversal,282.9999999999984,64,3.0991596932081142,0.546875,1.665882352941175,-148.0000000000004,82.99999999999983,199.99999999999858,-26.00000000000051,181.00000000000023,127.99999999999869,2,True,True,3,True,True,True,True,strict_all_gates,0.7345666146363103,-0.6540112545095355,0.4676796062190344,-1.1879987938181635,-1.0972936487124867,-0.21577475468323315,False,True,30.0,survived,
