schedule,fill_model,date,pnl_cents,trades,month,cum_pnl_cents
3m_train_1m_test,actual_bid_ask,2025-09-01,-45.000457763671875,1,2025-09,-210.99777221679688
3m_train_1m_test,actual_bid_ask,2025-09-02,-59.000396728515625,1,2025-09,-269.9981689453125
3m_train_1m_test,actual_bid_ask,2025-09-03,98.99978637695312,1,2025-09,-170.99838256835938
3m_train_1m_test,actual_bid_ask,2025-09-04,-13.99993896484375,1,2025-09,-184.99832153320312
3m_train_1m_test,actual_bid_ask,2025-09-08,17.999267578125,1,2025-09,-166.99905395507812
3m_train_1m_test,actual_bid_ask,2025-09-10,-1.000213623046875,1,2025-09,-167.999267578125
3m_train_1m_test,actual_bid_ask,2025-09-12,136.00006103515625,1,2025-09,-31.99920654296875
3m_train_1m_test,actual_bid_ask,2025-09-15,-18.000030517578125,1,2025-09,-49.999237060546875
3m_train_1m_test,actual_bid_ask,2025-09-16,16.99981689453125,1,2025-09,-32.999420166015625
3m_train_1m_test,actual_bid_ask,2025-09-17,-45.000457763671875,1,2025-09,-77.9998779296875
3m_train_1m_test,actual_bid_ask,2025-09-18,-18.000030517578125,1,2025-09,-95.99990844726562
3m_train_1m_test,actual_bid_ask,2025-09-19,19.99969482421875,1,2025-09,-76.00021362304688
3m_train_1m_test,actual_bid_ask,2025-09-23,106.99996948242188,1,2025-09,30.999755859375
3m_train_1m_test,actual_bid_ask,2025-10-03,-25.0,1,2025-10,5.999755859375
3m_train_1m_test,actual_bid_ask,2025-10-06,-16.99981689453125,1,2025-10,-11.00006103515625
3m_train_1m_test,actual_bid_ask,2025-10-07,-3.000640869140625,1,2025-10,-14.000701904296875
3m_train_1m_test,actual_bid_ask,2025-10-08,15.000152587890625,1,2025-10,0.99945068359375
3m_train_1m_test,actual_bid_ask,2025-10-09,-44.000244140625,1,2025-10,-43.00079345703125
3m_train_1m_test,actual_bid_ask,2025-10-10,38.00048828125,1,2025-10,-5.00030517578125
3m_train_1m_test,actual_bid_ask,2025-10-13,-36.99989318847656,1,2025-10,-42.00019836425781
3m_train_1m_test,actual_bid_ask,2025-10-14,99.00016784667969,1,2025-10,56.999969482421875
3m_train_1m_test,actual_bid_ask,2025-10-15,-8.00018310546875,1,2025-10,48.999786376953125
3m_train_1m_test,actual_bid_ask,2025-10-16,-11.999893188476562,1,2025-10,36.99989318847656
3m_train_1m_test,actual_bid_ask,2025-10-17,-13.99993896484375,1,2025-10,22.999954223632812
3m_train_1m_test,actual_bid_ask,2025-10-20,-4.9999237060546875,1,2025-10,18.000030517578125
3m_train_1m_test,actual_bid_ask,2025-10-21,-81.00013732910156,1,2025-10,-63.00010681152344
3m_train_1m_test,actual_bid_ask,2025-10-22,-1.000213623046875,1,2025-10,-64.00032043457031
3m_train_1m_test,actual_bid_ask,2025-10-24,70.00045776367188,1,2025-10,6.0001373291015625
3m_train_1m_test,actual_bid_ask,2025-11-03,-13.99993896484375,1,2025-11,-7.9998016357421875
3m_train_1m_test,actual_bid_ask,2025-11-05,22.0001220703125,1,2025-11,14.000320434570312
3m_train_1m_test,actual_bid_ask,2025-11-06,36.99989318847656,1,2025-11,51.000213623046875
3m_train_1m_test,actual_bid_ask,2025-11-07,0.0,1,2025-11,51.000213623046875
3m_train_1m_test,actual_bid_ask,2025-11-10,-15.999984741210938,1,2025-11,35.00022888183594
3m_train_1m_test,actual_bid_ask,2025-11-13,47.99995422363281,1,2025-11,83.00018310546875
3m_train_1m_test,actual_bid_ask,2025-11-14,-24.000167846679688,1,2025-11,59.00001525878906
