stage,schedule,fill_model,fold,train_start,train_end_exclusive,test_start,test_end_exclusive,param_id,parameter_set,a,b,c,d,direction,total_pnl_cents,trades,daily_sharpe,win_rate,profit_factor,max_drawdown_cents,top_trade_pnl_cents,top_trade_removed_pnl_cents,subfold_1_pnl_cents,subfold_2_pnl_cents,subfold_3_pnl_cents,profitable_train_subfolds,consistency_gate_pass,top_trade_gate_pass,neighborhood_count,neighborhood_gate_pass,survives_base_gates,survives_all_gates,eligible_for_selection,selection_mode,z_sharpe,z_top_trade_removed_pnl,z_profit_factor,z_neighborhood_count,z_drawdown,composite_score,is_winner,winner_is_top_composite,rank,elimination_reason,stage2_source
1,3m_train_1m_test,mid_dynamic_cost,3m_train_1m_test_2025-04,2025-01-01,2025-04-01,2025-04-01,2025-05-01,a60_b0.5_c1800_d7200_continuation,a=60s | b=0.5x sigma | c=1800s | d=7200s | continuation,60,0.5,1800,7200,continuation,-464.06599999999855,63,-3.8131799899618906,0.4603174603174603,0.5500825539266723,-493.4333999999978,52.40299999999784,-516.4689999999964,-204.9250000000085,-77.6187999999969,-181.52219999999323,0,False,False,0,False,False,False,False,strict_all_gates,,,,,,,False,True,,train_subfold_consistency;top_trade_survival,
1,3m_train_1m_test,mid_dynamic_cost,3m_train_1m_test_2025-04,2025-01-01,2025-04-01,2025-04-01,2025-05-01,a60_b0.5_c1800_d7200_reversal,a=60s | b=0.5x sigma | c=1800s | d=7200s | reversal,60,0.5,1800,7200,reversal,85.93399999999858,63,0.7063651225411606,0.49206349206349204,1.1147316115536383,-218.17700000000445,71.71900000000045,14.214999999998128,67.07500000000849,-42.61880000000313,61.477799999993245,2,True,True,1,False,True,False,False,strict_all_gates,,,,,,,False,True,,neighborhood_support,
1,3m_train_1m_test,mid_dynamic_cost,3m_train_1m_test_2025-04,2025-01-01,2025-04-01,2025-04-01,2025-05-01,a60_b0.5_c1800_d14400_continuation,a=60s | b=0.5x sigma | c=1800s | d=14400s | continuation,60,0.5,1800,14400,continuation,94.9340000000075,63,0.48360516123705566,0.5079365079365079,1.079478832379321,-323.9129999999944,136.90299999999772,-41.96899999999022,257.57499999999584,-55.618799999994145,-107.02219999999417,1,False,False,0,False,False,False,False,strict_all_gates,,,,,,,False,True,,train_subfold_consistency;top_trade_survival,
1,3m_train_1m_test,mid_dynamic_cost,3m_train_1m_test_2025-04,2025-01-01,2025-04-01,2025-04-01,2025-05-01,a60_b0.5_c1800_d14400_reversal,a=60s | b=0.5x sigma | c=1800s | d=14400s | reversal,60,0.5,1800,14400,reversal,-473.0660000000073,63,-2.408993367447371,0.3968253968253968,0.6849600954071434,-441.6284000000078,120.21899999999897,-593.2850000000062,-395.4249999999958,-64.61880000000585,-13.022200000005789,0,False,False,0,False,False,False,False,strict_all_gates,,,,,,,False,True,,train_subfold_consistency;top_trade_survival,
1,3m_train_1m_test,mid_dynamic_cost,3m_train_1m_test_2025-04,2025-01-01,2025-04-01,2025-04-01,2025-05-01,a60_b0.5_c3600_d1800_continuation,a=60s | b=0.5x sigma | c=3600s | d=1800s | continuation,60,0.5,3600,1800,continuation,38.93060000000151,63,0.8332666174387735,0.5396825396825397,1.148582363663571,-86.33540000000232,23.213400000001933,15.717199999999579,0.07499999999834905,87.38839999999944,-48.53279999999624,2,True,True,0,False,True,False,False,strict_all_gates,,,,,,,False,True,,neighborhood_support,
1,3m_train_1m_test,mid_dynamic_cost,3m_train_1m_test_2025-04,2025-01-01,2025-04-01,2025-04-01,2025-05-01,a60_b0.5_c3600_d1800_reversal,a=60s | b=0.5x sigma | c=3600s | d=1800s | reversal,60,0.5,3600,1800,reversal,-417.06940000000156,63,-8.915194989960868,0.20634920634920634,0.2525889808730453,-433.9432000000052,25.902999999999203,-442.9724000000008,-137.92499999999833,-207.61159999999944,-71.53280000000376,0,False,False,0,False,False,False,False,strict_all_gates,,,,,,,False,True,,train_subfold_consistency;top_trade_survival,
1,3m_train_1m_test,mid_dynamic_cost,3m_train_1m_test_2025-04,2025-01-01,2025-04-01,2025-04-01,2025-05-01,a60_b0.5_c3600_d7200_continuation,a=60s | b=0.5x sigma | c=3600s | d=7200s | continuation,60,0.5,3600,7200,continuation,-103.06940000000574,63,-0.8558938541825913,0.5396825396825397,0.8748038294436026,-378.5954000000045,58.213400000001364,-161.28280000000711,-239.42500000000416,-83.61160000000561,219.967200000004,1,False,False,0,False,False,False,False,strict_all_gates,,,,,,,False,True,,train_subfold_consistency;top_trade_survival,
1,3m_train_1m_test,mid_dynamic_cost,3m_train_1m_test_2025-04,2025-01-01,2025-04-01,2025-04-01,2025-05-01,a60_b0.5_c3600_d7200_reversal,a=60s | b=0.5x sigma | c=3600s | d=7200s | reversal,60,0.5,3600,7200,reversal,-275.0693999999943,63,-2.289511251703,0.3968253968253968,0.7055750445432897,-443.94080000000076,46.9356,-322.0049999999943,101.57500000000407,-36.611599999994354,-340.032800000004,1,False,False,0,False,False,False,False,strict_all_gates,,,,,,,False,True,,train_subfold_consistency;top_trade_survival,
1,3m_train_1m_test,mid_dynamic_cost,3m_train_1m_test_2025-04,2025-01-01,2025-04-01,2025-04-01,2025-05-01,a60_b0.5_c3600_d14400_continuation,a=60s | b=0.5x sigma | c=3600s | d=14400s | continuation,60,0.5,3600,14400,continuation,423.9305999999996,63,2.28694367647271,0.5714285714285714,1.437608400649005,-193.1622000000018,135.90299999999863,288.0276000000009,146.07499999999914,122.38839999999745,155.46720000000295,3,True,True,2,False,True,False,False,strict_all_gates,,,,,,,False,True,,neighborhood_support,
1,3m_train_1m_test,mid_dynamic_cost,3m_train_1m_test_2025-04,2025-01-01,2025-04-01,2025-04-01,2025-05-01,a60_b0.5_c3600_d14400_reversal,a=60s | b=0.5x sigma | c=3600s | d=14400s | reversal,60,0.5,3600,14400,reversal,-802.0693999999996,63,-4.327253674212384,0.3492063492063492,0.5078804108069936,-727.9354000000003,91.65680000000074,-893.7262000000004,-283.92499999999916,-242.61159999999742,-275.53280000000296,0,False,False,0,False,False,False,False,strict_all_gates,,,,,,,False,True,,train_subfold_consistency;top_trade_survival,
