stage,param_id,parameter_set,a,b,c,d,direction,stage2_source
2,a60_b0.9_c3600_d3600_reversal,a=60s | b=0.9x sigma | c=3600s | d=3600s | reversal,60,0.9,3600,3600,reversal,refined_from_stage1_gate_survivors
2,a60_b0.9_c3600_d5400_reversal,a=60s | b=0.9x sigma | c=3600s | d=5400s | reversal,60,0.9,3600,5400,reversal,refined_from_stage1_gate_survivors
2,a60_b0.9_c3600_d7200_continuation,a=60s | b=0.9x sigma | c=3600s | d=7200s | continuation,60,0.9,3600,7200,continuation,refined_from_stage1_gate_survivors
2,a60_b0.9_c3600_d7200_reversal,a=60s | b=0.9x sigma | c=3600s | d=7200s | reversal,60,0.9,3600,7200,reversal,refined_from_stage1_gate_survivors
2,a60_b0.9_c3600_d9600_reversal,a=60s | b=0.9x sigma | c=3600s | d=9600s | reversal,60,0.9,3600,9600,reversal,refined_from_stage1_gate_survivors
2,a60_b0.9_c3600_d12000_reversal,a=60s | b=0.9x sigma | c=3600s | d=12000s | reversal,60,0.9,3600,12000,reversal,refined_from_stage1_gate_survivors
2,a60_b0.9_c3600_d14400_reversal,a=60s | b=0.9x sigma | c=3600s | d=14400s | reversal,60,0.9,3600,14400,reversal,refined_from_stage1_gate_survivors
2,a80_b0.3_c1800_d14400_reversal,a=80s | b=0.3x sigma | c=1800s | d=14400s | reversal,80,0.3,1800,14400,reversal,refined_from_stage1_gate_survivors
2,a80_b0.3_c3600_d14400_reversal,a=80s | b=0.3x sigma | c=3600s | d=14400s | reversal,80,0.3,3600,14400,reversal,refined_from_stage1_gate_survivors
2,a80_b0.5_c1800_d14400_reversal,a=80s | b=0.5x sigma | c=1800s | d=14400s | reversal,80,0.5,1800,14400,reversal,refined_from_stage1_gate_survivors
2,a80_b0.5_c3600_d1800_reversal,a=80s | b=0.5x sigma | c=3600s | d=1800s | reversal,80,0.5,3600,1800,reversal,refined_from_stage1_gate_survivors
2,a80_b0.5_c3600_d7200_reversal,a=80s | b=0.5x sigma | c=3600s | d=7200s | reversal,80,0.5,3600,7200,reversal,refined_from_stage1_gate_survivors
2,a80_b0.5_c3600_d14400_reversal,a=80s | b=0.5x sigma | c=3600s | d=14400s | reversal,80,0.5,3600,14400,reversal,refined_from_stage1_gate_survivors
2,a80_b0.7_c900_d14400_continuation,a=80s | b=0.7x sigma | c=900s | d=14400s | continuation,80,0.7,900,14400,continuation,refined_from_stage1_gate_survivors
2,a80_b0.7_c1800_d14400_reversal,a=80s | b=0.7x sigma | c=1800s | d=14400s | reversal,80,0.7,1800,14400,reversal,refined_from_stage1_gate_survivors
2,a80_b0.7_c3600_d1800_reversal,a=80s | b=0.7x sigma | c=3600s | d=1800s | reversal,80,0.7,3600,1800,reversal,refined_from_stage1_gate_survivors
2,a80_b0.7_c3600_d7200_reversal,a=80s | b=0.7x sigma | c=3600s | d=7200s | reversal,80,0.7,3600,7200,reversal,refined_from_stage1_gate_survivors
2,a80_b0.7_c3600_d14400_reversal,a=80s | b=0.7x sigma | c=3600s | d=14400s | reversal,80,0.7,3600,14400,reversal,refined_from_stage1_gate_survivors
2,a80_b0.9_c900_d7200_continuation,a=80s | b=0.9x sigma | c=900s | d=7200s | continuation,80,0.9,900,7200,continuation,refined_from_stage1_gate_survivors
2,a80_b0.9_c900_d14400_continuation,a=80s | b=0.9x sigma | c=900s | d=14400s | continuation,80,0.9,900,14400,continuation,refined_from_stage1_gate_survivors
2,a80_b0.9_c3600_d1800_reversal,a=80s | b=0.9x sigma | c=3600s | d=1800s | reversal,80,0.9,3600,1800,reversal,refined_from_stage1_gate_survivors
2,a80_b0.9_c3600_d7200_reversal,a=80s | b=0.9x sigma | c=3600s | d=7200s | reversal,80,0.9,3600,7200,reversal,refined_from_stage1_gate_survivors
2,a80_b0.9_c3600_d14400_reversal,a=80s | b=0.9x sigma | c=3600s | d=14400s | reversal,80,0.9,3600,14400,reversal,refined_from_stage1_gate_survivors
