stage,param_id,parameter_set,a,b,c,d,direction,side,side_sign,signal_time_utc,signal_move_cents,signal_sigma_cents,entry_time_utc,entry_time_dubai,entry_dubai_date,exit_time_utc,exit_time_dubai,hold_seconds,source_type,selected_symbol,mid_entry_px,mid_exit_px,mid_dynamic_cost_cents,mid_dynamic_pnl_cents,actual_entry_px,actual_exit_px,actual_pnl_cents,actual_fill_status,actual_entry_side,actual_exit_side,entry_px,exit_px,pnl_cents,fill_status,entry_fill_side,exit_fill_side,fill_model,schedule,fold,train_start,train_end_exclusive,test_start,test_end_exclusive,selected_composite_score,selection_mode
2,a120_b0.5_c1800_d7200_reversal,a=120s | b=0.5x sigma | c=1800s | d=7200s | reversal,120,0.5,1800,7200,reversal,long,1,2025-04-01 07:00:51,-6.499999999999773,12.482511390176715,2025-04-01 07:02:51,2025-04-01 11:02:51,2025-04-01,2025-04-01 09:02:51,2025-04-01 13:02:51,7200,parquet_prompt_bid_ask,F:BRN\M25,74.91499999999999,74.63499999999999,2.9966,-30.996600000000115,74.92,74.63,-29.000000000000625,actual_bid_ask,ask,bid,74.91499999999999,74.63499999999999,-30.996600000000115,mid_dynamic_cost,mid,mid,mid_dynamic_cost,3m_train_1m_test,3m_train_1m_test_2025-04,2025-01-01,2025-04-01,2025-04-01,2025-05-01,0.9037028825523405,strict_all_gates
2,a120_b0.5_c900_d7200_reversal,a=120s | b=0.5x sigma | c=900s | d=7200s | reversal,120,0.5,900,7200,reversal,short,-1,2025-07-30 07:00:01,6.000000000000227,11.049690576958913,2025-07-30 07:02:01,2025-07-30 11:02:01,2025-07-30,2025-07-30 09:02:01,2025-07-30 13:02:01,7200,parquet_prompt_bid_ask,F:BRN\U25,72.64,72.205,2.9056,40.59440000000023,72.63,72.21,42.00000000000017,actual_bid_ask,bid,ask,72.63,72.21,42.00000000000017,actual_bid_ask,bid,ask,actual_bid_ask,3m_train_1m_test,3m_train_1m_test_2025-07,2025-04-01,2025-07-01,2025-07-01,2025-08-01,0.9761204837851397,strict_all_gates
2,a120_b0.5_c900_d7200_reversal,a=120s | b=0.5x sigma | c=900s | d=7200s | reversal,120,0.5,900,7200,reversal,short,-1,2025-07-31 07:00:00,7.499999999998863,9.8384475429607,2025-07-31 07:02:00,2025-07-31 11:02:00,2025-07-31,2025-07-31 09:02:00,2025-07-31 13:02:00,7200,parquet_prompt_bid_ask,F:BRN\U25,73.06,73.02000000000001,2.9224,1.077599999999204,73.05,73.04,0.9999999999990905,actual_bid_ask,bid,ask,73.05,73.04,0.9999999999990905,actual_bid_ask,bid,ask,actual_bid_ask,3m_train_1m_test,3m_train_1m_test_2025-07,2025-04-01,2025-07-01,2025-07-01,2025-08-01,0.9761204837851397,strict_all_gates
2,a120_b0.5_c900_d7200_reversal,a=120s | b=0.5x sigma | c=900s | d=7200s | reversal,120,0.5,900,7200,reversal,short,-1,2025-08-01 07:00:00,6.499999999999773,10.808925471821633,2025-08-01 07:02:00,2025-08-01 11:02:00,2025-08-01,2025-08-01 09:02:00,2025-08-01 13:02:00,7200,parquet_prompt_bid_ask,F:BRN\V25,71.72,71.345,2.8688,34.6312,71.71,71.35,35.99999999999994,actual_bid_ask,bid,ask,71.71,71.35,35.99999999999994,actual_bid_ask,bid,ask,actual_bid_ask,3m_train_1m_test,3m_train_1m_test_2025-08,2025-05-01,2025-08-01,2025-08-01,2025-09-01,1.5273846174201087,strict_all_gates
2,a120_b0.5_c900_d7200_reversal,a=120s | b=0.5x sigma | c=900s | d=7200s | reversal,120,0.5,900,7200,reversal,short,-1,2025-08-04 07:00:01,6.000000000000227,11.384375452758627,2025-08-04 07:02:01,2025-08-04 11:02:01,2025-08-04,2025-08-04 09:02:01,2025-08-04 13:02:01,7200,parquet_prompt_bid_ask,F:BRN\V25,69.805,68.88499999999999,2.7922000000000002,89.2078000000016,69.8,68.89,90.99999999999966,actual_bid_ask,bid,ask,69.8,68.89,90.99999999999966,actual_bid_ask,bid,ask,actual_bid_ask,3m_train_1m_test,3m_train_1m_test_2025-08,2025-05-01,2025-08-01,2025-08-01,2025-09-01,1.5273846174201087,strict_all_gates
2,a120_b0.5_c900_d7200_reversal,a=120s | b=0.5x sigma | c=900s | d=7200s | reversal,120,0.5,900,7200,reversal,long,1,2025-08-05 07:00:00,-15.999999999999659,10.622661360107932,2025-08-05 07:02:00,2025-08-05 11:02:00,2025-08-05,2025-08-05 09:02:00,2025-08-05 13:02:00,7200,parquet_prompt_bid_ask,F:BRN\V25,68.62,68.39500000000001,2.7448,-25.244799999999433,68.63,68.39,-23.99999999999949,actual_bid_ask,ask,bid,68.63,68.39,-23.99999999999949,actual_bid_ask,ask,bid,actual_bid_ask,3m_train_1m_test,3m_train_1m_test_2025-08,2025-05-01,2025-08-01,2025-08-01,2025-09-01,1.5273846174201087,strict_all_gates
2,a120_b0.5_c900_d7200_reversal,a=120s | b=0.5x sigma | c=900s | d=7200s | reversal,120,0.5,900,7200,reversal,short,-1,2025-08-06 07:00:38,5.500000000000682,8.64867038589242,2025-08-06 07:02:38,2025-08-06 11:02:38,2025-08-06,2025-08-06 09:02:38,2025-08-06 13:02:38,7200,parquet_prompt_bid_ask,F:BRN\V25,68.295,68.595,2.7318000000000002,-32.731799999999716,68.29,68.6,-30.999999999998806,actual_bid_ask,bid,ask,68.29,68.6,-30.999999999998806,actual_bid_ask,bid,ask,actual_bid_ask,3m_train_1m_test,3m_train_1m_test_2025-08,2025-05-01,2025-08-01,2025-08-01,2025-09-01,1.5273846174201087,strict_all_gates
2,a120_b0.5_c900_d7200_reversal,a=120s | b=0.5x sigma | c=900s | d=7200s | reversal,120,0.5,900,7200,reversal,long,1,2025-08-07 07:00:08,-5.999999999998806,10.866978073884917,2025-08-07 07:02:08,2025-08-07 11:02:08,2025-08-07,2025-08-07 09:02:08,2025-08-07 13:02:08,7200,parquet_prompt_bid_ask,F:BRN\V25,67.345,67.12,2.6938,-25.19379999999943,67.35,67.11,-23.99999999999949,actual_bid_ask,ask,bid,67.35,67.11,-23.99999999999949,actual_bid_ask,ask,bid,actual_bid_ask,3m_train_1m_test,3m_train_1m_test_2025-08,2025-05-01,2025-08-01,2025-08-01,2025-09-01,1.5273846174201087,strict_all_gates
2,a120_b0.5_c900_d7200_reversal,a=120s | b=0.5x sigma | c=900s | d=7200s | reversal,120,0.5,900,7200,reversal,short,-1,2025-08-08 07:00:00,9.000000000000341,9.434452754477432,2025-08-08 07:02:00,2025-08-08 11:02:00,2025-08-08,2025-08-08 09:02:00,2025-08-08 13:02:00,7200,parquet_prompt_bid_ask,F:BRN\V25,65.91,66.63499999999999,2.6364,-75.13639999999943,65.9,66.64,-73.99999999999949,actual_bid_ask,bid,ask,65.9,66.64,-73.99999999999949,actual_bid_ask,bid,ask,actual_bid_ask,3m_train_1m_test,3m_train_1m_test_2025-08,2025-05-01,2025-08-01,2025-08-01,2025-09-01,1.5273846174201087,strict_all_gates
2,a120_b0.5_c900_d7200_reversal,a=120s | b=0.5x sigma | c=900s | d=7200s | reversal,120,0.5,900,7200,reversal,long,1,2025-08-11 07:00:08,-4.999999999998295,9.647571694450743,2025-08-11 07:02:08,2025-08-11 11:02:08,2025-08-11,2025-08-11 09:02:08,2025-08-11 13:02:08,7200,parquet_prompt_bid_ask,F:BRN\V25,65.995,66.33,2.6398,30.860199999999374,66.0,66.32,31.999999999999318,actual_bid_ask,ask,bid,66.0,66.32,31.999999999999318,actual_bid_ask,ask,bid,actual_bid_ask,3m_train_1m_test,3m_train_1m_test_2025-08,2025-05-01,2025-08-01,2025-08-01,2025-09-01,1.5273846174201087,strict_all_gates
2,a120_b0.5_c900_d7200_reversal,a=120s | b=0.5x sigma | c=900s | d=7200s | reversal,120,0.5,900,7200,reversal,short,-1,2025-08-12 07:00:00,6.999999999999318,9.800626526476119,2025-08-12 07:02:00,2025-08-12 11:02:00,2025-08-12,2025-08-12 09:02:00,2025-08-12 13:02:00,7200,parquet_prompt_bid_ask,F:BRN\V25,66.88499999999999,66.57499999999999,2.6754,28.324600000000228,66.88,66.58,29.999999999999716,actual_bid_ask,bid,ask,66.88,66.58,29.999999999999716,actual_bid_ask,bid,ask,actual_bid_ask,3m_train_1m_test,3m_train_1m_test_2025-08,2025-05-01,2025-08-01,2025-08-01,2025-09-01,1.5273846174201087,strict_all_gates
