fill_model,entry_time_utc,entry_time_dubai,pnl_cents,cum_pnl_cents,param_id,parameter_set,is_in_sample_visual
actual_bid_ask,2025-01-02 07:10:04,2025-01-02 11:10:04,71.99935913085938,71.99935913085938,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
actual_bid_ask,2025-08-19 07:02:00,2025-08-19 11:02:00,23.000335693359375,1430.0056457519531,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
actual_bid_ask,2025-08-20 07:02:11,2025-08-20 11:02:11,-28.99932861328125,1401.0063171386719,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
actual_bid_ask,2025-08-21 07:12:53,2025-08-21 11:12:53,-8.00018310546875,1393.0061340332031,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
actual_bid_ask,2025-08-22 07:02:23,2025-08-22 11:02:23,-6.999969482421875,1386.0061645507812,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
actual_bid_ask,2025-09-02 07:02:07,2025-09-02 11:02:07,76.00021362304688,1462.0063781738281,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
actual_bid_ask,2025-09-03 07:22:41,2025-09-03 11:22:41,88.99993896484375,1551.0063171386719,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
actual_bid_ask,2025-09-04 07:03:35,2025-09-04 11:03:35,16.99981689453125,1568.0061340332031,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
actual_bid_ask,2025-09-05 07:02:12,2025-09-05 11:02:12,15.000152587890625,1583.0062866210938,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
actual_bid_ask,2025-09-08 07:24:23,2025-09-08 11:24:23,-27.00042724609375,1556.005859375,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
actual_bid_ask,2025-09-11 07:58:19,2025-09-11 11:58:19,53.000640869140625,1609.0065002441406,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
actual_bid_ask,2025-09-12 07:06:04,2025-09-12 11:06:04,136.00006103515625,1745.0065612792969,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
actual_bid_ask,2025-09-15 07:02:00,2025-09-15 11:02:00,13.99993896484375,1759.0065002441406,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
actual_bid_ask,2025-09-16 07:02:00,2025-09-16 11:02:00,-4.000091552734375,1755.0064086914062,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
actual_bid_ask,2025-09-17 07:07:28,2025-09-17 11:07:28,38.00048828125,1793.0068969726562,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
actual_bid_ask,2025-09-19 07:02:50,2025-09-19 11:02:50,-31.000518798828125,1762.0063781738281,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
actual_bid_ask,2025-09-22 07:02:05,2025-09-22 11:02:05,94.000244140625,1856.0066223144531,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
actual_bid_ask,2025-09-23 07:19:17,2025-09-23 11:19:17,80.00030517578125,1936.0069274902344,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
actual_bid_ask,2025-10-03 07:17:05,2025-10-03 11:17:05,-25.0,1911.0069274902344,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
actual_bid_ask,2025-10-06 07:02:00,2025-10-06 11:02:00,-16.99981689453125,1894.0071105957031,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
actual_bid_ask,2025-10-07 07:26:12,2025-10-07 11:26:12,-3.000640869140625,1891.0064697265625,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
actual_bid_ask,2025-10-08 07:09:13,2025-10-08 11:09:13,15.000152587890625,1906.0066223144531,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
actual_bid_ask,2025-10-09 07:19:05,2025-10-09 11:19:05,-44.000244140625,1862.0063781738281,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
