schedule,fill_model,date,pnl_cents,trades,month
3m_train_1m_test,actual_bid_ask,2025-11-05,48.0000000000004,1,2025-11
3m_train_1m_test,actual_bid_ask,2025-11-06,-11.999999999999744,1,2025-11
3m_train_1m_test,actual_bid_ask,2025-11-07,6.999999999999318,1,2025-11
3m_train_1m_test,actual_bid_ask,2025-11-10,32.99999999999983,1,2025-11
3m_train_1m_test,actual_bid_ask,2025-11-11,-49.99999999999929,1,2025-11
3m_train_1m_test,actual_bid_ask,2025-11-12,-16.99999999999875,1,2025-11
3m_train_1m_test,actual_bid_ask,2025-11-13,-28.000000000000114,1,2025-11
3m_train_1m_test,actual_bid_ask,2025-11-14,64.99999999999986,1,2025-11
3m_train_1m_test,actual_bid_ask,2025-11-17,62.999999999999545,1,2025-11
3m_train_1m_test,actual_bid_ask,2025-11-18,52.00000000000102,1,2025-11
3m_train_1m_test,actual_bid_ask,2025-11-19,-29.999999999999716,1,2025-11
3m_train_1m_test,actual_bid_ask,2025-11-20,-25.9999999999998,1,2025-11
3m_train_1m_test,actual_bid_ask,2025-11-21,-38.000000000000256,1,2025-11
3m_train_1m_test,actual_bid_ask,2025-11-24,35.99999999999994,1,2025-11
3m_train_1m_test,actual_bid_ask,2025-11-25,18.999999999999773,1,2025-11
3m_train_1m_test,actual_bid_ask,2025-11-26,-32.99999999999983,1,2025-11
3m_train_1m_test,actual_bid_ask,2025-11-27,-26.999999999999602,1,2025-11
3m_train_1m_test,actual_bid_ask,2025-11-28,-42.99999999999997,1,2025-11
3m_train_1m_test,actual_bid_ask,2025-12-01,-12.536000000000142,1,2025-12
3m_train_1m_test,actual_bid_ask,2025-12-02,-9.502800000000029,1,2025-12
3m_train_1m_test,actual_bid_ask,2025-12-03,-25.470799999999688,1,2025-12
3m_train_1m_test,actual_bid_ask,2025-12-04,-13.491999999999944,1,2025-12
3m_train_1m_test,actual_bid_ask,2025-12-05,14.50240000000017,1,2025-12
3m_train_1m_test,actual_bid_ask,2025-12-08,-8.527999999999517,1,2025-12
3m_train_1m_test,actual_bid_ask,2025-12-09,-0.47360000000039815,1,2025-12
3m_train_1m_test,actual_bid_ask,2025-12-10,7.540000000000142,1,2025-12
3m_train_1m_test,actual_bid_ask,2025-12-11,-57.47199999999972,1,2025-12
3m_train_1m_test,actual_bid_ask,2025-12-12,-12.450000000000141,1,2025-12
3m_train_1m_test,actual_bid_ask,2025-12-15,-0.43759999999968713,1,2025-12
3m_train_1m_test,actual_bid_ask,2025-12-16,5.6080000000005406,1,2025-12
3m_train_1m_test,actual_bid_ask,2025-12-17,13.63319999999966,1,2025-12
3m_train_1m_test,actual_bid_ask,2025-12-18,-14.385599999999744,1,2025-12
3m_train_1m_test,actual_bid_ask,2025-12-19,1.631199999999915,1,2025-12
3m_train_1m_test,actual_bid_ask,2025-12-22,18.586800000000085,1,2025-12
3m_train_1m_test,actual_bid_ask,2025-12-23,-9.448800000000029,1,2025-12
3m_train_1m_test,actual_bid_ask,2025-12-24,14.53960000000017,1,2025-12
3m_train_1m_test,actual_bid_ask,2025-12-26,1.5355999999999148,1,2025-12
3m_train_1m_test,actual_bid_ask,2025-12-29,-11.419200000000341,1,2025-12
3m_train_1m_test,actual_bid_ask,2025-12-30,5.55760000000054,1,2025-12
3m_train_1m_test,actual_bid_ask,2025-12-31,-7.4383999999997155,1,2025-12
3m_train_1m_test,actual_bid_ask,2026-01-02,-27.4272,1,2026-01
3m_train_1m_test,actual_bid_ask,2026-01-05,-27.414,1,2026-01
3m_train_1m_test,actual_bid_ask,2026-01-06,3.5568000000002273,1,2026-01
3m_train_1m_test,actual_bid_ask,2026-01-07,22.6084,1,2026-01
3m_train_1m_test,actual_bid_ask,2026-01-08,3.609199999999517,1,2026-01
3m_train_1m_test,actual_bid_ask,2026-01-09,37.528399999999856,1,2026-01
3m_train_1m_test,actual_bid_ask,2026-01-12,1.486400000000625,1,2026-01
3m_train_1m_test,actual_bid_ask,2026-01-13,-25.535599999999686,1,2026-01
3m_train_1m_test,actual_bid_ask,2026-01-14,-17.58040000000057,1,2026-01
3m_train_1m_test,actual_bid_ask,2026-01-15,-20.55679999999997,1,2026-01
3m_train_1m_test,actual_bid_ask,2026-01-16,1.4787999999999148,1,2026-01
3m_train_1m_test,actual_bid_ask,2026-01-19,53.460799999999516,1,2026-01
3m_train_1m_test,actual_bid_ask,2026-01-20,-21.530799999999772,1,2026-01
3m_train_1m_test,actual_bid_ask,2026-01-21,17.453999999999574,1,2026-01
3m_train_1m_test,actual_bid_ask,2026-01-22,14.41520000000017,1,2026-01
3m_train_1m_test,actual_bid_ask,2026-01-23,-8.553999999999517,1,2026-01
3m_train_1m_test,mid_dynamic_cost,2025-04-01,-30.996600000000115,1,2025-04
3m_train_1m_test,mid_dynamic_cost,2025-04-02,4.027000000002161,1,2025-04
3m_train_1m_test,mid_dynamic_cost,2025-04-03,-39.90740000000046,1,2025-04
3m_train_1m_test,mid_dynamic_cost,2025-04-04,-149.7637999999999,1,2025-04
3m_train_1m_test,mid_dynamic_cost,2025-04-07,-35.03839999999958,1,2025-04
3m_train_1m_test,mid_dynamic_cost,2025-04-08,53.40460000000023,1,2025-04
3m_train_1m_test,mid_dynamic_cost,2025-04-09,-39.9534,1,2025-04
3m_train_1m_test,mid_dynamic_cost,2025-04-10,-171.09600000000023,1,2025-04
3m_train_1m_test,mid_dynamic_cost,2025-04-11,46.44059999999949,1,2025-04
3m_train_1m_test,mid_dynamic_cost,2025-04-14,60.91480000000051,1,2025-04
3m_train_1m_test,mid_dynamic_cost,2025-04-15,44.88959999999943,1,2025-04
3m_train_1m_test,mid_dynamic_cost,2025-04-16,-113.56660000000136,1,2025-04
3m_train_1m_test,mid_dynamic_cost,2025-04-17,6.850999999999886,1,2025-04
3m_train_1m_test,mid_dynamic_cost,2025-04-21,-48.17639999999983,1,2025-04
3m_train_1m_test,mid_dynamic_cost,2025-04-22,-19.177599999999202,1,2025-04
3m_train_1m_test,mid_dynamic_cost,2025-04-23,15.264199999997839,1,2025-04
3m_train_1m_test,mid_dynamic_cost,2025-04-24,17.335799999998862,1,2025-04
3m_train_1m_test,mid_dynamic_cost,2025-04-25,45.82079999999852,1,2025-04
3m_train_1m_test,mid_dynamic_cost,2025-04-28,-29.680000000001023,1,2025-04
3m_train_1m_test,mid_dynamic_cost,2025-04-29,-51.607999999998064,1,2025-04
3m_train_1m_test,mid_dynamic_cost,2025-04-30,-4.036400000000057,1,2025-04
3m_train_1m_test,mid_dynamic_cost,2025-05-01,-49.42579999999989,1,2025-05
3m_train_1m_test,mid_dynamic_cost,2025-05-02,-34.49019999999932,1,2025-05
3m_train_1m_test,mid_dynamic_cost,2025-05-05,-45.88900000000023,1,2025-05
3m_train_1m_test,mid_dynamic_cost,2025-05-06,12.539400000000569,1,2025-05
3m_train_1m_test,mid_dynamic_cost,2025-05-07,-6.518999999999204,1,2025-05
3m_train_1m_test,mid_dynamic_cost,2025-05-08,-15.95020000000051,1,2025-05
3m_train_1m_test,mid_dynamic_cost,2025-05-09,29.468199999999317,1,2025-05
3m_train_1m_test,mid_dynamic_cost,2025-05-12,-33.622999999998804,1,2025-05
3m_train_1m_test,mid_dynamic_cost,2025-05-13,5.40239999999983,1,2025-05
3m_train_1m_test,mid_dynamic_cost,2025-05-14,15.343800000000682,1,2025-05
3m_train_1m_test,mid_dynamic_cost,2025-05-15,-17.063600000000314,1,2025-05
3m_train_1m_test,mid_dynamic_cost,2025-05-16,-3.5761999999990906,1,2025-05
3m_train_1m_test,mid_dynamic_cost,2025-05-19,9.407400000000454,1,2025-05
3m_train_1m_test,mid_dynamic_cost,2025-05-20,9.378600000000455,1,2025-05
3m_train_1m_test,mid_dynamic_cost,2025-05-21,-17.64300000000057,1,2025-05
3m_train_1m_test,mid_dynamic_cost,2025-05-22,34.444599999999035,1,2025-05
3m_train_1m_test,mid_dynamic_cost,2025-05-23,7.441399999999431,1,2025-05
3m_train_1m_test,mid_dynamic_cost,2025-05-26,-31.599999999999206,1,2025-05
3m_train_1m_test,mid_dynamic_cost,2025-05-27,8.410599999999944,1,2025-05
3m_train_1m_test,mid_dynamic_cost,2025-05-28,-31.576399999999204,1,2025-05
3m_train_1m_test,mid_dynamic_cost,2025-05-30,58.94500000000091,1,2025-05
3m_train_1m_test,mid_dynamic_cost,2025-06-02,-90.57300000000096,1,2025-06
3m_train_1m_test,mid_dynamic_cost,2025-06-03,6.409000000000341,1,2025-06
3m_train_1m_test,mid_dynamic_cost,2025-06-04,-33.61500000000023,1,2025-06
3m_train_1m_test,mid_dynamic_cost,2025-06-05,10.399400000000966,1,2025-06
3m_train_1m_test,mid_dynamic_cost,2025-06-06,-33.60220000000023,1,2025-06
3m_train_1m_test,mid_dynamic_cost,2025-06-09,-47.649000000001706,1,2025-06
3m_train_1m_test,mid_dynamic_cost,2025-06-10,-27.6862,1,2025-06
3m_train_1m_test,mid_dynamic_cost,2025-06-11,94.33059999999989,1,2025-06
3m_train_1m_test,mid_dynamic_cost,2025-06-12,-58.77020000000023,1,2025-06
3m_train_1m_test,mid_dynamic_cost,2025-06-13,-215.91040000000098,1,2025-06
3m_train_1m_test,mid_dynamic_cost,2025-06-16,-161.4960000000008,1,2025-06
3m_train_1m_test,mid_dynamic_cost,2025-06-17,154.0801999999993,1,2025-06
3m_train_1m_test,mid_dynamic_cost,2025-06-18,28.443799999999772,1,2025-06
3m_train_1m_test,mid_dynamic_cost,2025-06-19,-4.095199999999091,1,2025-06
3m_train_1m_test,mid_dynamic_cost,2025-06-20,37.92739999999966,1,2025-06
3m_train_1m_test,mid_dynamic_cost,2025-06-23,-22.623799999999317,1,2025-06
3m_train_1m_test,mid_dynamic_cost,2025-06-24,70.75279999999852,1,2025-06
3m_train_1m_test,mid_dynamic_cost,2025-06-25,-51.73159999999807,1,2025-06
3m_train_1m_test,mid_dynamic_cost,2025-06-27,-20.72439999999926,1,2025-06
3m_train_1m_test,mid_dynamic_cost,2025-06-30,-19.69839999999875,1,2025-06
3m_train_1m_test,mid_dynamic_cost,2025-07-01,-2.171000000000455,1,2025-07
3m_train_1m_test,mid_dynamic_cost,2025-07-02,34.8194,1,2025-07
3m_train_1m_test,mid_dynamic_cost,2025-07-03,1.2553999999992036,1,2025-07
3m_train_1m_test,mid_dynamic_cost,2025-07-04,21.760599999999034,1,2025-07
3m_train_1m_test,mid_dynamic_cost,2025-07-07,-51.72179999999949,1,2025-07
3m_train_1m_test,mid_dynamic_cost,2025-07-08,-8.27199999999784,1,2025-07
3m_train_1m_test,mid_dynamic_cost,2025-07-09,-53.30339999999955,1,2025-07
3m_train_1m_test,mid_dynamic_cost,2025-07-10,-19.305399999999203,1,2025-07
3m_train_1m_test,mid_dynamic_cost,2025-07-11,-37.259799999999885,1,2025-07
3m_train_1m_test,mid_dynamic_cost,2025-07-14,49.684399999999144,1,2025-07
3m_train_1m_test,mid_dynamic_cost,2025-07-15,4.248599999999318,1,2025-07
3m_train_1m_test,mid_dynamic_cost,2025-07-16,-36.75580000000034,1,2025-07
3m_train_1m_test,mid_dynamic_cost,2025-07-17,-15.739799999999546,1,2025-07
3m_train_1m_test,mid_dynamic_cost,2025-07-18,-6.30180000000108,1,2025-07
3m_train_1m_test,mid_dynamic_cost,2025-07-21,-21.764999999999773,1,2025-07
3m_train_1m_test,mid_dynamic_cost,2025-07-22,-27.254800000000454,1,2025-07
3m_train_1m_test,mid_dynamic_cost,2025-07-23,18.252199999999377,1,2025-07
3m_train_1m_test,mid_dynamic_cost,2025-07-24,-0.7636000000003982,1,2025-07
3m_train_1m_test,mid_dynamic_cost,2025-07-25,20.21280000000182,1,2025-07
3m_train_1m_test,mid_dynamic_cost,2025-07-28,4.237799999999318,1,2025-07
3m_train_1m_test,mid_dynamic_cost,2025-07-29,43.198400000000795,1,2025-07
