signal_time,signal_time_dubai,entry_time,entry_time_dubai,exit_time,exit_time_dubai,session_bucket,side,move_cents,signal_volume,entry_price,exit_price,gross_pnl_cents,cost_cents,net_pnl_cents,out_of_frame_category,exclusion_reason
2026-03-11 00:50:34,2026-03-11 04:50:34,2026-03-11 00:52:34,2026-03-11 04:52:34,2026-03-11 06:52:34,2026-03-11 10:52:34,Outside 11:00-24:00 Dubai,1,90.00000000000057,2078.0,91.06,88.65,-240.99999999999966,3.6424000000000003,-244.64239999999967,Excluded: before 11:00 Dubai,Signal outside 11:00-24:00 Dubai tradable window
2026-03-12 01:30:15,2026-03-12 05:30:15,2026-03-12 01:32:15,2026-03-12 05:32:15,2026-03-12 07:32:15,2026-03-12 11:32:15,Outside 11:00-24:00 Dubai,1,75.0,2706.0,93.65,101.15,750.0,3.7460000000000004,746.254,Excluded: before 11:00 Dubai,Signal outside 11:00-24:00 Dubai tradable window
2026-03-13 00:43:33,2026-03-13 04:43:33,2026-03-13 00:45:33,2026-03-13 04:45:33,2026-03-13 06:45:33,2026-03-13 10:45:33,Outside 11:00-24:00 Dubai,1,80.00000000000114,1818.0,101.49,101.13,-35.99999999999994,4.0596,-40.059599999999946,Excluded: before 11:00 Dubai,Signal outside 11:00-24:00 Dubai tradable window
2026-03-16 02:30:55,2026-03-16 06:30:55,2026-03-16 02:32:55,2026-03-16 06:32:55,2026-03-16 08:32:55,2026-03-16 12:32:55,Outside 11:00-24:00 Dubai,1,83.99999999999892,6599.0,106.15,104.75,-140.00000000000057,4.246,-144.24600000000058,Excluded: before 11:00 Dubai,Signal outside 11:00-24:00 Dubai tradable window
2026-03-17 00:37:36,2026-03-17 04:37:36,2026-03-17 00:39:36,2026-03-17 04:39:36,2026-03-17 06:39:36,2026-03-17 10:39:36,Outside 11:00-24:00 Dubai,1,75.0,2209.0,100.83,102.82,198.9999999999995,4.0332,194.9667999999995,Excluded: before 11:00 Dubai,Signal outside 11:00-24:00 Dubai tradable window
2026-03-18 04:53:23,2026-03-18 08:53:23,2026-03-18 04:55:23,2026-03-18 08:55:23,2026-03-18 10:55:23,2026-03-18 14:55:23,Outside 11:00-24:00 Dubai,-1,-75.0,2147.0,102.39,101.68,70.99999999999937,4.0956,66.90439999999937,Excluded: before 11:00 Dubai,Signal outside 11:00-24:00 Dubai tradable window
2026-03-19 00:30:00,2026-03-19 04:30:00,2026-03-19 00:32:00,2026-03-19 04:32:00,2026-03-19 06:32:00,2026-03-19 10:32:00,Outside 11:00-24:00 Dubai,1,150.0,7794.0,111.33,111.74,40.99999999999966,4.4532,36.54679999999966,Excluded: before 11:00 Dubai,Signal outside 11:00-24:00 Dubai tradable window
2026-03-20 01:14:21,2026-03-20 05:14:21,2026-03-20 01:16:21,2026-03-20 05:16:21,2026-03-20 07:16:21,2026-03-20 11:16:21,Outside 11:00-24:00 Dubai,-1,-76.9999999999996,747.0,107.76,106.8,96.0000000000008,4.3104000000000005,91.6896000000008,Excluded: before 11:00 Dubai,Signal outside 11:00-24:00 Dubai tradable window
2026-03-23 02:30:00,2026-03-23 06:30:00,2026-03-23 02:32:00,2026-03-23 06:32:00,2026-03-23 08:32:00,2026-03-23 12:32:00,Outside 11:00-24:00 Dubai,-1,-278.0000000000001,10740.0,110.63,113.0,-237.00000000000045,4.4252,-241.42520000000044,Excluded: before 11:00 Dubai,Signal outside 11:00-24:00 Dubai tradable window
2026-03-24 00:30:02,2026-03-24 04:30:02,2026-03-24 00:32:02,2026-03-24 04:32:02,2026-03-24 06:32:02,2026-03-24 10:32:02,Outside 11:00-24:00 Dubai,1,76.9999999999996,3037.0,100.64,103.96,331.9999999999993,4.0256,327.9743999999993,Excluded: before 11:00 Dubai,Signal outside 11:00-24:00 Dubai tradable window
2026-03-25 00:30:00,2026-03-25 04:30:00,2026-03-25 00:32:00,2026-03-25 04:32:00,2026-03-25 06:32:00,2026-03-25 10:32:00,Outside 11:00-24:00 Dubai,-1,-346.9999999999999,9524.0,101.0,98.7,229.99999999999972,4.04,225.95999999999972,Excluded: before 11:00 Dubai,Signal outside 11:00-24:00 Dubai tradable window
2026-03-26 06:55:16,2026-03-26 10:55:16,2026-03-26 06:57:16,2026-03-26 10:57:16,2026-03-26 12:57:16,2026-03-26 16:57:16,Outside 11:00-24:00 Dubai,1,75.99999999999909,906.0,104.0,105.63,162.99999999999955,4.16,158.83999999999955,Excluded: before 11:00 Dubai,Signal outside 11:00-24:00 Dubai tradable window
