signal_time,signal_time_dubai,entry_time,entry_time_dubai,exit_time,exit_time_dubai,session_bucket,side,move_cents,signal_volume,entry_price,exit_price,gross_pnl_cents,cost_cents,net_pnl_cents,side_label,params
2025-10-01 12:41:28,2025-10-01 16:41:28,2025-10-01 12:43:28,2025-10-01 16:43:28,2025-10-01 18:43:28,2025-10-01 22:43:28,Inside 11:00-24:00 Dubai,-1,-75.99999999999909,17185.0,65.77,65.39,37.999999999999545,2.6308,35.369199999999545,SHORT,a=120s | move=75c/1800s | hold=21600s | vol off | momentum
2026-01-30 07:01:32,2026-01-30 11:01:32,2026-01-30 07:03:32,2026-01-30 11:03:32,2026-01-30 13:03:32,2026-01-30 17:03:32,Inside 11:00-24:00 Dubai,1,75.0,2410.0,67.87,68.08,20.999999999999375,2.7148000000000003,18.285199999999374,LONG,a=120s | move=75c/1800s | hold=21600s | vol off | momentum
2026-02-02 13:04:09,2026-02-02 17:04:09,2026-02-02 13:06:09,2026-02-02 17:06:09,2026-02-02 19:06:09,2026-02-02 23:06:09,Inside 11:00-24:00 Dubai,-1,-75.0,2301.0,64.97,65.76,-79.00000000000063,2.5988,-81.59880000000062,SHORT,a=120s | move=75c/1800s | hold=21600s | vol off | momentum
2026-02-05 16:43:03,2026-02-05 20:43:03,2026-02-05 16:45:03,2026-02-05 20:45:03,2026-02-05 22:45:03,2026-02-06 02:45:03,Inside 11:00-24:00 Dubai,-1,-77.00000000000102,2008.0,67.29,67.1,19.000000000001194,2.6916,16.308400000001193,SHORT,a=120s | move=75c/1800s | hold=21600s | vol off | momentum
2026-02-09 14:29:11,2026-02-09 18:29:11,2026-02-09 14:31:11,2026-02-09 18:31:11,2026-02-09 20:31:11,2026-02-10 00:31:11,Inside 11:00-24:00 Dubai,1,75.0,1485.0,67.53,68.34,81.00000000000023,2.7012,78.29880000000023,LONG,a=120s | move=75c/1800s | hold=21600s | vol off | momentum
2026-02-13 15:43:58,2026-02-13 19:43:58,2026-02-13 15:45:58,2026-02-13 19:45:58,2026-02-13 21:45:58,2026-02-14 01:45:58,Inside 11:00-24:00 Dubai,-1,-83.00000000000125,1607.0,66.55,67.3,-75.0,2.662,-77.662,SHORT,a=120s | move=75c/1800s | hold=21600s | vol off | momentum
2026-02-17 17:50:45,2026-02-17 21:50:45,2026-02-17 17:52:45,2026-02-17 21:52:45,2026-02-17 23:52:45,2026-02-18 03:52:45,Inside 11:00-24:00 Dubai,-1,-75.99999999999909,3597.0,66.9,66.82,8.00000000000125,2.676,5.32400000000125,SHORT,a=120s | move=75c/1800s | hold=21600s | vol off | momentum
2026-02-26 17:44:22,2026-02-26 21:44:22,2026-02-26 17:46:22,2026-02-26 21:46:22,2026-02-26 23:46:22,2026-02-27 03:46:22,Inside 11:00-24:00 Dubai,1,75.0,11619.0,69.99,70.9,91.00000000000108,2.7996,88.20040000000108,LONG,a=120s | move=75c/1800s | hold=21600s | vol off | momentum
2026-03-02 07:39:31,2026-03-02 11:39:31,2026-03-02 07:41:31,2026-03-02 11:41:31,2026-03-02 13:41:31,2026-03-02 17:41:31,Inside 11:00-24:00 Dubai,1,75.0,2972.0,77.23,78.89,165.99999999999966,3.0892000000000004,162.91079999999965,LONG,a=120s | move=75c/1800s | hold=21600s | vol off | momentum
2026-03-03 10:06:15,2026-03-03 14:06:15,2026-03-03 10:08:15,2026-03-03 14:08:15,2026-03-03 16:08:15,2026-03-03 20:08:15,Inside 11:00-24:00 Dubai,-1,-75.0,4797.0,79.65,84.33,-467.99999999999926,3.1860000000000004,-471.18599999999924,SHORT,a=120s | move=75c/1800s | hold=21600s | vol off | momentum
2026-03-04 09:48:16,2026-03-04 13:48:16,2026-03-04 09:50:16,2026-03-04 13:50:16,2026-03-04 15:50:16,2026-03-04 19:50:16,Inside 11:00-24:00 Dubai,1,76.9999999999996,4359.0,83.42,82.32,-110.00000000000085,3.3368,-113.33680000000085,LONG,a=120s | move=75c/1800s | hold=21600s | vol off | momentum
