signal_time,entry_time,exit_time,side,move_cents,signal_volume,entry_price,exit_price,gross_pnl_cents,cost_cents,net_pnl_cents,selector_objective,test_month,selected_params
2026-01-12 03:16:13,2026-01-12 03:16:43,2026-01-12 04:16:43,1,53.999999999999915,309.0,63.33,63.05,-28.000000000000114,4.0,-32.000000000000114,profit_factor,2026-01,a=30s | move=50c/900s | hold=3600s | vol>2x/300s | momentum
2026-03-10 00:27:27,2026-03-10 00:27:28,2026-03-10 01:27:28,-1,-81.00000000000023,865.0,89.53,90.58,-104.99999999999972,4.0,-108.99999999999972,profit_factor,2026-03,a=1s | move=75c/60s | hold=3600s | vol>2x/300s | momentum
2026-03-11 04:00:01,2026-03-11 04:00:02,2026-03-11 05:00:02,-1,-75.0,145.0,90.66,87.04,361.99999999999903,4.0,357.99999999999903,profit_factor,2026-03,a=1s | move=75c/60s | hold=3600s | vol>2x/300s | momentum
2026-03-12 04:00:00,2026-03-12 04:00:01,2026-03-12 05:00:01,1,342.00000000000017,1630.0,96.56,98.58,201.9999999999996,4.0,197.9999999999996,profit_factor,2026-03,a=1s | move=75c/60s | hold=3600s | vol>2x/300s | momentum
2026-03-13 13:00:17,2026-03-13 13:00:18,2026-03-13 14:00:18,-1,-79.99999999999972,1608.0,100.16,100.93,-77.00000000000102,4.0,-81.00000000000102,profit_factor,2026-03,a=1s | move=75c/60s | hold=3600s | vol>2x/300s | momentum
2026-03-16 17:01:22,2026-03-16 17:01:23,2026-03-16 18:01:23,-1,-80.00000000000114,1292.0,101.26,100.64,62.000000000000455,4.0,58.000000000000455,profit_factor,2026-03,a=1s | move=75c/60s | hold=3600s | vol>2x/300s | momentum
2026-03-17 04:00:40,2026-03-17 04:00:41,2026-03-17 05:00:41,1,79.99999999999972,322.0,101.8,102.71,90.99999999999966,4.0,86.99999999999966,profit_factor,2026-03,a=1s | move=75c/60s | hold=3600s | vol>2x/300s | momentum
2026-03-18 15:26:58,2026-03-18 15:26:59,2026-03-18 16:26:59,1,78.9999999999992,1817.0,104.45,105.82,136.99999999999903,4.0,132.99999999999903,profit_factor,2026-03,a=1s | move=75c/60s | hold=3600s | vol>2x/300s | momentum
2026-03-19 04:00:25,2026-03-19 04:00:26,2026-03-19 05:00:26,1,75.0,132.0,110.4,111.66,125.99999999999909,4.0,121.99999999999909,profit_factor,2026-03,a=1s | move=75c/60s | hold=3600s | vol>2x/300s | momentum
2026-03-20 04:00:13,2026-03-20 04:00:14,2026-03-20 05:00:14,-1,-78.00000000000011,18.0,106.77,107.65,-88.00000000000097,4.0,-92.00000000000097,profit_factor,2026-03,a=1s | move=75c/60s | hold=3600s | vol>2x/300s | momentum
2026-03-23 02:24:18,2026-03-23 02:24:19,2026-03-23 03:24:19,-1,-80.00000000000114,675.0,111.81,112.1,-28.999999999999204,4.0,-32.999999999999204,profit_factor,2026-03,a=1s | move=75c/60s | hold=3600s | vol>2x/300s | momentum
2026-03-24 04:00:05,2026-03-24 04:00:06,2026-03-24 05:00:06,1,77.00000000000102,17.0,100.84,102.21,136.99999999999903,4.0,132.99999999999903,profit_factor,2026-03,a=1s | move=75c/60s | hold=3600s | vol>2x/300s | momentum
2026-03-25 00:20:12,2026-03-25 00:20:13,2026-03-25 01:20:13,-1,-75.0,744.0,102.78,99.71,307.00000000000074,4.0,303.00000000000074,profit_factor,2026-03,a=1s | move=75c/60s | hold=3600s | vol>2x/300s | momentum
