label,delay_s,threshold_cents,lookback_s,hold_s,volume_window_s,volume_multiple,direction,score,total_pnl_cents,avg_daily_pnl_cents,daily_sharpe,daily_sortino,max_drawdown_cents,positive_day_rate,active_day_rate,days,trades,win_rate,avg_trade_cents,profit_factor,long_trades,short_trades,trades_per_day,selector_objective,train_start,train_end,test_start,test_end
a=60s | move=10c/60s | hold=21600s | vol>2x/300s | momentum,60,10.0,60,21600,300,2.0,momentum,474.00000000000273,474.00000000000273,6.155844155844191,2.735717293720455,4.507799052908575,-158.9999999999997,0.4675324675324675,0.8051948051948052,77,62,0.5806451612903226,7.6451612903226245,1.707462686567168,25,37,0.8051948051948052,total_pnl_cents,2025-10,2025-12,2026-01,2026-01
a=1s | move=20c/120s | hold=21600s | vol off | momentum,1,20.0,120,21600,300,0.0,momentum,621.0000000000011,621.0000000000011,8.171052631578963,3.436786766829278,7.065177211622223,-93.00000000000034,0.27631578947368424,0.4868421052631579,76,37,0.5675675675675675,16.783783783783814,2.4081632653061162,12,25,0.4868421052631579,total_pnl_cents,2025-11,2026-01,2026-02,2026-02
a=5s | move=20c/120s | hold=21600s | vol off | momentum,5,20.0,120,21600,300,0.0,momentum,619.9999999999993,619.9999999999993,8.157894736842096,3.4818874308213688,6.943770676244322,-91.99999999999977,0.27631578947368424,0.4868421052631579,76,37,0.5675675675675675,16.756756756756737,2.4519906323184952,12,25,0.4868421052631579,total_pnl_cents,2025-11,2026-01,2026-02,2026-02
a=10s | move=20c/120s | hold=21600s | vol off | momentum,10,20.0,120,21600,300,0.0,momentum,605.0000000000002,605.0000000000002,7.960526315789477,3.394234826088485,6.710183816220746,-94.99999999999875,0.27631578947368424,0.4868421052631579,76,37,0.5675675675675675,16.35135135135135,2.3718820861677967,12,25,0.4868421052631579,total_pnl_cents,2025-11,2026-01,2026-02,2026-02
a=30s | move=20c/120s | hold=21600s | vol off | momentum,30,20.0,120,21600,300,0.0,momentum,598.0000000000002,598.0000000000002,7.868421052631582,3.482052353286059,6.454777547790463,-95.00000000000074,0.27631578947368424,0.4868421052631579,76,37,0.5675675675675675,16.16216216216217,2.3971962616822298,12,25,0.4868421052631579,total_pnl_cents,2025-11,2026-01,2026-02,2026-02
a=60s | move=20c/120s | hold=21600s | vol off | momentum,60,20.0,120,21600,300,0.0,momentum,590.000000000003,590.000000000003,7.763157894736881,3.4725295952964164,6.049432586286404,-98.99999999999778,0.27631578947368424,0.4868421052631579,76,37,0.5675675675675675,15.945945945946033,2.4320388349514563,12,25,0.4868421052631579,total_pnl_cents,2025-11,2026-01,2026-02,2026-02
a=1s | move=20c/120s | hold=10800s | vol off | momentum,1,20.0,120,10800,300,0.0,momentum,589.0000000000018,589.0000000000018,7.750000000000024,3.1127106594674747,6.925816945530871,-151.99999999999807,0.3157894736842105,0.618421052631579,76,47,0.5106382978723404,12.53191489361706,1.9484702093397743,17,30,0.618421052631579,total_pnl_cents,2025-11,2026-01,2026-02,2026-02
a=5s | move=20c/120s | hold=10800s | vol off | momentum,5,20.0,120,10800,300,0.0,momentum,586.9999999999999,586.9999999999999,7.723684210526314,3.151830416450941,6.951251306921752,-152.99999999999852,0.32894736842105265,0.618421052631579,76,47,0.5319148936170213,12.489361702127662,1.9718543046357622,17,30,0.618421052631579,total_pnl_cents,2025-11,2026-01,2026-02,2026-02
a=5s | move=20c/120s | hold=14400s | vol off | momentum,5,20.0,120,14400,300,0.0,momentum,577.999999999997,577.999999999997,7.605263157894698,3.2660682460964967,9.848953151409313,-110.00000000000063,0.3026315789473684,0.5789473684210527,76,44,0.5227272727272727,13.136363636363575,2.012259194395789,15,29,0.5789473684210527,total_pnl_cents,2025-11,2026-01,2026-02,2026-02
a=1s | move=20c/120s | hold=14400s | vol off | momentum,1,20.0,120,14400,300,0.0,momentum,577.0000000000008,577.0000000000008,7.592105263157905,3.2089723865646413,9.550069639496161,-111.99999999999932,0.3026315789473684,0.5789473684210527,76,44,0.5227272727272727,13.113636363636381,1.9880136986301358,15,29,0.5789473684210527,total_pnl_cents,2025-11,2026-01,2026-02,2026-02
a=30s | move=20c/60s | hold=14400s | vol off | momentum,30,20.0,60,14400,300,0.0,momentum,571.0000000000057,571.0000000000057,7.513157894736917,3.941031106389935,9.39848775425111,-79.9999999999992,0.27631578947368424,0.4605263157894737,76,35,0.6,16.314285714285877,2.8126984126984316,12,23,0.4605263157894737,total_pnl_cents,2025-11,2026-01,2026-02,2026-02
a=60s | move=20c/60s | hold=14400s | vol off | momentum,60,20.0,60,14400,300,0.0,momentum,570.0000000000016,570.0000000000016,7.500000000000021,3.9520630134997474,9.663910451417339,-75.00000000000023,0.2631578947368421,0.4605263157894737,76,35,0.5714285714285714,16.28571428571433,2.803797468354441,12,23,0.4605263157894737,total_pnl_cents,2025-11,2026-01,2026-02,2026-02
a=1s | move=20c/60s | hold=14400s | vol off | momentum,1,20.0,60,14400,300,0.0,momentum,566.0000000000002,566.0000000000002,7.4473684210526345,3.8053804607902806,10.682048495113728,-83.99999999999994,0.27631578947368424,0.4605263157894737,76,35,0.6,16.171428571428578,2.6696165191740278,12,23,0.4605263157894737,total_pnl_cents,2025-11,2026-01,2026-02,2026-02
a=10s | move=20c/120s | hold=14400s | vol off | momentum,10,20.0,120,14400,300,0.0,momentum,565.9999999999973,565.9999999999973,7.4473684210525954,3.1963487375757347,9.068329971262223,-112.99999999999926,0.3026315789473684,0.5789473684210527,76,44,0.5227272727272727,12.863636363636301,1.98093587521663,15,29,0.5789473684210527,total_pnl_cents,2025-11,2026-01,2026-02,2026-02
a=60s | move=20c/60s | hold=21600s | vol off | momentum,60,20.0,60,21600,300,0.0,momentum,561.9999999999993,561.9999999999993,7.394736842105254,3.9347257236173645,7.866643685060694,-99.00000000000011,0.23684210526315788,0.3815789473684211,76,29,0.6206896551724138,19.379310344827562,3.266129032258043,10,19,0.3815789473684211,total_pnl_cents,2025-11,2026-01,2026-02,2026-02
a=30s | move=20c/120s | hold=14400s | vol off | momentum,30,20.0,120,14400,300,0.0,momentum,559.0000000000031,559.0000000000031,7.355263157894777,3.2771994279022056,8.432789277089643,-111.00000000000028,0.3026315789473684,0.5789473684210527,76,44,0.5227272727272727,12.704545454545524,2.012681159420294,15,29,0.5789473684210527,total_pnl_cents,2025-11,2026-01,2026-02,2026-02
