label,delay_s,threshold_cents,lookback_s,hold_s,volume_window_s,volume_multiple,direction,score,total_pnl_cents,avg_daily_pnl_cents,daily_sharpe,daily_sortino,max_drawdown_cents,positive_day_rate,active_day_rate,days,trades,win_rate,avg_trade_cents,profit_factor,long_trades,short_trades,trades_per_day,train_start,train_end,test_start,test_end
a=60s | move=100c/120s | hold=10800s | vol off | momentum,60,100.0,120,10800,300,0.0,momentum,35.00000000000006,35.00000000000006,0.4545454545454553,1.809068067466128,0.0,0.0,0.012987012987012988,0.012987012987012988,77,1,1.0,35.00000000000006,inf,0,1,0.012987012987012988,2025-10,2025-12,2026-01,2026-01
a=1s | move=72.5c/75s | hold=16200s | vol off | momentum,1,72.5,75,16200,300,0.0,momentum,155.9999999999999,155.9999999999999,2.0799999999999983,1.8702421485964613,0.0,-60.00000000000023,0.04,0.05333333333333334,75,4,0.75,38.99999999999997,3.599999999999928,0,4,0.05333333333333334,2025-12,2026-02,2026-03,2026-03
a=7s | move=77.5c/75s | hold=12600s | vol off | momentum,7,77.5,75,12600,300,0.0,momentum,155.99999999999926,155.99999999999926,2.0799999999999903,2.9759917188252802,0.0,0.0,0.04,0.04,75,3,1.0,51.99999999999975,inf,0,3,0.04,2025-12,2026-02,2026-03,2026-03
a=7s | move=80c/75s | hold=12600s | vol off | momentum,7,80.0,75,12600,300,0.0,momentum,155.99999999999926,155.99999999999926,2.0799999999999903,2.9759917188252802,0.0,0.0,0.04,0.04,75,3,1.0,51.99999999999975,inf,0,3,0.04,2025-12,2026-02,2026-03,2026-03
a=10s | move=77.5c/75s | hold=16200s | vol off | momentum,10,77.5,75,16200,300,0.0,momentum,155.00000000000017,155.00000000000017,2.066666666666669,2.1399492708178127,0.0,0.0,0.04,0.04,75,3,1.0,51.66666666666672,inf,0,3,0.04,2025-12,2026-02,2026-03,2026-03
a=10s | move=80c/75s | hold=16200s | vol off | momentum,10,80.0,75,16200,300,0.0,momentum,155.00000000000017,155.00000000000017,2.066666666666669,2.1399492708178127,0.0,0.0,0.04,0.04,75,3,1.0,51.66666666666672,inf,0,3,0.04,2025-12,2026-02,2026-03,2026-03
a=5s | move=75c/300s | hold=21600s | vol off | momentum,5,75.0,300,21600,300,0.0,momentum,153.0000000000012,153.0000000000012,2.040000000000016,1.4228176489147926,0.0,-85.00000000000023,0.04,0.05333333333333334,75,4,0.75,38.2500000000003,2.7999999999999763,0,4,0.05333333333333334,2025-12,2026-02,2026-03,2026-03
a=10s | move=75c/60s | hold=7200s | vol>2x/300s | momentum,10,75.0,60,7200,300,2.0,momentum,152.99999999999977,152.99999999999977,2.039999999999997,2.1775259965502043,0.0,-44.99999999999966,0.04,0.05333333333333334,75,4,0.75,38.24999999999994,4.399999999999923,2,2,0.05333333333333334,2025-12,2026-02,2026-03,2026-03
a=1s | move=85c/75s | hold=12600s | vol off | momentum,1,85.0,75,12600,300,0.0,momentum,152.00000000000006,152.00000000000006,2.0266666666666673,3.1149520151070402,0.0,0.0,0.04,0.04,75,3,1.0,50.666666666666686,inf,0,3,0.04,2025-12,2026-02,2026-03,2026-03
a=10s | move=85c/75s | hold=16200s | vol off | momentum,10,85.0,75,16200,300,0.0,momentum,151.00000000000097,151.00000000000097,2.013333333333346,2.088792789485395,0.0,0.0,0.04,0.04,75,3,1.0,50.333333333333655,inf,0,3,0.04,2025-12,2026-02,2026-03,2026-03
a=5s | move=75c/60s | hold=7200s | vol>2x/300s | momentum,5,75.0,60,7200,300,2.0,momentum,146.00000000000045,146.00000000000045,1.9466666666666728,2.154357894152507,0.0,-49.000000000000284,0.04,0.05333333333333334,75,4,0.75,36.500000000000114,3.9795918367346044,2,2,0.05333333333333334,2025-12,2026-02,2026-03,2026-03
a=7s | move=85c/75s | hold=12600s | vol off | momentum,7,85.0,75,12600,300,0.0,momentum,144.00000000000023,144.00000000000023,1.920000000000003,2.830318104946519,0.0,0.0,0.04,0.04,75,3,1.0,48.00000000000008,inf,0,3,0.04,2025-12,2026-02,2026-03,2026-03
a=5s | move=75c/60s | hold=7200s | vol off | momentum,5,75.0,60,7200,300,0.0,momentum,143.99999999999926,143.99999999999926,1.9199999999999902,1.852231963914346,43.10389309555258,-51.00000000000148,0.05333333333333334,0.08,75,6,0.6666666666666666,23.999999999999876,2.4545454545454066,2,4,0.08,2025-12,2026-02,2026-03,2026-03
a=10s | move=77.5c/75s | hold=12600s | vol off | momentum,10,77.5,75,12600,300,0.0,momentum,142.99999999999972,142.99999999999972,1.906666666666663,2.753065807821286,0.0,0.0,0.04,0.04,75,3,1.0,47.66666666666657,inf,0,3,0.04,2025-12,2026-02,2026-03,2026-03
a=10s | move=80c/75s | hold=12600s | vol off | momentum,10,80.0,75,12600,300,0.0,momentum,142.99999999999972,142.99999999999972,1.906666666666663,2.753065807821286,0.0,0.0,0.04,0.04,75,3,1.0,47.66666666666657,inf,0,3,0.04,2025-12,2026-02,2026-03,2026-03
a=120s | move=75c/60s | hold=14400s | vol off | momentum,120,75.0,60,14400,300,0.0,momentum,142.99999999999892,142.99999999999892,1.9066666666666523,1.7818375151316366,0.0,-39.99999999999994,0.04,0.05333333333333334,75,4,0.75,35.74999999999973,4.574999999999863,0,4,0.05333333333333334,2025-12,2026-02,2026-03,2026-03
a=10s | move=85c/75s | hold=12600s | vol off | momentum,10,85.0,75,12600,300,0.0,momentum,139.9999999999996,139.9999999999996,1.8666666666666614,2.638922069421765,0.0,0.0,0.04,0.04,75,3,1.0,46.666666666666536,inf,0,3,0.04,2025-12,2026-02,2026-03,2026-03
a=5s | move=70c/45s | hold=7200s | vol>3x/300s | momentum,5,70.0,45,7200,300,3.0,momentum,137.0000000000001,137.0000000000001,1.8266666666666682,1.9580913259956731,0.0,-49.000000000000284,0.04,0.05333333333333334,75,4,0.75,34.25000000000003,3.795918367346847,2,2,0.05333333333333334,2025-12,2026-02,2026-03,2026-03
a=30s | move=75c/300s | hold=21600s | vol off | momentum,30,75.0,300,21600,300,0.0,momentum,134.0,134.0,1.7866666666666666,1.3951553141462811,0.0,-88.00000000000034,0.04,0.05333333333333334,75,4,0.75,33.5,2.5227272727272383,0,4,0.05333333333333334,2025-12,2026-02,2026-03,2026-03
a=10s | move=75c/60s | hold=7200s | vol off | momentum,10,75.0,60,7200,300,0.0,momentum,133.9999999999984,133.9999999999984,1.7866666666666455,1.750226916820279,20.055283593083647,-64.00000000000102,0.05333333333333334,0.08,75,6,0.6666666666666666,22.33333333333307,2.4565217391303857,2,4,0.08,2025-12,2026-02,2026-03,2026-03
a=60s | move=75c/60s | hold=14400s | vol off | momentum,60,75.0,60,14400,300,0.0,momentum,130.0000000000008,130.0000000000008,1.733333333333344,1.7366580949042545,0.0,-35.99999999999932,0.04,0.05333333333333334,75,4,0.75,32.5000000000002,4.611111111111073,0,4,0.05333333333333334,2025-12,2026-02,2026-03,2026-03
a=10s | move=100c/180s | hold=7200s | vol off | momentum,10,100.0,180,7200,300,0.0,momentum,126.99999999999926,126.99999999999926,1.6933333333333236,2.0764126121949,0.0,-47.99999999999977,0.04,0.05333333333333334,75,4,0.75,31.749999999999815,3.6458333333332544,2,2,0.05333333333333334,2025-12,2026-02,2026-03,2026-03
