label,delay_s,threshold_cents,lookback_s,hold_s,volume_window_s,volume_multiple,direction,score,total_pnl_cents,avg_daily_pnl_cents,daily_sharpe,daily_sortino,max_drawdown_cents,positive_day_rate,active_day_rate,days,trades,win_rate,avg_trade_cents,profit_factor,long_trades,short_trades,trades_per_day
a=7s | move=77.5c/75s | hold=16200s | vol off | momentum,7,77.5,75,16200,300,0.0,momentum,4779.999999999997,4779.999999999997,67.3239436619718,4.92100878956677,18.3008559795905,-142.99999999999818,0.2535211267605634,0.29577464788732394,71,21,0.8571428571428571,227.61904761904748,33.08053691275165,8,13,0.29577464788732394
a=1s | move=70c/75s | hold=18000s | vol off | momentum,1,70.0,75,18000,300,0.0,momentum,4542.999999999999,4542.999999999999,63.98591549295774,5.383526972339329,110.66230290144107,-165.0000000000009,0.2535211267605634,0.30985915492957744,71,22,0.8181818181818182,206.49999999999997,15.06501547987614,9,13,0.30985915492957744
a=3s | move=77.5c/45s | hold=16200s | vol off | momentum,3,77.5,45,16200,300,0.0,momentum,4535.000000000004,4535.000000000004,63.87323943661977,4.657505229483327,28.83708939593951,-120.99999999999955,0.23943661971830985,0.28169014084507044,71,20,0.85,226.75000000000017,23.67499999999995,8,12,0.28169014084507044
a=15s | move=70c/75s | hold=16200s | vol off | momentum,15,70.0,75,16200,300,0.0,momentum,4535.0,4535.0,63.87323943661972,4.73163229264003,21.618602398461636,-189.99999999999955,0.23943661971830985,0.30985915492957744,71,22,0.7727272727272727,206.13636363636363,17.081560283687853,9,13,0.30985915492957744
a=3s | move=70c/75s | hold=18000s | vol off | momentum,3,70.0,75,18000,300,0.0,momentum,4532.999999999998,4532.999999999998,63.84507042253519,5.383491608471648,26.822172541982173,-168.0000000000009,0.23943661971830985,0.30985915492957744,71,22,0.7727272727272727,206.04545454545448,14.612612612612523,9,13,0.30985915492957744
a=1s | move=77.5c/75s | hold=14400s | vol off | momentum,1,77.5,75,14400,300,0.0,momentum,4528.000000000006,4528.000000000006,63.774647887324036,5.5581027045055516,11.273522001095019,-200.99999999999955,0.2676056338028169,0.29577464788732394,71,21,0.9047619047619048,215.61904761904793,23.527363184079604,8,13,0.29577464788732394
a=30s | move=75c/75s | hold=16200s | vol off | momentum,30,75.0,75,16200,300,0.0,momentum,4523.0,4523.0,63.70422535211268,4.600551271956141,12.313995654977155,-239.0,0.2535211267605634,0.29577464788732394,71,21,0.8571428571428571,215.38095238095238,19.461224489795743,8,13,0.29577464788732394
a=30s | move=80c/75s | hold=16200s | vol off | momentum,30,80.0,75,16200,300,0.0,momentum,4520.999999999998,4520.999999999998,63.67605633802815,4.569202630105514,12.70800893408647,-233.00000000000136,0.2535211267605634,0.29577464788732394,71,21,0.8571428571428571,215.28571428571425,19.37804878048759,8,13,0.29577464788732394
a=5s | move=12c/180s | hold=25200s | vol off | momentum,5,12.0,180,25200,300,0.0,momentum,4517.000000000004,4517.000000000004,63.61971830985921,4.703772895400052,22.895464283402333,-253.99999999999855,0.43661971830985913,0.8450704225352113,71,60,0.5166666666666667,75.28333333333339,5.351637764932571,31,29,0.8450704225352113
a=7s | move=75c/75s | hold=18000s | vol off | momentum,7,75.0,75,18000,300,0.0,momentum,4513.999999999999,4513.999999999999,63.57746478873238,5.405937160059168,21.934237102599507,-147.9999999999991,0.22535211267605634,0.29577464788732394,71,21,0.7619047619047619,214.95238095238088,16.89436619718311,8,13,0.29577464788732394
a=1s | move=12c/180s | hold=25200s | vol off | momentum,1,12.0,180,25200,300,0.0,momentum,4511.999999999998,4511.999999999998,63.54929577464786,4.718237296430618,22.897019668936252,-272.0000000000014,0.43661971830985913,0.8450704225352113,71,60,0.5166666666666667,75.19999999999999,5.276777251184824,31,29,0.8450704225352113
a=10s | move=77.5c/75s | hold=14400s | vol off | momentum,10,77.5,75,14400,300,0.0,momentum,4511.000000000007,4511.000000000007,63.53521126760574,5.702930403620842,16.394965004115775,-188.9999999999991,0.2676056338028169,0.29577464788732394,71,21,0.9047619047619048,214.80952380952417,24.867724867724927,8,13,0.29577464788732394
a=30s | move=10c/180s | hold=25200s | vol off | momentum,30,10.0,180,25200,300,0.0,momentum,4507.999999999997,4507.999999999997,63.49295774647884,4.821712528087866,22.764081775501477,-231.00000000000153,0.4647887323943662,0.8450704225352113,71,60,0.55,75.13333333333328,5.60469867211439,32,28,0.8450704225352113
a=10s | move=70c/75s | hold=18000s | vol off | momentum,10,70.0,75,18000,300,0.0,momentum,4502.999999999996,4502.999999999996,63.42253521126755,5.457862856717697,25.99377097018261,-157.0000000000009,0.23943661971830985,0.30985915492957744,71,22,0.7727272727272727,204.68181818181802,15.028037383177551,9,13,0.30985915492957744
a=5s | move=77.5c/75s | hold=14400s | vol off | momentum,5,77.5,75,14400,300,0.0,momentum,4498.0000000000055,4498.0000000000055,63.352112676056414,5.586296003281266,13.545251449262619,-186.9999999999991,0.2676056338028169,0.29577464788732394,71,21,0.9047619047619048,214.19047619047646,25.053475935828875,8,13,0.29577464788732394
a=30s | move=72.5c/75s | hold=16200s | vol off | momentum,30,72.5,75,16200,300,0.0,momentum,4495.0,4495.0,63.309859154929576,4.56873034379077,14.089119113115514,-239.0,0.2535211267605634,0.30985915492957744,71,22,0.8181818181818182,204.31818181818187,17.169064748201265,8,14,0.30985915492957744
a=3s | move=75c/75s | hold=18000s | vol off | momentum,3,75.0,75,18000,300,0.0,momentum,4489.999999999996,4489.999999999996,63.23943661971826,5.37146115895453,27.664852162485733,-154.00000000000045,0.22535211267605634,0.29577464788732394,71,21,0.7619047619047619,213.80952380952363,17.44688644688628,8,13,0.29577464788732394
a=7s | move=80c/75s | hold=14400s | vol off | momentum,7,80.0,75,14400,300,0.0,momentum,4486.000000000001,4486.000000000001,63.18309859154931,5.62837160571992,16.30410396995417,-188.9999999999991,0.2676056338028169,0.29577464788732394,71,21,0.9047619047619048,213.6190476190477,24.735449735449766,8,13,0.29577464788732394
a=7s | move=72.5c/90s | hold=16200s | vol off | momentum,7,72.5,90,16200,300,0.0,momentum,4484.0,4484.0,63.15492957746479,4.455934280643354,18.88954267695172,-187.00000000000063,0.22535211267605634,0.323943661971831,71,23,0.6956521739130435,194.95652173913044,10.3222453222453,9,14,0.323943661971831
a=10s | move=72.5c/90s | hold=16200s | vol off | momentum,10,72.5,90,16200,300,0.0,momentum,4477.999999999999,4477.999999999999,63.07042253521126,4.401245465018944,19.32036637662088,-190.99999999999983,0.22535211267605634,0.323943661971831,71,23,0.6956521739130435,194.69565217391298,10.527659574468087,9,14,0.323943661971831
a=15s | move=85c/75s | hold=14400s | vol off | momentum,15,85.0,75,14400,300,0.0,momentum,4474.000000000003,4474.000000000003,63.01408450704229,5.771883783475163,0.0,-74.99999999999955,0.28169014084507044,0.29577464788732394,71,21,0.9523809523809523,213.04761904761912,60.65333333333306,8,13,0.29577464788732394
a=1s | move=75c/75s | hold=18000s | vol off | momentum,1,75.0,75,18000,300,0.0,momentum,4469.999999999998,4469.999999999998,62.95774647887321,5.324266247891749,25.636351922198912,-162.00000000000045,0.22535211267605634,0.29577464788732394,71,21,0.7619047619047619,212.85714285714272,16.050505050504935,8,13,0.29577464788732394
a=5s | move=70c/75s | hold=18000s | vol off | momentum,5,70.0,75,18000,300,0.0,momentum,4467.999999999998,4467.999999999998,62.92957746478871,5.3572837994610305,30.88796125501572,-158.0,0.23943661971830985,0.30985915492957744,71,22,0.7727272727272727,203.09090909090898,14.962499999999883,9,13,0.30985915492957744
a=3s | move=77.5c/75s | hold=18000s | vol off | momentum,3,77.5,75,18000,300,0.0,momentum,4464.999999999996,4464.999999999996,62.88732394366192,5.3100905690722,22.19955010806477,-154.00000000000045,0.2112676056338028,0.29577464788732394,71,21,0.7142857142857143,212.61904761904745,16.084459459459328,8,13,0.29577464788732394
a=7s | move=72.5c/75s | hold=18000s | vol off | momentum,7,72.5,75,18000,300,0.0,momentum,4463.999999999998,4463.999999999998,62.87323943661969,5.3334042910014565,25.08091411732038,-147.9999999999991,0.22535211267605634,0.30985915492957744,71,22,0.7272727272727273,202.90909090909082,14.052631578947347,8,14,0.30985915492957744
