params,delay_s,sigma_multiple,move_window_s,hold_s,vol_window_days,vol_method,signal_mode,bad_hour_rule,score,total_pnl_cents,avg_daily_pnl_cents,daily_sharpe,daily_sortino,max_drawdown_cents,positive_day_rate,active_day_rate,days,trades,win_rate,avg_trade_cents,profit_factor,long_trades,short_trades,trades_per_day,profitable_months,month_count,profitable_month_rate,best_month_pnl_cents,best_month_share,top_trade_pnl_cents,top_trade_share,top_trade_removed_pnl_cents,run_key,run_label,objective,train_start,train_end,test_start,test_end
a=120s | move=0.4x percent_to_dollar sigma (63D)/1800s | hold=21600s | reversal | exit_by_midnight,120,0.4,1800,21600,63,percent_to_dollar,reversal,exit_by_midnight,3.8419495191153903,230.77119999999906,4.52492549019606,3.0467474648694552,3.203905945999046,-100.71719999999914,0.19607843137254902,0.29411764705882354,51,15,0.6666666666666666,15.384746666666604,2.401508084577092,10,5,0.29411764705882354,2,2,1.0,196.74079999999861,0.8525361916911617,87.44560000000057,0.37892769981696556,143.32559999999847,robust_percent_all,Robust percent-vol: all directions,robust_stability_score,2025-10-01,2025-11-30,2025-12-01,2025-12-31
a=120s | move=0.55x percent_to_dollar sigma (63D)/1800s | hold=21600s | reversal | exit_by_midnight,120,0.55,1800,21600,63,percent_to_dollar,reversal,exit_by_midnight,3.4604312320408592,191.06239999999934,3.746321568627438,2.6628901661825886,3.71382100837577,-52.57679999999999,0.11764705882352941,0.17647058823529413,51,9,0.6666666666666666,21.229155555555483,2.624989793974342,5,4,0.17647058823529413,2,2,1.0,140.22520000000054,0.7339235768000455,84.48119999999975,0.44216549148341083,106.5811999999996,robust_percent_all,Robust percent-vol: all directions,robust_stability_score,2025-10-01,2025-11-30,2025-12-01,2025-12-31
a=120s | move=0.75x percent_to_dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,120,0.75,1800,3600,63,percent_to_dollar,reversal,exit_by_midnight,2.6527207981378185,44.31919999999932,0.8690039215686142,2.1440946005530304,1.0812912724268873,-19.55840000000017,0.058823529411764705,0.09803921568627451,51,5,0.6,8.863839999999863,3.1029875109134997,3,2,0.09803921568627451,2,2,1.0,31.477600000000056,0.7102474773913008,32.39999999999943,0.7310601274391219,11.91919999999989,robust_percent_all,Robust percent-vol: all directions,robust_stability_score,2025-10-01,2025-11-30,2025-12-01,2025-12-31
a=120s | move=0.25x percent_to_dollar sigma (63D)/1800s | hold=21600s | continuation | exit_by_midnight,120,0.25,1800,21600,63,percent_to_dollar,continuation,exit_by_midnight,1.806472704269426,233.28920000000127,4.574298039215711,1.9954889140896794,2.867057680860448,-207.521599999999,0.27450980392156865,0.49019607843137253,51,25,0.56,9.33156800000005,1.6685569391570692,10,15,0.49019607843137253,1,2,0.5,336.13520000000045,1.440851955426992,139.41840000000087,0.5976204642135174,93.8708000000004,robust_percent_all,Robust percent-vol: all directions,robust_stability_score,2025-10-01,2025-11-30,2025-12-01,2025-12-31
a=120s | move=0.25x percent_to_dollar sigma (63D)/1800s | hold=3600s | continuation | exit_by_midnight,120,0.25,1800,3600,63,percent_to_dollar,continuation,exit_by_midnight,-3.2584891350107448,15.289200000000626,0.2997882352941299,0.28513356251682215,0.23052368713613783,-123.23400000000166,0.29411764705882354,0.49019607843137253,51,25,0.6,0.6115680000000251,1.0815559709135574,10,15,0.49019607843137253,1,2,0.5,63.154000000001226,4.130628155822322,64.42280000000088,4.213614839232807,-49.13360000000025,robust_percent_all,Robust percent-vol: all directions,robust_stability_score,2025-10-01,2025-11-30,2025-12-01,2025-12-31
a=120s | move=1x percent_to_dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,120,1.0,1800,3600,63,percent_to_dollar,reversal,exit_by_midnight,-inf,32.54520000000014,0.6381411764705911,2.222875720904358,0.0,0.0,0.0196078431372549,0.0196078431372549,51,1,1.0,32.54520000000014,inf,1,0,0.0196078431372549,1,2,0.5,32.54520000000014,1.0,32.54520000000014,1.0,0.0,robust_percent_all,Robust percent-vol: all directions,robust_stability_score,2025-10-01,2025-11-30,2025-12-01,2025-12-31
a=120s | move=1x percent_to_dollar sigma (63D)/1800s | hold=21600s | continuation | exit_by_midnight,120,1.0,1800,21600,63,percent_to_dollar,continuation,exit_by_midnight,-inf,24.545199999999603,0.4812784313725412,2.2228757209041987,0.0,0.0,0.0196078431372549,0.0196078431372549,51,1,1.0,24.545199999999603,inf,0,1,0.0196078431372549,1,2,0.5,24.545199999999603,1.0,24.545199999999603,1.0,0.0,robust_percent_all,Robust percent-vol: all directions,robust_stability_score,2025-10-01,2025-11-30,2025-12-01,2025-12-31
a=120s | move=0.55x percent_to_dollar sigma (63D)/1800s | hold=3600s | continuation | exit_by_midnight,120,0.55,1800,3600,63,percent_to_dollar,continuation,exit_by_midnight,-inf,-23.029200000000998,-0.45155294117649014,-0.5455910345555975,-0.5550275642056486,-63.46280000000097,0.0784313725490196,0.21568627450980393,51,11,0.36363636363636365,-2.093563636363727,0.8492963866522762,4,7,0.21568627450980393,1,2,0.5,17.837199999999687,0.7745470967293225,40.43359999999997,1.7557535650390903,-63.46280000000097,robust_percent_all,Robust percent-vol: all directions,robust_stability_score,2025-10-01,2025-11-30,2025-12-01,2025-12-31
a=120s | move=0.55x percent_to_dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,120,0.55,1800,3600,63,percent_to_dollar,reversal,exit_by_midnight,-inf,-33.02919999999901,-0.6476313725490002,-0.7800049633070003,-1.833974333511087,-81.05879999999912,0.13725490196078433,0.21568627450980393,51,11,0.6363636363636364,-3.002654545454455,0.780124885166892,7,4,0.21568627450980393,0,2,0.0,0.0,0.0,43.548400000000086,1.3184818282005435,-76.5775999999991,robust_percent_all,Robust percent-vol: all directions,robust_stability_score,2025-10-01,2025-11-30,2025-12-01,2025-12-31
a=120s | move=0.4x percent_to_dollar sigma (63D)/1800s | hold=3600s | continuation | exit_by_midnight,120,0.4,1800,3600,63,percent_to_dollar,continuation,exit_by_midnight,-inf,-50.03239999999808,-0.9810274509803545,-0.8539871828732524,-0.7328882298046785,-185.04159999999973,0.19607843137254902,0.39215686274509803,51,20,0.5,-2.501619999999904,0.7994497257447273,7,13,0.39215686274509803,1,2,0.5,27.167200000000562,0.5429921410926041,53.428400000000934,1.0678760163414704,-103.46079999999901,robust_percent_all,Robust percent-vol: all directions,robust_stability_score,2025-10-01,2025-11-30,2025-12-01,2025-12-31
