params,delay_s,rarity_percentile,move_window_s,hold_s,signal_mode,bad_hour_rule,trend_filter,vol_filter,time_bucket,score,total_pnl_cents,avg_daily_pnl_cents,daily_sharpe,daily_sortino,max_drawdown_cents,positive_day_rate,active_day_rate,days,trades,win_rate,avg_trade_cents,profit_factor,long_trades,short_trades,trades_per_day,profitable_months,month_count,profitable_month_rate,best_month_pnl_cents,best_month_share,top_trade_pnl_cents,top_trade_share,top_trade_removed_pnl_cents,cluster_neighbors,cluster_positive_neighbors,cluster_positive_rate,rare_stability_score,run_key,run_label,objective,train_start,train_end,test_start,test_end
a=120s | move>97.5th percentile of recent 1800s moves | hold=7200s | reversal | trend=any | vol=any | time=late | exit_by_midnight,120,97.5,1800,7200,reversal,exit_by_midnight,any,any,late,2.749796279251594,135.87719999999854,5.032488888888834,2.257432549462645,1.7790694748746705,-121.54080000000049,0.4444444444444444,0.6296296296296297,27,17,0.7058823529411765,7.992776470588146,1.6360529824140766,11,6,0.6296296296296297,1,1,1.0,135.87719999999848,0.9999999999999996,67.40560000000029,0.4960773404220945,68.47159999999825,11,5,0.45454545454545453,5.431614461069776,regime_rare_move_wf,Regime-gated rare move walk-forward,regime_rare_move_stability_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=120s | move>99th percentile of recent 900s moves | hold=3600s | continuation | trend=up | vol=any | time=any | exit_by_midnight,120,99.0,900,3600,continuation,exit_by_midnight,up,any,any,3.388017390745584,168.4499999999989,6.238888888888848,2.950419722119885,133.64762230741343,-55.63760000000011,0.14814814814814814,0.2222222222222222,27,6,0.6666666666666666,28.074999999999818,2.5282071938686155,1,5,0.2222222222222222,1,1,1.0,168.4499999999989,1.0,114.46000000000016,0.6794894627485955,53.989999999998744,7,3,0.42857142857142855,5.2308745336027265,regime_rare_move_wf,Regime-gated rare move walk-forward,regime_rare_move_stability_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=120s | move>99th percentile of recent 900s moves | hold=7200s | continuation | trend=up | vol=any | time=any | exit_by_midnight,120,99.0,900,7200,continuation,exit_by_midnight,up,any,any,3.388017390745584,168.4499999999989,6.238888888888848,2.950419722119885,133.64762230741343,-55.63760000000011,0.14814814814814814,0.2222222222222222,27,6,0.6666666666666666,28.074999999999818,2.5282071938686155,1,5,0.2222222222222222,1,1,1.0,168.4499999999989,1.0,114.46000000000016,0.6794894627485955,53.989999999998744,7,3,0.42857142857142855,5.2308745336027265,regime_rare_move_wf,Regime-gated rare move walk-forward,regime_rare_move_stability_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=120s | move>95th percentile of recent 900s moves | hold=3600s | reversal | trend=down | vol=any | time=mid | exit_by_midnight,120,95.0,900,3600,reversal,exit_by_midnight,down,any,mid,1.916092110995071,65.61480000000125,2.4301777777778244,1.6390530710004239,1.5283733797540637,-82.96359999999939,0.14814814814814814,0.25925925925925924,27,7,0.5714285714285714,9.373542857143036,1.553948865842911,5,2,0.25925925925925924,1,1,1.0,65.61480000000125,1.0,51.581599999999916,0.786127520010713,14.033200000001337,7,5,0.7142857142857143,4.987520682423642,regime_rare_move_wf,Regime-gated rare move walk-forward,regime_rare_move_stability_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=120s | move>95th percentile of recent 900s moves | hold=7200s | reversal | trend=down | vol=any | time=mid | exit_by_midnight,120,95.0,900,7200,reversal,exit_by_midnight,down,any,mid,1.916092110995071,65.61480000000125,2.4301777777778244,1.6390530710004239,1.5283733797540637,-82.96359999999939,0.14814814814814814,0.25925925925925924,27,7,0.5714285714285714,9.373542857143036,1.553948865842911,5,2,0.25925925925925924,1,1,1.0,65.61480000000125,1.0,51.581599999999916,0.786127520010713,14.033200000001337,7,5,0.7142857142857143,4.987520682423642,regime_rare_move_wf,Regime-gated rare move walk-forward,regime_rare_move_stability_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=120s | move>99th percentile of recent 900s moves | hold=3600s | reversal | trend=any | vol=any | time=late | exit_by_midnight,120,99.0,900,3600,reversal,exit_by_midnight,any,any,late,1.8671185207779495,95.8983999999996,3.5517925925925775,1.56109908711733,1.3660142845254315,-146.1736000000011,0.3333333333333333,0.5555555555555556,27,15,0.6,6.393226666666639,1.394273685595401,13,2,0.5555555555555556,1,1,1.0,95.89839999999961,1.0000000000000002,64.40440000000017,0.6715899326787562,31.49399999999943,7,5,0.7142857142857143,4.93854709220652,regime_rare_move_wf,Regime-gated rare move walk-forward,regime_rare_move_stability_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=120s | move>99th percentile of recent 900s moves | hold=7200s | reversal | trend=any | vol=any | time=late | exit_by_midnight,120,99.0,900,7200,reversal,exit_by_midnight,any,any,late,1.8671185207779495,95.8983999999996,3.5517925925925775,1.56109908711733,1.3660142845254315,-146.1736000000011,0.3333333333333333,0.5555555555555556,27,15,0.6,6.393226666666639,1.394273685595401,13,2,0.5555555555555556,1,1,1.0,95.89839999999961,1.0000000000000002,64.40440000000017,0.6715899326787562,31.49399999999943,7,5,0.7142857142857143,4.93854709220652,regime_rare_move_wf,Regime-gated rare move walk-forward,regime_rare_move_stability_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=120s | move>97.5th percentile of recent 1800s moves | hold=3600s | continuation | trend=up | vol=any | time=mid | exit_by_midnight,120,97.5,1800,3600,continuation,exit_by_midnight,up,any,mid,2.1060308666650775,107.45760000000038,3.979911111111125,1.8339290843151967,2.080065157923081,-99.54359999999988,0.14814814814814814,0.2222222222222222,27,6,0.6666666666666666,17.909600000000065,1.6882466419525888,2,4,0.2222222222222222,1,1,1.0,107.45760000000041,1.0000000000000002,85.41559999999954,0.7948772353002416,22.04200000000084,11,5,0.45454545454545453,4.78784904848326,regime_rare_move_wf,Regime-gated rare move walk-forward,regime_rare_move_stability_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=120s | move>97.5th percentile of recent 1800s moves | hold=7200s | continuation | trend=up | vol=any | time=mid | exit_by_midnight,120,97.5,1800,7200,continuation,exit_by_midnight,up,any,mid,2.1060308666650775,107.45760000000038,3.979911111111125,1.8339290843151967,2.080065157923081,-99.54359999999988,0.14814814814814814,0.2222222222222222,27,6,0.6666666666666666,17.909600000000065,1.6882466419525888,2,4,0.2222222222222222,1,1,1.0,107.45760000000041,1.0000000000000002,85.41559999999954,0.7948772353002416,22.04200000000084,11,5,0.45454545454545453,4.78784904848326,regime_rare_move_wf,Regime-gated rare move walk-forward,regime_rare_move_stability_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=120s | move>97.5th percentile of recent 900s moves | hold=3600s | continuation | trend=up | vol=any | time=mid | exit_by_midnight,120,97.5,900,3600,continuation,exit_by_midnight,up,any,mid,2.0702706961376585,112.45640000000009,4.165051851851855,1.7919475138511907,1.509433552552255,-114.53760000000045,0.14814814814814814,0.2222222222222222,27,6,0.6666666666666666,18.742733333333348,1.6728758795653518,2,4,0.2222222222222222,1,1,1.0,112.4564000000001,1.0000000000000002,86.41600000000005,0.7684400354270632,26.040400000000034,11,5,0.45454545454545453,4.75208887795584,regime_rare_move_wf,Regime-gated rare move walk-forward,regime_rare_move_stability_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=120s | move>97.5th percentile of recent 900s moves | hold=7200s | continuation | trend=up | vol=any | time=mid | exit_by_midnight,120,97.5,900,7200,continuation,exit_by_midnight,up,any,mid,2.0702706961376585,112.45640000000009,4.165051851851855,1.7919475138511907,1.509433552552255,-114.53760000000045,0.14814814814814814,0.2222222222222222,27,6,0.6666666666666666,18.742733333333348,1.6728758795653518,2,4,0.2222222222222222,1,1,1.0,112.4564000000001,1.0000000000000002,86.41600000000005,0.7684400354270632,26.040400000000034,11,5,0.45454545454545453,4.75208887795584,regime_rare_move_wf,Regime-gated rare move walk-forward,regime_rare_move_stability_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=120s | move>95th percentile of recent 900s moves | hold=3600s | continuation | trend=any | vol=any | time=early | exit_by_midnight,120,95.0,900,3600,continuation,exit_by_midnight,any,any,early,2.869942760461987,144.17799999999858,5.339925925925873,2.562182292706852,2.495317463602835,-107.2655999999996,0.1111111111111111,0.18518518518518517,27,5,0.6,28.835599999999726,2.344121507734044,3,2,0.18518518518518517,1,1,1.0,144.17799999999863,1.0000000000000004,109.42519999999904,0.7589590644897288,34.75279999999954,7,3,0.42857142857142855,4.71279990331913,regime_rare_move_wf,Regime-gated rare move walk-forward,regime_rare_move_stability_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=120s | move>95th percentile of recent 900s moves | hold=7200s | continuation | trend=any | vol=any | time=early | exit_by_midnight,120,95.0,900,7200,continuation,exit_by_midnight,any,any,early,2.869942760461987,144.17799999999858,5.339925925925873,2.562182292706852,2.495317463602835,-107.2655999999996,0.1111111111111111,0.18518518518518517,27,5,0.6,28.835599999999726,2.344121507734044,3,2,0.18518518518518517,1,1,1.0,144.17799999999863,1.0000000000000004,109.42519999999904,0.7589590644897288,34.75279999999954,7,3,0.42857142857142855,4.71279990331913,regime_rare_move_wf,Regime-gated rare move walk-forward,regime_rare_move_stability_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=120s | move>95th percentile of recent 900s moves | hold=3600s | continuation | trend=up | vol=any | time=mid | exit_by_midnight,120,95.0,900,3600,continuation,exit_by_midnight,up,any,mid,2.0476536232019438,191.21799999999902,7.082148148148112,1.9921000378281841,1.7294647315460414,-131.56799999999922,0.18518518518518517,0.2962962962962963,27,8,0.625,23.902249999999874,1.7878183112611017,2,6,0.2962962962962963,1,1,1.0,191.21799999999902,1.0,199.4259999999996,1.0429248292524793,-8.208000000000567,7,4,0.5714285714285714,4.504796480344801,regime_rare_move_wf,Regime-gated rare move walk-forward,regime_rare_move_stability_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=120s | move>95th percentile of recent 900s moves | hold=7200s | continuation | trend=up | vol=any | time=mid | exit_by_midnight,120,95.0,900,7200,continuation,exit_by_midnight,up,any,mid,2.0476536232019438,191.21799999999902,7.082148148148112,1.9921000378281841,1.7294647315460414,-131.56799999999922,0.18518518518518517,0.2962962962962963,27,8,0.625,23.902249999999874,1.7878183112611017,2,6,0.2962962962962963,1,1,1.0,191.21799999999902,1.0,199.4259999999996,1.0429248292524793,-8.208000000000567,7,4,0.5714285714285714,4.504796480344801,regime_rare_move_wf,Regime-gated rare move walk-forward,regime_rare_move_stability_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=120s | move>97.5th percentile of recent 900s moves | hold=3600s | reversal | trend=down | vol=any | time=any | exit_by_midnight,120,97.5,900,3600,reversal,exit_by_midnight,down,any,any,1.1887958234016944,61.19480000000207,2.2664740740741505,1.3266735571228323,1.2910530380937244,-75.04079999999887,0.18518518518518517,0.37037037037037035,27,10,0.5,6.119480000000207,1.4297447997865214,6,4,0.37037037037037035,1,1,1.0,61.19480000000206,0.9999999999999999,89.49560000000017,1.462470667442285,-28.300799999998098,11,6,0.5454545454545454,4.406977641583513,regime_rare_move_wf,Regime-gated rare move walk-forward,regime_rare_move_stability_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
