signal_time,signal_time_dubai,entry_time,entry_time_dubai,exit_time,exit_time_dubai,side,move_cents,threshold_cents,daily_sigma_dollars,sigma_multiple,entry_price,exit_price,gross_pnl_cents,cost_cents,net_pnl_cents,bad_hour_rule,signal_mode,params,selected_params,backtest_start,backtest_end
2025-11-14 15:55:46,2025-11-14 19:55:46,2025-11-14 15:57:46,2025-11-14 19:57:46,2025-11-14 19:59:59,2025-11-14 23:59:59,1,-76.9999999999996,75.89632029001109,1.0119509372001478,0.75,63.69,64.48,79.00000000000063,2.5476,76.45240000000062,exit_by_midnight,reversal,a=120s | move=0.75x percent_to_dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,a=120s | move=0.75x percent_to_dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,2025-11-01,2026-03-26
2026-03-04 12:44:13,2026-03-04 16:44:13,2026-03-04 12:46:13,2026-03-04 16:46:13,2026-03-04 19:59:59,2026-03-04 23:59:59,-1,117.99999999999926,115.77871452314182,1.5437161936418908,0.75,84.38,80.98,339.99999999999915,3.3752,336.62479999999914,exit_by_midnight,reversal,a=120s | move=0.75x percent_to_dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,a=120s | move=0.75x percent_to_dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,2025-11-01,2026-03-26
2026-03-05 10:51:37,2026-03-05 14:51:37,2026-03-05 10:53:37,2026-03-05 14:53:37,2026-03-05 19:59:59,2026-03-05 23:59:59,1,-117.00000000000017,116.81010729556152,1.5574680972741535,0.75,82.42,84.14,171.9999999999999,3.2968,168.7031999999999,exit_by_midnight,reversal,a=120s | move=0.75x percent_to_dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,a=120s | move=0.75x percent_to_dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,2025-11-01,2026-03-26
2026-03-06 13:34:39,2026-03-06 17:34:39,2026-03-06 13:36:39,2026-03-06 17:36:39,2026-03-06 19:59:59,2026-03-06 23:59:59,-1,130.9999999999988,130.35663547028224,1.738088472937097,0.75,86.48,90.91,-442.99999999999926,3.4592,-446.45919999999927,exit_by_midnight,reversal,a=120s | move=0.75x percent_to_dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,a=120s | move=0.75x percent_to_dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,2025-11-01,2026-03-26
2026-03-09 07:39:03,2026-03-09 11:39:03,2026-03-09 07:41:03,2026-03-09 11:41:03,2026-03-09 19:59:59,2026-03-09 23:59:59,-1,159.00000000000034,155.34601808246094,2.0712802410994793,0.75,115.09,98.23,1686.0,4.6036,1681.3964,exit_by_midnight,reversal,a=120s | move=0.75x percent_to_dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,a=120s | move=0.75x percent_to_dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,2025-11-01,2026-03-26
2026-03-10 07:35:36,2026-03-10 11:35:36,2026-03-10 07:37:36,2026-03-10 11:37:36,2026-03-10 19:59:59,2026-03-10 23:59:59,-1,156.00000000000023,153.34408958078913,2.0445878610771886,0.75,94.02,88.45,556.9999999999993,3.7607999999999997,553.2391999999993,exit_by_midnight,reversal,a=120s | move=0.75x percent_to_dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,a=120s | move=0.75x percent_to_dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,2025-11-01,2026-03-26
2026-03-11 11:36:53,2026-03-11 15:36:53,2026-03-11 11:38:53,2026-03-11 15:38:53,2026-03-11 19:59:59,2026-03-11 23:59:59,-1,157.99999999999983,156.0708721540917,2.0809449620545557,0.75,89.33,92.17,-284.00000000000034,3.5732,-287.5732000000003,exit_by_midnight,reversal,a=120s | move=0.75x percent_to_dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,a=120s | move=0.75x percent_to_dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,2025-11-01,2026-03-26
2026-03-12 09:03:27,2026-03-12 13:03:27,2026-03-12 09:05:27,2026-03-12 13:05:27,2026-03-12 19:59:59,2026-03-12 23:59:59,1,-161.99999999999903,158.34086683561307,2.1112115578081743,0.75,98.7,98.97,26.999999999999602,3.9480000000000004,23.0519999999996,exit_by_midnight,reversal,a=120s | move=0.75x percent_to_dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,a=120s | move=0.75x percent_to_dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,2025-11-01,2026-03-26
2026-03-13 14:49:14,2026-03-13 18:49:14,2026-03-13 14:51:14,2026-03-13 18:51:14,2026-03-13 19:59:59,2026-03-13 23:59:59,1,-192.00000000000017,190.3189347384211,2.5375857965122814,0.75,98.79,101.45,265.99999999999966,3.9516000000000004,262.0483999999997,exit_by_midnight,reversal,a=120s | move=0.75x percent_to_dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,a=120s | move=0.75x percent_to_dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,2025-11-01,2026-03-26
2026-03-16 11:34:42,2026-03-16 15:34:42,2026-03-16 11:36:42,2026-03-16 15:36:42,2026-03-16 19:59:59,2026-03-16 23:59:59,-1,198.0000000000004,193.5440066713014,2.5805867556173516,0.75,106.26,101.91,435.00000000000085,4.2504,430.74960000000084,exit_by_midnight,reversal,a=120s | move=0.75x percent_to_dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,a=120s | move=0.75x percent_to_dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,2025-11-01,2026-03-26
2026-03-17 09:58:36,2026-03-17 13:58:36,2026-03-17 10:00:36,2026-03-17 14:00:36,2026-03-17 19:59:59,2026-03-17 23:59:59,-1,195.00000000000028,191.09161619359062,2.5478882159145417,0.75,104.69,102.67,201.9999999999996,4.1876,197.8123999999996,exit_by_midnight,reversal,a=120s | move=0.75x percent_to_dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,a=120s | move=0.75x percent_to_dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,2025-11-01,2026-03-26
2026-03-18 16:22:53,2026-03-18 20:22:53,2026-03-18 16:24:53,2026-03-18 20:24:53,2026-03-18 19:59:59,2026-03-18 23:59:59,-1,200.0,199.1716278283613,2.6556217043781505,0.75,105.98,108.55,-256.9999999999993,4.2392,-261.2391999999993,exit_by_midnight,reversal,a=120s | move=0.75x percent_to_dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,a=120s | move=0.75x percent_to_dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,2025-11-01,2026-03-26
2026-03-19 12:39:31,2026-03-19 16:39:31,2026-03-19 12:41:31,2026-03-19 16:41:31,2026-03-19 19:59:59,2026-03-19 23:59:59,-1,223.0000000000004,216.18869546982617,2.8825159395976825,0.75,115.3,110.33,496.9999999999999,4.612,492.38799999999986,exit_by_midnight,reversal,a=120s | move=0.75x percent_to_dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,a=120s | move=0.75x percent_to_dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,2025-11-01,2026-03-26
2026-03-20 15:18:13,2026-03-20 19:18:13,2026-03-20 15:20:13,2026-03-20 19:20:13,2026-03-20 19:59:59,2026-03-20 23:59:59,1,-214.00000000000006,213.89658189982742,2.8519544253310323,0.75,108.24,109.2,96.0000000000008,4.3296,91.6704000000008,exit_by_midnight,reversal,a=120s | move=0.75x percent_to_dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,a=120s | move=0.75x percent_to_dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,2025-11-01,2026-03-26
2026-03-23 15:05:18,2026-03-23 19:05:18,2026-03-23 15:07:18,2026-03-23 19:07:18,2026-03-23 19:59:59,2026-03-23 23:59:59,1,-229.00000000000063,222.29045473256724,2.963872729767563,0.75,101.48,102.44,95.99999999999937,4.059200000000001,91.94079999999937,exit_by_midnight,reversal,a=120s | move=0.75x percent_to_dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,a=120s | move=0.75x percent_to_dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,2025-11-01,2026-03-26
2026-03-24 12:05:53,2026-03-24 16:05:53,2026-03-24 12:07:53,2026-03-24 16:07:53,2026-03-24 19:59:59,2026-03-24 23:59:59,1,-227.00000000000102,226.62586945882742,3.0216782594510323,0.75,101.07,103.88,281.0000000000002,4.0428,276.9572000000002,exit_by_midnight,reversal,a=120s | move=0.75x percent_to_dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,a=120s | move=0.75x percent_to_dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,2025-11-01,2026-03-26
