signal_time,signal_time_dubai,entry_time,entry_time_dubai,exit_time,exit_time_dubai,side,move_cents,threshold_cents,rarity_percentile,entry_price,exit_price,gross_pnl_cents,cost_cents,net_pnl_cents,bad_hour_rule,signal_mode,trend_filter,vol_filter,time_bucket,trend_5d_pct,vol_rank,params,run_key,run_label,objective,test_start,test_end,selected_params
2026-03-02 07:06:56,2026-03-02 11:06:56,2026-03-02 07:11:56,2026-03-02 11:11:56,2026-03-02 11:11:56,2026-03-02 15:11:56,-1,14.999999999999147,14.999999999999147,95.0,76.5,79.53,-303.0000000000001,3.06,-306.0600000000001,exit_by_midnight,reversal,any,any,any,0.02272089761570828,1.0,a=300s | move>95th percentile of recent 300s moves | hold=14400s | reversal | exit_by_midnight,rare_move_percentile_wf,Rare move percentile walk-forward,rare_move_stability_score,2026-03-01,2026-03-26,a=300s | move>95th percentile of recent 300s moves | hold=14400s | reversal | exit_by_midnight
2026-03-03 07:11:17,2026-03-03 11:11:17,2026-03-03 07:16:17,2026-03-03 11:16:17,2026-03-03 11:16:17,2026-03-03 15:16:17,-1,16.00000000000108,15.999999999999659,95.0,79.43,80.31,-87.99999999999955,3.1772000000000005,-91.17719999999954,exit_by_midnight,reversal,any,any,any,0.08882642304989452,1.0,a=300s | move>95th percentile of recent 300s moves | hold=14400s | reversal | exit_by_midnight,rare_move_percentile_wf,Rare move percentile walk-forward,rare_move_stability_score,2026-03-01,2026-03-26,a=300s | move>95th percentile of recent 300s moves | hold=14400s | reversal | exit_by_midnight
2026-03-04 07:05:00,2026-03-04 11:05:00,2026-03-04 07:10:00,2026-03-04 11:10:00,2026-03-04 11:10:00,2026-03-04 15:10:00,1,-23.000000000000398,16.99999999999946,95.0,82.1,83.96,185.99999999999994,3.284,182.71599999999995,exit_by_midnight,reversal,any,any,any,0.13523433088650472,1.0,a=300s | move>95th percentile of recent 300s moves | hold=14400s | reversal | exit_by_midnight,rare_move_percentile_wf,Rare move percentile walk-forward,rare_move_stability_score,2026-03-01,2026-03-26,a=300s | move>95th percentile of recent 300s moves | hold=14400s | reversal | exit_by_midnight
2026-03-05 07:07:11,2026-03-05 11:07:11,2026-03-05 07:12:11,2026-03-05 11:12:11,2026-03-05 11:12:11,2026-03-05 15:12:11,1,-17.99999999999926,17.99999999999926,95.0,83.57,83.52,-4.999999999999716,3.3428,-8.342799999999716,exit_by_midnight,reversal,any,any,any,0.14484993659292655,1.0,a=300s | move>95th percentile of recent 300s moves | hold=14400s | reversal | exit_by_midnight,rare_move_percentile_wf,Rare move percentile walk-forward,rare_move_stability_score,2026-03-01,2026-03-26,a=300s | move>95th percentile of recent 300s moves | hold=14400s | reversal | exit_by_midnight
2026-03-06 07:15:38,2026-03-06 11:15:38,2026-03-06 07:20:38,2026-03-06 11:20:38,2026-03-06 11:20:38,2026-03-06 15:20:38,1,-21.000000000000796,18.999999999999773,95.0,84.4,84.87,46.999999999999886,3.3760000000000003,43.62399999999989,exit_by_midnight,reversal,any,any,any,0.21119413506273776,1.0,a=300s | move>95th percentile of recent 300s moves | hold=14400s | reversal | exit_by_midnight,rare_move_percentile_wf,Rare move percentile walk-forward,rare_move_stability_score,2026-03-01,2026-03-26,a=300s | move>95th percentile of recent 300s moves | hold=14400s | reversal | exit_by_midnight
2026-03-09 07:05:00,2026-03-09 11:05:00,2026-03-09 07:10:00,2026-03-09 11:10:00,2026-03-09 11:10:00,2026-03-09 15:10:00,1,-118.99999999999977,20.000000000000284,95.0,113.31,106.75,-656.0000000000002,4.5324,-660.5324000000003,exit_by_midnight,reversal,any,any,any,0.19788305150380792,0.9841269841269841,a=300s | move>95th percentile of recent 300s moves | hold=14400s | reversal | exit_by_midnight,rare_move_percentile_wf,Rare move percentile walk-forward,rare_move_stability_score,2026-03-01,2026-03-26,a=300s | move>95th percentile of recent 300s moves | hold=14400s | reversal | exit_by_midnight
2026-03-10 07:05:00,2026-03-10 11:05:00,2026-03-10 07:10:00,2026-03-10 11:10:00,2026-03-10 11:10:00,2026-03-10 15:10:00,-1,26.00000000000051,23.000000000000398,95.0,92.88,92.17,70.99999999999937,3.7152,67.28479999999938,exit_by_midnight,reversal,any,any,any,0.1155185277294204,0.9682539682539683,a=300s | move>95th percentile of recent 300s moves | hold=14400s | reversal | exit_by_midnight,rare_move_percentile_wf,Rare move percentile walk-forward,rare_move_stability_score,2026-03-01,2026-03-26,a=300s | move>95th percentile of recent 300s moves | hold=14400s | reversal | exit_by_midnight
2026-03-11 07:14:00,2026-03-11 11:14:00,2026-03-11 07:19:00,2026-03-11 11:19:00,2026-03-11 11:19:00,2026-03-11 15:19:00,1,-28.000000000000114,26.999999999999602,95.0,88.08,87.6,-48.0000000000004,3.5232,-51.5232000000004,exit_by_midnight,reversal,any,any,any,0.12209230769230772,1.0,a=300s | move>95th percentile of recent 300s moves | hold=14400s | reversal | exit_by_midnight,rare_move_percentile_wf,Rare move percentile walk-forward,rare_move_stability_score,2026-03-01,2026-03-26,a=300s | move>95th percentile of recent 300s moves | hold=14400s | reversal | exit_by_midnight
2026-03-12 07:06:04,2026-03-12 11:06:04,2026-03-12 07:11:04,2026-03-12 11:11:04,2026-03-12 11:11:04,2026-03-12 15:11:04,1,-31.000000000000227,29.000000000000625,95.0,100.36,97.32,-304.0000000000006,4.0144,-308.01440000000065,exit_by_midnight,reversal,any,any,any,0.07659178209754391,1.0,a=300s | move>95th percentile of recent 300s moves | hold=14400s | reversal | exit_by_midnight,rare_move_percentile_wf,Rare move percentile walk-forward,rare_move_stability_score,2026-03-01,2026-03-26,a=300s | move>95th percentile of recent 300s moves | hold=14400s | reversal | exit_by_midnight
2026-03-13 07:05:02,2026-03-13 11:05:02,2026-03-13 07:10:02,2026-03-13 11:10:02,2026-03-13 11:10:02,2026-03-13 15:10:02,-1,37.000000000000455,32.00000000000074,95.0,101.18,101.57,-38.999999999998636,4.0472,-43.04719999999864,exit_by_midnight,reversal,any,any,any,0.0909972000861512,1.0,a=300s | move>95th percentile of recent 300s moves | hold=14400s | reversal | exit_by_midnight,rare_move_percentile_wf,Rare move percentile walk-forward,rare_move_stability_score,2026-03-01,2026-03-26,a=300s | move>95th percentile of recent 300s moves | hold=14400s | reversal | exit_by_midnight
2026-03-16 07:42:01,2026-03-16 11:42:01,2026-03-16 07:47:01,2026-03-16 11:47:01,2026-03-16 11:47:01,2026-03-16 15:47:01,-1,34.00000000000034,34.00000000000034,95.0,104.25,106.23,-198.0000000000004,4.17,-202.17000000000039,exit_by_midnight,reversal,any,any,any,0.14814401961877177,1.0,a=300s | move>95th percentile of recent 300s moves | hold=14400s | reversal | exit_by_midnight,rare_move_percentile_wf,Rare move percentile walk-forward,rare_move_stability_score,2026-03-01,2026-03-26,a=300s | move>95th percentile of recent 300s moves | hold=14400s | reversal | exit_by_midnight
2026-03-17 07:36:19,2026-03-17 11:36:19,2026-03-17 07:41:19,2026-03-17 11:41:19,2026-03-17 11:41:19,2026-03-17 15:41:19,1,-37.999999999999545,35.99999999999994,95.0,102.85,103.2,35.00000000000085,4.114,30.886000000000852,exit_by_midnight,reversal,any,any,any,0.09772951628825277,0.9682539682539683,a=300s | move>95th percentile of recent 300s moves | hold=14400s | reversal | exit_by_midnight,rare_move_percentile_wf,Rare move percentile walk-forward,rare_move_stability_score,2026-03-01,2026-03-26,a=300s | move>95th percentile of recent 300s moves | hold=14400s | reversal | exit_by_midnight
2026-03-18 07:23:29,2026-03-18 11:23:29,2026-03-18 07:28:29,2026-03-18 11:28:29,2026-03-18 11:28:29,2026-03-18 15:28:29,1,-39.00000000000006,36.999999999999034,95.0,101.88,101.87,-0.9999999999990905,4.0752,-5.07519999999909,exit_by_midnight,reversal,any,any,any,0.12109417234295594,1.0,a=300s | move>95th percentile of recent 300s moves | hold=14400s | reversal | exit_by_midnight,rare_move_percentile_wf,Rare move percentile walk-forward,rare_move_stability_score,2026-03-01,2026-03-26,a=300s | move>95th percentile of recent 300s moves | hold=14400s | reversal | exit_by_midnight
2026-03-19 07:12:16,2026-03-19 11:12:16,2026-03-19 07:17:16,2026-03-19 11:17:16,2026-03-19 11:17:16,2026-03-19 15:17:16,1,-43.99999999999977,37.999999999999545,95.0,111.42,114.22,279.9999999999997,4.4568,275.54319999999973,exit_by_midnight,reversal,any,any,any,0.08242029414667851,1.0,a=300s | move>95th percentile of recent 300s moves | hold=14400s | reversal | exit_by_midnight,rare_move_percentile_wf,Rare move percentile walk-forward,rare_move_stability_score,2026-03-01,2026-03-26,a=300s | move>95th percentile of recent 300s moves | hold=14400s | reversal | exit_by_midnight
2026-03-20 07:21:56,2026-03-20 11:21:56,2026-03-20 07:26:56,2026-03-20 11:26:56,2026-03-20 11:26:56,2026-03-20 15:26:56,-1,42.00000000000017,40.00000000000057,95.0,107.49,108.38,-89.00000000000006,4.2996,-93.29960000000005,exit_by_midnight,reversal,any,any,any,0.043794911633326716,0.9841269841269841,a=300s | move>95th percentile of recent 300s moves | hold=14400s | reversal | exit_by_midnight,rare_move_percentile_wf,Rare move percentile walk-forward,rare_move_stability_score,2026-03-01,2026-03-26,a=300s | move>95th percentile of recent 300s moves | hold=14400s | reversal | exit_by_midnight
2026-03-23 09:36:27,2026-03-23 13:36:27,2026-03-23 09:41:27,2026-03-23 13:41:27,2026-03-23 13:41:27,2026-03-23 17:41:27,1,-42.00000000000017,42.00000000000017,95.0,111.89,113.61,171.9999999999999,4.4756,167.5243999999999,exit_by_midnight,reversal,any,any,any,0.11580735411670662,0.9841269841269841,a=300s | move>95th percentile of recent 300s moves | hold=14400s | reversal | exit_by_midnight,rare_move_percentile_wf,Rare move percentile walk-forward,rare_move_stability_score,2026-03-01,2026-03-26,a=300s | move>95th percentile of recent 300s moves | hold=14400s | reversal | exit_by_midnight
2026-03-24 09:14:03,2026-03-24 13:14:03,2026-03-24 09:19:03,2026-03-24 13:19:03,2026-03-24 13:19:03,2026-03-24 17:19:03,1,-45.000000000000284,44.000000000001194,95.0,103.55,102.12,-142.99999999999926,4.142,-147.14199999999926,exit_by_midnight,reversal,any,any,any,-0.03761211302922163,1.0,a=300s | move>95th percentile of recent 300s moves | hold=14400s | reversal | exit_by_midnight,rare_move_percentile_wf,Rare move percentile walk-forward,rare_move_stability_score,2026-03-01,2026-03-26,a=300s | move>95th percentile of recent 300s moves | hold=14400s | reversal | exit_by_midnight
2026-03-25 07:06:36,2026-03-25 11:06:36,2026-03-25 07:11:36,2026-03-25 11:11:36,2026-03-25 11:11:36,2026-03-25 15:11:36,1,-45.000000000000284,45.000000000000284,95.0,99.06,100.08,101.9999999999996,3.9624,98.0375999999996,exit_by_midnight,reversal,any,any,any,-0.05362028086813786,1.0,a=300s | move>95th percentile of recent 300s moves | hold=14400s | reversal | exit_by_midnight,rare_move_percentile_wf,Rare move percentile walk-forward,rare_move_stability_score,2026-03-01,2026-03-26,a=300s | move>95th percentile of recent 300s moves | hold=14400s | reversal | exit_by_midnight
2026-03-26 11:01:01,2026-03-26 15:01:01,2026-03-26 11:06:01,2026-03-26 15:06:01,2026-03-26 15:06:01,2026-03-26 19:06:01,-1,46.999999999999886,46.000000000000796,95.0,105.0,106.05,-104.99999999999972,4.2,-109.19999999999972,exit_by_midnight,reversal,any,any,any,-0.044004093404037437,0.9841269841269841,a=300s | move>95th percentile of recent 300s moves | hold=14400s | reversal | exit_by_midnight,rare_move_percentile_wf,Rare move percentile walk-forward,rare_move_stability_score,2026-03-01,2026-03-26,a=300s | move>95th percentile of recent 300s moves | hold=14400s | reversal | exit_by_midnight
