date,dollar_monthly_sharpe_objective,dollar_monthly_pnl_objective,percent_to_dollar_monthly_sharpe_objective,percent_to_dollar_monthly_pnl_objective
2026-03-03,-418.1820000000006,-410.18520000000075,403.81480000000073,403.81480000000073
2026-03-04,-344.3755999999997,123.7099999999996,236.66479999999916,236.66479999999916
2026-03-05,-112.32200000000034,-2.3659999999994885,81.66839999999944,81.66839999999944
2026-03-06,449.5448000000001,-591.4011999999996,-463.45239999999944,-463.45239999999944
2026-03-07,0.0,0.0,0.0,0.0
2026-03-09,1592.432,-1608.570799999999,-1608.570799999999,-1608.570799999999
2026-03-10,-411.70119999999986,404.2987999999998,404.2987999999998,404.2987999999998
2026-03-11,-554.4664000000005,385.46880000000004,544.5324000000005,544.5324000000005
2026-03-12,-136.01160000000073,127.98840000000074,127.98840000000074,127.98840000000074
2026-03-13,-109.09999999999971,-8.056400000000625,93.9028000000004,93.9028000000004
2026-03-14,0.0,0.0,0.0,0.0
2026-03-16,-405.2368000000005,-205.15680000000052,401.7612000000002,401.7612000000002
2026-03-17,-186.1795999999993,108.84799999999954,180.81919999999943,180.81919999999943
2026-03-18,286.7743999999997,750.9599999999998,-392.18679999999955,-392.18679999999955
2026-03-19,-433.5848000000006,172.5159999999996,444.4071999999995,444.4071999999995
2026-03-20,49.65360000000062,-178.2984000000009,-75.3396000000008,-75.3396000000008
2026-03-21,0.0,0.0,0.0,0.0
2026-03-23,-1090.532,-942.4727999999996,1097.4615999999996,1097.4615999999996
2026-03-24,-308.0335999999992,127.89759999999931,106.88919999999995,106.88919999999995
2026-03-25,121.9780000000005,-205.9915999999996,419.09680000000037,419.09680000000037
2026-03-26,0.0,-182.2284000000001,0.0,0.0
