signal_time,signal_time_dubai,entry_time,entry_time_dubai,exit_time,exit_time_dubai,side,move_cents,threshold_cents,daily_sigma_dollars,sigma_multiple,entry_price,exit_price,gross_pnl_cents,cost_cents,net_pnl_cents,bad_hour_rule,signal_mode,params,run_key,run_label,objective,test_start,test_end,selected_params
2026-01-05 12:29:54,2026-01-05 16:29:54,2026-01-05 12:31:54,2026-01-05 16:31:54,2026-01-05 16:31:54,2026-01-05 20:31:54,1,-46.000000000000085,44.74345857749497,0.8135174286817266,0.55,59.57,60.68,110.99999999999994,2.3828,108.61719999999994,exit_by_midnight,reversal,a=120s | move=0.55x percent_to_dollar sigma (63D)/900s | hold=14400s | reversal | exit_by_midnight,stable_4var_percent,Stable 4-variable percent-vol walk-forward,stable_4var_score,2026-01-01,2026-01-31,a=120s | move=0.55x percent_to_dollar sigma (63D)/900s | hold=14400s | reversal | exit_by_midnight
2026-03-04 12:30:15,2026-03-04 16:30:15,2026-03-04 12:32:15,2026-03-04 16:32:15,2026-03-04 16:32:15,2026-03-04 20:32:15,-1,90.99999999999966,84.90439065030401,1.5437161936418908,0.55,84.01,82.38,163.00000000000097,3.3604000000000003,159.63960000000097,exit_by_midnight,reversal,a=120s | move=0.55x percent_to_dollar sigma (63D)/900s | hold=14400s | reversal | exit_by_midnight,stable_4var_percent,Stable 4-variable percent-vol walk-forward,stable_4var_score,2026-03-01,2026-03-26,a=120s | move=0.55x percent_to_dollar sigma (63D)/900s | hold=14400s | reversal | exit_by_midnight
2026-03-05 10:10:50,2026-03-05 14:10:50,2026-03-05 10:12:50,2026-03-05 14:12:50,2026-03-05 14:12:50,2026-03-05 18:12:50,1,-89.99999999999915,85.66074535007846,1.5574680972741535,0.55,83.94,82.75,-118.99999999999977,3.3576,-122.35759999999978,exit_by_midnight,reversal,a=120s | move=0.55x percent_to_dollar sigma (63D)/900s | hold=14400s | reversal | exit_by_midnight,stable_4var_percent,Stable 4-variable percent-vol walk-forward,stable_4var_score,2026-03-01,2026-03-26,a=120s | move=0.55x percent_to_dollar sigma (63D)/900s | hold=14400s | reversal | exit_by_midnight
2026-03-06 13:40:06,2026-03-06 17:40:06,2026-03-06 13:42:06,2026-03-06 17:42:06,2026-03-06 17:42:06,2026-03-06 21:42:06,-1,96.99999999999989,95.59486601154033,1.738088472937097,0.55,86.98,89.4,-242.00000000000017,3.4792,-245.47920000000016,exit_by_midnight,reversal,a=120s | move=0.55x percent_to_dollar sigma (63D)/900s | hold=14400s | reversal | exit_by_midnight,stable_4var_percent,Stable 4-variable percent-vol walk-forward,stable_4var_score,2026-03-01,2026-03-26,a=120s | move=0.55x percent_to_dollar sigma (63D)/900s | hold=14400s | reversal | exit_by_midnight
2026-03-09 07:15:00,2026-03-09 11:15:00,2026-03-09 07:17:00,2026-03-09 11:17:00,2026-03-09 11:17:00,2026-03-09 15:17:00,1,-182.00000000000074,113.92041326047136,2.0712802410994793,0.55,113.98,106.91,-707.0000000000007,4.559200000000001,-711.5592000000007,exit_by_midnight,reversal,a=120s | move=0.55x percent_to_dollar sigma (63D)/900s | hold=14400s | reversal | exit_by_midnight,stable_4var_percent,Stable 4-variable percent-vol walk-forward,stable_4var_score,2026-03-01,2026-03-26,a=120s | move=0.55x percent_to_dollar sigma (63D)/900s | hold=14400s | reversal | exit_by_midnight
2026-03-10 07:26:22,2026-03-10 11:26:22,2026-03-10 07:28:22,2026-03-10 11:28:22,2026-03-10 11:28:22,2026-03-10 15:28:22,-1,114.00000000000006,112.45233235924537,2.0445878610771886,0.55,93.65,91.0,265.00000000000057,3.7460000000000004,261.2540000000006,exit_by_midnight,reversal,a=120s | move=0.55x percent_to_dollar sigma (63D)/900s | hold=14400s | reversal | exit_by_midnight,stable_4var_percent,Stable 4-variable percent-vol walk-forward,stable_4var_score,2026-03-01,2026-03-26,a=120s | move=0.55x percent_to_dollar sigma (63D)/900s | hold=14400s | reversal | exit_by_midnight
2026-03-11 11:34:27,2026-03-11 15:34:27,2026-03-11 11:36:27,2026-03-11 15:36:27,2026-03-11 15:36:27,2026-03-11 19:36:27,-1,115.99999999999966,114.45197291300057,2.0809449620545557,0.55,88.92,90.74,-181.99999999999932,3.5568,-185.55679999999933,exit_by_midnight,reversal,a=120s | move=0.55x percent_to_dollar sigma (63D)/900s | hold=14400s | reversal | exit_by_midnight,stable_4var_percent,Stable 4-variable percent-vol walk-forward,stable_4var_score,2026-03-01,2026-03-26,a=120s | move=0.55x percent_to_dollar sigma (63D)/900s | hold=14400s | reversal | exit_by_midnight
2026-03-12 09:02:30,2026-03-12 13:02:30,2026-03-12 09:04:30,2026-03-12 13:04:30,2026-03-12 13:04:30,2026-03-12 17:04:30,1,-145.99999999999937,116.11663567944959,2.1112115578081743,0.55,98.16,98.06,-9.999999999999432,3.9264,-13.926399999999433,exit_by_midnight,reversal,a=120s | move=0.55x percent_to_dollar sigma (63D)/900s | hold=14400s | reversal | exit_by_midnight,stable_4var_percent,Stable 4-variable percent-vol walk-forward,stable_4var_score,2026-03-01,2026-03-26,a=120s | move=0.55x percent_to_dollar sigma (63D)/900s | hold=14400s | reversal | exit_by_midnight
2026-03-13 12:34:56,2026-03-13 16:34:56,2026-03-13 12:36:56,2026-03-13 16:36:56,2026-03-13 16:36:56,2026-03-13 20:36:56,1,-141.00000000000108,139.56721880817548,2.5375857965122814,0.55,101.14,99.66,-148.0000000000004,4.0456,-152.0456000000004,exit_by_midnight,reversal,a=120s | move=0.55x percent_to_dollar sigma (63D)/900s | hold=14400s | reversal | exit_by_midnight,stable_4var_percent,Stable 4-variable percent-vol walk-forward,stable_4var_score,2026-03-01,2026-03-26,a=120s | move=0.55x percent_to_dollar sigma (63D)/900s | hold=14400s | reversal | exit_by_midnight
2026-03-16 11:18:03,2026-03-16 15:18:03,2026-03-16 11:20:03,2026-03-16 15:20:03,2026-03-16 15:20:03,2026-03-16 19:20:03,-1,142.00000000000017,141.93227155895437,2.5805867556173516,0.55,105.73,102.96,277.000000000001,4.2292000000000005,272.77080000000103,exit_by_midnight,reversal,a=120s | move=0.55x percent_to_dollar sigma (63D)/900s | hold=14400s | reversal | exit_by_midnight,stable_4var_percent,Stable 4-variable percent-vol walk-forward,stable_4var_score,2026-03-01,2026-03-26,a=120s | move=0.55x percent_to_dollar sigma (63D)/900s | hold=14400s | reversal | exit_by_midnight
2026-03-17 09:45:18,2026-03-17 13:45:18,2026-03-17 09:47:18,2026-03-17 13:47:18,2026-03-17 13:47:18,2026-03-17 17:47:18,-1,143.99999999999977,140.1338518752998,2.5478882159145417,0.55,103.7,102.74,96.0000000000008,4.148000000000001,91.8520000000008,exit_by_midnight,reversal,a=120s | move=0.55x percent_to_dollar sigma (63D)/900s | hold=14400s | reversal | exit_by_midnight,stable_4var_percent,Stable 4-variable percent-vol walk-forward,stable_4var_score,2026-03-01,2026-03-26,a=120s | move=0.55x percent_to_dollar sigma (63D)/900s | hold=14400s | reversal | exit_by_midnight
2026-03-18 15:29:29,2026-03-18 19:29:29,2026-03-18 15:31:29,2026-03-18 19:31:29,2026-03-18 19:31:29,2026-03-18 23:31:29,-1,158.99999999999892,146.0591937407983,2.6556217043781505,0.55,104.55,108.89,-434.00000000000034,4.182,-438.18200000000036,exit_by_midnight,reversal,a=120s | move=0.55x percent_to_dollar sigma (63D)/900s | hold=14400s | reversal | exit_by_midnight,stable_4var_percent,Stable 4-variable percent-vol walk-forward,stable_4var_score,2026-03-01,2026-03-26,a=120s | move=0.55x percent_to_dollar sigma (63D)/900s | hold=14400s | reversal | exit_by_midnight
2026-03-19 11:26:17,2026-03-19 15:26:17,2026-03-19 11:28:17,2026-03-19 15:28:17,2026-03-19 15:28:17,2026-03-19 19:28:17,1,-160.99999999999994,158.53837667787255,2.8825159395976825,0.55,113.19,114.37,118.00000000000068,4.5276,113.47240000000068,exit_by_midnight,reversal,a=120s | move=0.55x percent_to_dollar sigma (63D)/900s | hold=14400s | reversal | exit_by_midnight,stable_4var_percent,Stable 4-variable percent-vol walk-forward,stable_4var_score,2026-03-01,2026-03-26,a=120s | move=0.55x percent_to_dollar sigma (63D)/900s | hold=14400s | reversal | exit_by_midnight
2026-03-20 15:22:30,2026-03-20 19:22:30,2026-03-20 15:24:30,2026-03-20 19:24:30,2026-03-20 19:24:30,2026-03-20 23:24:30,1,-157.99999999999983,156.8574933932068,2.8519544253310323,0.55,107.96,109.32,135.99999999999994,4.3184,131.68159999999995,exit_by_midnight,reversal,a=120s | move=0.55x percent_to_dollar sigma (63D)/900s | hold=14400s | reversal | exit_by_midnight,stable_4var_percent,Stable 4-variable percent-vol walk-forward,stable_4var_score,2026-03-01,2026-03-26,a=120s | move=0.55x percent_to_dollar sigma (63D)/900s | hold=14400s | reversal | exit_by_midnight
2026-03-23 15:05:20,2026-03-23 19:05:20,2026-03-23 15:07:20,2026-03-23 19:07:20,2026-03-23 19:07:20,2026-03-23 23:07:20,1,-174.0000000000009,163.01300013721598,2.963872729767563,0.55,102.19,98.32,-387.00000000000045,4.0876,-391.08760000000046,exit_by_midnight,reversal,a=120s | move=0.55x percent_to_dollar sigma (63D)/900s | hold=14400s | reversal | exit_by_midnight,stable_4var_percent,Stable 4-variable percent-vol walk-forward,stable_4var_score,2026-03-01,2026-03-26,a=120s | move=0.55x percent_to_dollar sigma (63D)/900s | hold=14400s | reversal | exit_by_midnight
2026-03-24 11:58:04,2026-03-24 15:58:04,2026-03-24 12:00:04,2026-03-24 16:00:04,2026-03-24 16:00:04,2026-03-24 20:00:04,1,-181.00000000000023,166.19230426980678,3.0216782594510323,0.55,101.24,102.17,93.00000000000068,4.0496,88.95040000000068,exit_by_midnight,reversal,a=120s | move=0.55x percent_to_dollar sigma (63D)/900s | hold=14400s | reversal | exit_by_midnight,stable_4var_percent,Stable 4-variable percent-vol walk-forward,stable_4var_score,2026-03-01,2026-03-26,a=120s | move=0.55x percent_to_dollar sigma (63D)/900s | hold=14400s | reversal | exit_by_midnight
2026-03-25 14:02:04,2026-03-25 18:02:04,2026-03-25 14:04:04,2026-03-25 18:04:04,2026-03-25 18:04:04,2026-03-25 22:04:04,1,-175.0,173.23641327601212,3.1497529686547656,0.55,98.67,100.08,140.99999999999966,3.9468,137.05319999999966,exit_by_midnight,reversal,a=120s | move=0.55x percent_to_dollar sigma (63D)/900s | hold=14400s | reversal | exit_by_midnight,stable_4var_percent,Stable 4-variable percent-vol walk-forward,stable_4var_score,2026-03-01,2026-03-26,a=120s | move=0.55x percent_to_dollar sigma (63D)/900s | hold=14400s | reversal | exit_by_midnight
