params,delay_s,sigma_multiple,move_window_s,hold_s,vol_window_days,vol_method,signal_mode,bad_hour_rule,score,total_pnl_cents,avg_daily_pnl_cents,daily_sharpe,daily_sortino,max_drawdown_cents,positive_day_rate,active_day_rate,days,trades,win_rate,avg_trade_cents,profit_factor,long_trades,short_trades,trades_per_day,profitable_months,month_count,profitable_month_rate,best_month_pnl_cents,best_month_share,top_trade_pnl_cents,top_trade_share,top_trade_removed_pnl_cents,cluster_neighbors,cluster_positive_neighbors,cluster_positive_rate,stable_score,run_key,run_label,objective,train_start,train_end,test_start,test_end
a=120s | move=0.4x percent_to_dollar sigma (63D)/1800s | hold=14400s | reversal | exit_by_midnight,120,0.4,1800,14400,63,percent_to_dollar,reversal,exit_by_midnight,4.586963959629647,151.16719999999935,5.598785185185161,4.127248594580092,0.0,-18.57160000000108,0.14814814814814814,0.18518518518518517,27,5,0.8,30.23343999999987,9.139697172025103,4,1,0.18518518518518517,1,1,1.0,151.16719999999935,1.0,103.44560000000023,0.6843124699008823,47.72159999999913,80,38,0.475,20.499463959629647,stable_4var_percent,Stable 4-variable percent-vol walk-forward,stable_4var_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=120s | move=1x percent_to_dollar sigma (63D)/3600s | hold=3600s | reversal | exit_by_midnight,120,1.0,3600,3600,63,percent_to_dollar,reversal,exit_by_midnight,1.898897699244149,139.103599999999,1.8303105263157764,1.6938831462715482,1.2665813066488634,-113.68800000000023,0.07894736842105263,0.11842105263157894,76,9,0.6666666666666666,15.455955555555448,2.2235556962915743,3,6,0.11842105263157894,2,3,0.6666666666666666,91.55199999999903,0.6581569420201898,108.21919999999994,0.7779755520346038,30.88439999999906,23,7,0.30434782608695654,5.155419438374584,stable_4var_percent,Stable 4-variable percent-vol walk-forward,stable_4var_score,2025-11-01,2026-01-31,2026-02-01,2026-02-28
a=120s | move=0.55x percent_to_dollar sigma (63D)/3600s | hold=14400s | continuation | exit_by_midnight,120,0.55,3600,14400,63,percent_to_dollar,continuation,exit_by_midnight,0.2833939851024488,116.77279999999922,1.5364842105263055,0.854358796288621,1.2482825383349005,-176.52600000000035,0.3157894736842105,0.5657894736842105,76,43,0.5581395348837209,2.7156465116278894,1.18639771469143,21,22,0.5657894736842105,1,3,0.3333333333333333,202.14079999999942,1.7310606579614496,77.59759999999972,0.6645177644108922,39.175199999999506,53,11,0.20754716981132076,4.994714739819431,stable_4var_percent,Stable 4-variable percent-vol walk-forward,stable_4var_score,2025-11-01,2026-01-31,2026-02-01,2026-02-28
a=300s | move=0.25x percent_to_dollar sigma (63D)/3600s | hold=21600s | continuation | exit_by_midnight,300,0.25,3600,21600,63,percent_to_dollar,continuation,exit_by_midnight,1.9537229237583504,364.45160000000027,4.7954157894736875,1.5027081735133248,2.181068343375147,-304.7264000000001,0.4473684210526316,0.8157894736842105,76,62,0.5483870967741935,5.878251612903231,1.3042497099017412,28,34,0.8157894736842105,2,3,0.6666666666666666,336.1707999999991,0.922401767477489,144.4164000000006,0.3962567320324578,220.03519999999966,15,6,0.4,4.953722923758351,stable_4var_percent,Stable 4-variable percent-vol walk-forward,stable_4var_score,2025-11-01,2026-01-31,2026-02-01,2026-02-28
a=60s | move=1x percent_to_dollar sigma (63D)/3600s | hold=21600s | continuation | exit_by_midnight,60,1.0,3600,21600,63,percent_to_dollar,continuation,exit_by_midnight,2.933578886910749,149.39239999999975,1.9656894736842072,2.5306113506334036,0.0,-25.520400000000393,0.05263157894736842,0.06578947368421052,76,5,0.8,29.87847999999995,6.853842416262699,3,2,0.06578947368421052,2,3,0.6666666666666666,107.85399999999997,0.7219510497187284,90.57999999999997,0.6063226777265786,58.81239999999978,15,4,0.26666666666666666,4.93357888691075,stable_4var_percent,Stable 4-variable percent-vol walk-forward,stable_4var_score,2025-11-01,2026-01-31,2026-02-01,2026-02-28
a=300s | move=0.75x percent_to_dollar sigma (63D)/3600s | hold=14400s | continuation | exit_by_midnight,300,0.75,3600,14400,63,percent_to_dollar,continuation,exit_by_midnight,0.48434168333972616,70.62720000000161,0.9293052631579158,0.9374320184763084,0.9556347196395812,-71.60120000000006,0.15789473684210525,0.27631578947368424,76,21,0.5714285714285714,3.363200000000078,1.3084130269604644,14,7,0.27631578947368424,1,3,0.3333333333333333,99.82200000000124,1.4133648226179003,59.59199999999974,0.8437542476552714,11.035200000001865,35,10,0.2857142857142857,4.912913111911155,stable_4var_percent,Stable 4-variable percent-vol walk-forward,stable_4var_score,2025-11-01,2026-01-31,2026-02-01,2026-02-28
a=120s | move=0.25x percent_to_dollar sigma (63D)/900s | hold=14400s | continuation | exit_by_midnight,120,0.25,900,14400,63,percent_to_dollar,continuation,exit_by_midnight,0.8624259481849864,163.04999999999725,2.145394736842069,0.9294630943364933,1.1944242625248807,-274.5976,0.4473684210526316,0.8289473684210527,76,63,0.5396825396825397,2.588095238095195,1.1840470438014987,29,34,0.8289473684210527,2,3,0.6666666666666666,174.1507999999993,1.0680821833793452,110.43000000000026,0.6772769089236561,52.61999999999699,35,9,0.2571428571428571,4.848140233899272,stable_4var_percent,Stable 4-variable percent-vol walk-forward,stable_4var_score,2025-11-01,2026-01-31,2026-02-01,2026-02-28
a=60s | move=1x percent_to_dollar sigma (63D)/3600s | hold=3600s | reversal | exit_by_midnight,60,1.0,3600,3600,63,percent_to_dollar,reversal,exit_by_midnight,1.751907139774588,138.0811999999999,1.816857894736841,1.6859481613566722,1.0363065618034233,-102.694000000001,0.07894736842105263,0.11842105263157894,76,9,0.6666666666666666,15.342355555555546,2.3445887783122314,3,6,0.11842105263157894,2,3,0.6666666666666666,118.54280000000004,0.8585006503419735,116.21639999999977,0.8416525928221933,21.864800000000145,15,6,0.4,4.751907139774588,stable_4var_percent,Stable 4-variable percent-vol walk-forward,stable_4var_score,2025-11-01,2026-01-31,2026-02-01,2026-02-28
a=120s | move=1x percent_to_dollar sigma (63D)/1800s | hold=7200s | reversal | exit_by_midnight,120,1.0,1800,7200,63,percent_to_dollar,reversal,exit_by_midnight,-1.2594947012233821,23.139999999999944,0.30447368421052556,0.46231805141272997,0.3171049512738623,-64.19160000000034,0.02631578947368421,0.06578947368421052,76,5,0.4,4.627999999999989,1.3058969098331004,2,3,0.06578947368421052,1,3,0.3333333333333333,34.594799999999566,1.4950216076058622,71.22239999999948,3.0778910976663636,-48.08239999999954,53,14,0.2641509433962264,4.736731713870958,stable_4var_percent,Stable 4-variable percent-vol walk-forward,stable_4var_score,2025-11-01,2026-01-31,2026-02-01,2026-02-28
a=120s | move=1x percent_to_dollar sigma (63D)/3600s | hold=7200s | reversal | exit_by_midnight,120,1.0,3600,7200,63,percent_to_dollar,reversal,exit_by_midnight,-0.14130082802048233,39.10359999999831,0.5145210526315567,0.5325725654553465,0.5330067006667509,-126.68799999999979,0.06578947368421052,0.11842105263157894,76,9,0.5555555555555556,4.344844444444258,1.2676370983417409,3,6,0.11842105263157894,2,3,0.6666666666666666,33.5519999999985,0.8580284168209564,79.21919999999932,2.0258799701306978,-40.11560000000101,35,11,0.3142857142857143,4.730127743408089,stable_4var_percent,Stable 4-variable percent-vol walk-forward,stable_4var_score,2025-11-01,2026-01-31,2026-02-01,2026-02-28
a=60s | move=0.55x percent_to_dollar sigma (63D)/3600s | hold=21600s | continuation | exit_by_midnight,60,0.55,3600,21600,63,percent_to_dollar,continuation,exit_by_midnight,2.395950784635973,341.5055999999983,4.4934947368420834,1.7730301797643726,1.859101520752852,-202.3260000000003,0.27631578947368424,0.4605263157894737,76,35,0.6,9.75730285714281,1.4884345179523506,19,16,0.4605263157894737,2,3,0.6666666666666666,267.64399999999824,0.7837177486987024,127.27839999999972,0.37269784155808966,214.2271999999986,23,5,0.21739130434782608,4.722037741157712,stable_4var_percent,Stable 4-variable percent-vol walk-forward,stable_4var_score,2025-11-01,2026-01-31,2026-02-01,2026-02-28
