params,delay_s,sigma_multiple,move_window_s,hold_s,vol_window_days,vol_method,signal_mode,bad_hour_rule,score,total_pnl_cents,avg_daily_pnl_cents,daily_sharpe,daily_sortino,max_drawdown_cents,positive_day_rate,active_day_rate,days,trades,win_rate,avg_trade_cents,profit_factor,long_trades,short_trades,trades_per_day,rebalance,objective,train_start,train_end,test_start,test_end,run_key
a=120s | move=0.75x dollar sigma (63D)/1800s | hold=21600s | reversal | exit_by_midnight,120,0.75,1800,21600,63,dollar,reversal,exit_by_midnight,2.004739796292815,124.31719999999973,2.4375921568627397,2.004739796292815,28.765668733156268,-44.46080000000018,0.058823529411764705,0.09803921568627451,51,5,0.6,24.863439999999947,2.428618052108009,3,2,0.09803921568627451,monthly,daily_sharpe,2025-10-01,2025-11-30,2025-12-01,2025-12-31,dollar_monthly_sharpe_objective
a=120s | move=0.4x dollar sigma (63D)/1800s | hold=21600s | reversal | exit_by_midnight,120,0.4,1800,21600,63,dollar,reversal,exit_by_midnight,1.9358405865591626,181.77160000000384,3.5641490196079184,1.9358405865591626,2.3757125873188105,-92.08599999999902,0.17647058823529413,0.29411764705882354,51,15,0.6,12.118106666666923,1.6677928093414602,10,5,0.29411764705882354,monthly,daily_sharpe,2025-10-01,2025-11-30,2025-12-01,2025-12-31,dollar_monthly_sharpe_objective
a=120s | move=0.25x dollar sigma (63D)/1800s | hold=3600s | continuation | exit_by_midnight,120,0.25,1800,3600,63,dollar,continuation,exit_by_midnight,1.8178678865986155,246.27759999999515,4.828972549019513,1.8178678865986155,3.9822398668073467,-313.5216000000021,0.27450980392156865,0.49019607843137253,51,25,0.56,9.851103999999806,1.5075862501071573,10,15,0.49019607843137253,monthly,daily_sharpe,2025-10-01,2025-11-30,2025-12-01,2025-12-31,dollar_monthly_sharpe_objective
a=120s | move=0.25x dollar sigma (63D)/1800s | hold=21600s | continuation | exit_by_midnight,120,0.25,1800,21600,63,dollar,continuation,exit_by_midnight,1.8178678865986155,246.27759999999515,4.828972549019513,1.8178678865986155,3.9822398668073467,-313.5216000000021,0.27450980392156865,0.49019607843137253,51,25,0.56,9.851103999999806,1.5075862501071573,10,15,0.49019607843137253,monthly,daily_sharpe,2025-10-01,2025-11-30,2025-12-01,2025-12-31,dollar_monthly_sharpe_objective
a=120s | move=0.55x dollar sigma (63D)/1800s | hold=21600s | reversal | exit_by_midnight,120,0.55,1800,21600,63,dollar,reversal,exit_by_midnight,1.5167661822278873,123.05799999999937,2.412901960784301,1.5167661822278873,2.781557325096771,-62.56639999999943,0.09803921568627451,0.17647058823529413,51,9,0.5555555555555556,13.67311111111104,1.630586773962782,5,4,0.17647058823529413,monthly,daily_sharpe,2025-10-01,2025-11-30,2025-12-01,2025-12-31,dollar_monthly_sharpe_objective
a=120s | move=0.4x dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,120,0.4,1800,3600,63,dollar,reversal,exit_by_midnight,0.7439186703314173,75.96800000000246,1.4895686274510287,0.7439186703314173,0.9582883547151319,-168.64039999999923,0.21568627450980393,0.39215686274509803,51,20,0.55,3.7984000000001217,1.1919011878635062,13,7,0.39215686274509803,monthly,daily_sharpe,2025-10-01,2025-11-30,2025-12-01,2025-12-31,dollar_monthly_sharpe_objective
a=120s | move=0.55x dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,120,0.55,1800,3600,63,dollar,reversal,exit_by_midnight,0.6207854289536464,52.969599999998806,1.0386196078431138,0.6207854289536464,0.9502387255530726,-126.66519999999977,0.09803921568627451,0.21568627450980393,51,11,0.45454545454545453,4.815418181818072,1.1997068280117906,7,4,0.21568627450980393,monthly,daily_sharpe,2025-10-01,2025-11-30,2025-12-01,2025-12-31,dollar_monthly_sharpe_objective
a=120s | move=0.55x dollar sigma (63D)/1800s | hold=3600s | continuation | exit_by_midnight,120,0.55,1800,3600,63,dollar,continuation,exit_by_midnight,-1.26612137951913,-109.03039999999882,-2.137850980392134,-1.26612137951913,-1.5847370529274747,-193.00839999999818,0.11764705882352941,0.21568627450980393,51,11,0.5454545454545454,-9.911854545454439,0.6828608793182883,4,7,0.21568627450980393,monthly,daily_sharpe,2025-10-01,2025-11-30,2025-12-01,2025-12-31,dollar_monthly_sharpe_objective
a=120s | move=0.4x dollar sigma (63D)/1800s | hold=3600s | continuation | exit_by_midnight,120,0.4,1800,3600,63,dollar,continuation,exit_by_midnight,-1.7297895241810477,-178.0320000000024,-3.4908235294118115,-1.7297895241810477,-1.9468747034585252,-267.0420000000004,0.17647058823529413,0.39215686274509803,51,20,0.45,-8.901600000000121,0.6629213483146023,7,13,0.39215686274509803,monthly,daily_sharpe,2025-10-01,2025-11-30,2025-12-01,2025-12-31,dollar_monthly_sharpe_objective
a=120s | move=0.55x dollar sigma (63D)/1800s | hold=21600s | continuation | exit_by_midnight,120,0.55,1800,21600,63,dollar,continuation,exit_by_midnight,-2.0432613616158775,-168.94199999999938,-3.3125882352941054,-2.0432613616158775,-2.455541272853033,-252.91999999999877,0.0784313725490196,0.17647058823529413,51,9,0.4444444444444444,-18.771333333333263,0.5085946916987377,4,5,0.17647058823529413,monthly,daily_sharpe,2025-10-01,2025-11-30,2025-12-01,2025-12-31,dollar_monthly_sharpe_objective
a=120s | move=0.75x dollar sigma (63D)/1800s | hold=3600s | continuation | exit_by_midnight,120,0.75,1800,3600,63,dollar,continuation,exit_by_midnight,-2.335186112584699,-149.68279999999976,-2.9349568627450933,-2.335186112584699,-4.149019564317091,-226.66359999999978,0.0392156862745098,0.09803921568627451,51,5,0.4,-29.93655999999995,0.33962577140749445,2,3,0.09803921568627451,monthly,daily_sharpe,2025-10-01,2025-11-30,2025-12-01,2025-12-31,dollar_monthly_sharpe_objective
a=120s | move=0.75x dollar sigma (63D)/1800s | hold=21600s | continuation | exit_by_midnight,120,0.75,1800,21600,63,dollar,continuation,exit_by_midnight,-2.335186112584699,-149.68279999999976,-2.9349568627450933,-2.335186112584699,-4.149019564317091,-226.66359999999978,0.0392156862745098,0.09803921568627451,51,5,0.4,-29.93655999999995,0.33962577140749445,2,3,0.09803921568627451,monthly,daily_sharpe,2025-10-01,2025-11-30,2025-12-01,2025-12-31,dollar_monthly_sharpe_objective
a=120s | move=0.4x dollar sigma (63D)/1800s | hold=21600s | continuation | exit_by_midnight,120,0.4,1800,21600,63,dollar,continuation,exit_by_midnight,-2.700082156970009,-258.2284000000038,-5.063301960784388,-2.700082156970009,-3.131058662791263,-292.61480000000256,0.11764705882352941,0.29411764705882354,51,15,0.4,-17.215226666666926,0.48357501177926826,5,10,0.29411764705882354,monthly,daily_sharpe,2025-10-01,2025-11-30,2025-12-01,2025-12-31,dollar_monthly_sharpe_objective
a=120s | move=0.25x dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,120,0.25,1800,3600,63,dollar,reversal,exit_by_midnight,-2.7340484134220544,-373.72239999999516,-7.327890196078337,-2.7340484134220544,-2.5612085565203624,-593.4895999999984,0.21568627450980393,0.49019607843137253,51,25,0.44,-14.94889599999981,0.5343190175854167,15,10,0.49019607843137253,monthly,daily_sharpe,2025-10-01,2025-11-30,2025-12-01,2025-12-31,dollar_monthly_sharpe_objective
