params,delay_s,rarity_percentile,move_window_s,hold_s,signal_mode,bad_hour_rule,trend_filter,vol_filter,time_bucket,score,total_pnl_cents,avg_daily_pnl_cents,daily_sharpe,daily_sortino,max_drawdown_cents,positive_day_rate,active_day_rate,days,trades,win_rate,avg_trade_cents,profit_factor,long_trades,short_trades,trades_per_day,profitable_months,month_count,profitable_month_rate,best_month_pnl_cents,best_month_share,top_trade_pnl_cents,top_trade_share,top_trade_removed_pnl_cents,cluster_neighbors,cluster_positive_neighbors,cluster_positive_rate,rare_stability_score,run_key,run_label,objective,train_start,train_end,test_start,test_end
a=60s | move>99th percentile of recent 3600s moves | hold=14400s | reversal | exit_by_midnight,60,99.0,3600,14400,reversal,exit_by_midnight,any,any,any,6.057344630377507,252.05720000000397,9.335451851852,5.227602230377501,0.0,-91.52880000000006,0.37037037037037035,0.4074074074074074,27,11,0.9090909090909091,22.91429090909127,3.753856709582121,8,3,0.4074074074074074,1,1,1.0,252.05720000000395,0.9999999999999999,66.42160000000119,0.2635179633829152,185.6356000000028,23,21,0.9130434782608695,15.826909847768812,rare_move_percentile_wf,Rare move percentile walk-forward,rare_move_stability_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=300s | move>97.5th percentile of recent 3600s moves | hold=7200s | reversal | exit_by_midnight,300,97.5,3600,7200,reversal,exit_by_midnight,any,any,any,4.305369986151903,170.19399999999868,6.303481481481433,3.605023586151903,6.518816573434532,-83.31599999999969,0.5185185185185185,0.7407407407407407,27,20,0.7,8.509699999999935,1.872152848381478,12,8,0.7407407407407407,1,1,1.0,170.19399999999865,0.9999999999999998,53.362799999998806,0.3135410178972186,116.83119999999988,35,26,0.7428571428571429,15.819655700437618,rare_move_percentile_wf,Rare move percentile walk-forward,rare_move_stability_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=120s | move>95th percentile of recent 1800s moves | hold=7200s | reversal | exit_by_midnight,120,95.0,1800,7200,reversal,exit_by_midnight,any,any,any,2.0024407422785107,86.96959999999856,3.2210962962962433,1.7271171147562623,2.576980001926617,-100.88680000000082,0.4074074074074074,0.8148148148148148,27,22,0.5,3.9531636363635703,1.3408759890818718,14,8,0.8148148148148148,1,1,1.0,86.96959999999854,0.9999999999999997,67.45640000000029,0.7756319449554948,19.513199999998278,53,31,0.5849056603773585,15.27979923284455,rare_move_percentile_wf,Rare move percentile walk-forward,rare_move_stability_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=120s | move>97.5th percentile of recent 900s moves | hold=7200s | reversal | exit_by_midnight,120,97.5,900,7200,reversal,exit_by_midnight,any,any,any,2.5726610258598344,114.06199999999889,4.224518518518478,2.0950116566676416,3.5714361372368453,-114.8303999999989,0.4444444444444444,0.8148148148148148,27,22,0.5454545454545454,5.184636363636312,1.4156923857394332,13,9,0.8148148148148148,1,1,1.0,114.06199999999886,0.9999999999999998,56.495599999999634,0.4953060616156142,57.566399999999255,80,30,0.375,15.135161025859833,rare_move_percentile_wf,Rare move percentile walk-forward,rare_move_stability_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=120s | move>99th percentile of recent 900s moves | hold=14400s | reversal | exit_by_midnight,120,99.0,900,14400,reversal,exit_by_midnight,any,any,any,-0.7135391288038495,16.28920000000143,0.6033037037037566,0.2963856330455848,0.2373588195564683,-120.89519999999982,0.3333333333333333,0.5925925925925926,27,16,0.5625,1.0180750000000898,1.0676842939795024,11,5,0.5925925925925926,1,1,1.0,16.289200000001433,1.0000000000000002,50.362400000000115,3.0917663236988737,-34.073199999998685,53,37,0.6981132075471698,15.133630682516905,rare_move_percentile_wf,Rare move percentile walk-forward,rare_move_stability_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=300s | move>99th percentile of recent 1800s moves | hold=21600s | reversal | exit_by_midnight,300,99.0,1800,21600,reversal,exit_by_midnight,any,any,any,5.027965723538174,257.6424000000002,9.542311111111118,4.216134123538173,3.761251802012416,-106.53479999999992,0.37037037037037035,0.4444444444444444,27,12,0.8333333333333334,21.470200000000023,2.650347822744904,9,3,0.4444444444444444,1,1,1.0,257.64240000000024,1.0000000000000002,73.4591999999998,0.285120772046836,184.1832000000004,23,21,0.9130434782608695,14.79753094092948,rare_move_percentile_wf,Rare move percentile walk-forward,rare_move_stability_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=120s | move>99th percentile of recent 3600s moves | hold=21600s | reversal | exit_by_midnight,120,99.0,3600,21600,reversal,exit_by_midnight,any,any,any,4.549052189595689,227.07120000000043,8.41004444444446,3.9340765226366052,4.4050212061299,-129.5924000000013,0.25925925925925924,0.4074074074074074,27,11,0.6363636363636364,20.642836363636402,2.5748535221270026,8,3,0.4074074074074074,1,1,1.0,227.07120000000043,1.0,103.42200000000022,0.4554606660818282,123.6492000000002,23,22,0.9565217391304348,14.783834798291341,rare_move_percentile_wf,Rare move percentile walk-forward,rare_move_stability_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=300s | move>97.5th percentile of recent 900s moves | hold=14400s | reversal | exit_by_midnight,300,97.5,900,14400,reversal,exit_by_midnight,any,any,any,2.524896230615615,144.08159999999998,5.336355555555555,2.0367445434383527,2.522199686041953,-122.52760000000058,0.4444444444444444,0.8148148148148148,27,22,0.5454545454545454,6.5491636363636365,1.4271722153768382,13,9,0.8148148148148148,1,1,1.0,144.08159999999998,1.0,73.57680000000052,0.5106606256454712,70.50479999999946,53,28,0.5283018867924528,14.517349060804296,rare_move_percentile_wf,Rare move percentile walk-forward,rare_move_stability_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=60s | move>99th percentile of recent 1800s moves | hold=21600s | reversal | exit_by_midnight,60,99.0,1800,21600,reversal,exit_by_midnight,any,any,any,5.092462490675531,268.64120000000094,9.949674074074109,4.317043211996309,2.902743933447593,-110.53639999999983,0.37037037037037035,0.4444444444444444,27,12,0.8333333333333334,22.386766666666745,2.8639898530129972,9,3,0.4444444444444444,1,1,1.0,268.64120000000094,1.0,97.4632,0.3628006426415593,171.17800000000094,23,20,0.8695652173913043,14.396810316762487,rare_move_percentile_wf,Rare move percentile walk-forward,rare_move_stability_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=120s | move>99th percentile of recent 900s moves | hold=21600s | reversal | exit_by_midnight,120,99.0,900,21600,reversal,exit_by_midnight,any,any,any,2.147945541920044,101.34320000000118,3.7534518518518953,1.7506335022923176,1.3238339741150098,-146.1736000000011,0.3333333333333333,0.5185185185185185,27,14,0.6428571428571429,7.238800000000083,1.4951338294612424,9,5,0.5185185185185185,1,1,1.0,101.34320000000116,0.9999999999999999,55.41039999999983,0.546759920744551,45.93280000000134,35,27,0.7714285714285715,14.105088399062902,rare_move_percentile_wf,Rare move percentile walk-forward,rare_move_stability_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
