skip_reason,date,signal_time_utc,entry_time_utc,selected_symbol,contract_expiry_date,days_to_expiry,a,b,c,affected_parameter_count,stage
near_expiry_lt_3_business_days,2025-11-28,2025-11-28 07:01:08,2025-11-28 07:02:08,F:BRN\F26,2025-11-28,0.0,60,0.7,900,6,1
near_expiry_lt_3_business_days,2025-11-28,2025-11-28 08:25:31,2025-11-28 08:26:31,F:BRN\F26,2025-11-28,0.0,60,0.7,1800,6,1
near_expiry_lt_3_business_days,2025-11-28,2025-11-28 09:26:14,2025-11-28 09:27:14,F:BRN\F26,2025-11-28,0.0,60,0.7,3600,6,1
near_expiry_lt_3_business_days,2025-11-28,2025-11-28 07:01:37,2025-11-28 07:02:37,F:BRN\F26,2025-11-28,0.0,60,0.9,900,6,1
near_expiry_lt_3_business_days,2025-11-28,2025-11-28 08:25:46,2025-11-28 08:26:46,F:BRN\F26,2025-11-28,0.0,60,0.9,1800,6,1
near_expiry_lt_3_business_days,2025-11-28,2025-11-28 07:00:00,2025-11-28 07:02:00,F:BRN\F26,2025-11-28,0.0,120,0.3,900,6,1
near_expiry_lt_3_business_days,2025-11-28,2025-11-28 07:06:05,2025-11-28 07:08:05,F:BRN\F26,2025-11-28,0.0,120,0.3,1800,6,1
near_expiry_lt_3_business_days,2025-11-28,2025-11-28 08:04:18,2025-11-28 08:06:18,F:BRN\F26,2025-11-28,0.0,120,0.3,3600,6,1
near_expiry_lt_3_business_days,2025-11-28,2025-11-28 07:00:02,2025-11-28 07:02:02,F:BRN\F26,2025-11-28,0.0,120,0.5,900,6,1
near_expiry_lt_3_business_days,2025-11-28,2025-11-28 07:48:49,2025-11-28 07:50:49,F:BRN\F26,2025-11-28,0.0,120,0.5,1800,6,1
near_expiry_lt_3_business_days,2025-11-28,2025-11-28 08:11:15,2025-11-28 08:13:15,F:BRN\F26,2025-11-28,0.0,120,0.5,3600,6,1
near_expiry_lt_3_business_days,2025-11-28,2025-11-28 07:01:08,2025-11-28 07:03:08,F:BRN\F26,2025-11-28,0.0,120,0.7,900,6,1
near_expiry_lt_3_business_days,2025-11-28,2025-11-28 08:25:31,2025-11-28 08:27:31,F:BRN\F26,2025-11-28,0.0,120,0.7,1800,6,1
near_expiry_lt_3_business_days,2025-11-28,2025-11-28 09:26:14,2025-11-28 09:28:14,F:BRN\F26,2025-11-28,0.0,120,0.7,3600,6,1
near_expiry_lt_3_business_days,2025-11-28,2025-11-28 07:01:37,2025-11-28 07:03:37,F:BRN\F26,2025-11-28,0.0,120,0.9,900,6,1
near_expiry_lt_3_business_days,2025-11-28,2025-11-28 08:25:46,2025-11-28 08:27:46,F:BRN\F26,2025-11-28,0.0,120,0.9,1800,6,1
