skip_reason,date,signal_time_utc,entry_time_utc,selected_symbol,contract_expiry_date,days_to_expiry,a,b,c,affected_parameter_count,stage
forward_filled_entry,2025-01-06,2025-01-06 07:01:08,2025-01-06 07:06:08,F:BRN\H25,2025-01-31,19.0,300,0.3,900,6,1
forward_filled_entry,2025-01-06,2025-01-06 07:00:00,2025-01-06 07:05:00,F:BRN\H25,2025-01-31,19.0,300,0.3,1800,6,1
forward_filled_entry,2025-01-06,2025-01-06 07:01:08,2025-01-06 07:06:08,F:BRN\H25,2025-01-31,19.0,300,0.3,3600,6,1
forward_filled_entry,2025-01-06,2025-01-06 07:02:12,2025-01-06 07:07:12,F:BRN\H25,2025-01-31,19.0,300,0.5,900,6,1
forward_filled_entry,2025-01-06,2025-01-06 07:02:18,2025-01-06 07:07:18,F:BRN\H25,2025-01-31,19.0,300,0.7,1800,6,1
forward_filled_entry,2025-01-06,2025-01-06 07:10:39,2025-01-06 07:15:39,F:BRN\H25,2025-01-31,19.0,300,0.7,3600,6,1
forward_filled_entry,2025-01-06,2025-01-06 07:14:08,2025-01-06 07:19:08,F:BRN\H25,2025-01-31,19.0,300,0.9,3600,6,1
forward_filled_entry,2025-01-07,2025-01-07 07:04:57,2025-01-07 07:05:57,F:BRN\H25,2025-01-31,18.0,60,0.5,900,6,1
forward_filled_entry,2025-01-07,2025-01-07 07:08:13,2025-01-07 07:09:13,F:BRN\H25,2025-01-31,18.0,60,0.5,1800,6,1
forward_filled_entry,2025-01-07,2025-01-07 07:15:05,2025-01-07 07:16:05,F:BRN\H25,2025-01-31,18.0,60,0.7,1800,6,1
forward_filled_entry,2025-01-07,2025-01-07 07:12:18,2025-01-07 07:13:18,F:BRN\H25,2025-01-31,18.0,60,0.7,3600,6,1
forward_filled_entry,2025-01-07,2025-01-07 07:16:02,2025-01-07 07:17:02,F:BRN\H25,2025-01-31,18.0,60,0.9,1800,6,1
forward_filled_entry,2025-01-07,2025-01-07 07:00:00,2025-01-07 07:02:00,F:BRN\H25,2025-01-31,18.0,120,0.3,900,6,1
