params,delay_s,sigma_multiple,move_window_s,hold_s,vol_window_days,signal_mode,score,total_pnl_cents,avg_daily_pnl_cents,daily_sharpe,daily_sortino,max_drawdown_cents,positive_day_rate,active_day_rate,days,trades,win_rate,avg_trade_cents,profit_factor,long_trades,short_trades,trades_per_day,profitable_months,month_count,profitable_month_rate,best_month_pnl_cents,best_month_share,top_trade_pnl_cents,top_trade_share,top_trade_removed_pnl_cents,removed_top_win_cents,deflated_total_pnl_cents,deflated_daily_sharpe,deflated_max_drawdown_cents,deflated_trades,deflated_win_rate,deflated_profit_factor,run_key,run_label,fill_model,selector_kind,train_start,train_end,test_start,test_end,cluster_neighbors,cluster_positive_neighbors,cluster_positive_rate,robust_top_trade_neutral_score
a=180s | b=0.55x rolling sigma | c=900s | d=3600s | continuation | exit_by_midnight,180,0.55,900,3600,63,continuation,496.76540000000546,496.76540000000546,6.451498701298772,4.227204614486513,5.716104010105564,-37.83379999999943,0.12987012987012986,0.15584415584415584,77,12,0.8333333333333334,41.397116666667124,10.8702825783737,5,7,0.15584415584415584,2,3,0.6666666666666666,332.48220000000083,0.6692941980258633,149.9990000000001,0.3019513838926754,346.7664000000053,149.9990000000001,346.7664000000053,4.043825814603838,-37.83379999999943,11,0.8181818181818182,7.889937094421992,mid_dynamic_cost_train_total_pnl,Train PnL selector,mid_dynamic_cost,train_total_pnl,2025-01-01,2025-03-31,2025-04-01,2025-04-30,,,,
a=120s | b=0.65x rolling sigma | c=2400s | d=21600s | reversal | exit_by_midnight,120,0.65,2400,21600,63,reversal,3.232370797605291,387.413,5.031337662337663,3.232370797605291,3.0640346906339886,-84.48559999999947,0.12987012987012986,0.22077922077922077,77,17,0.5882352941176471,22.789,3.4946939627083116,11,6,0.22077922077922077,2,3,0.6666666666666666,223.57980000000316,0.5771096994680177,100.89159999999966,0.26042388871824035,286.52140000000037,100.89159999999966,286.5214000000003,2.6733172282845663,-84.48559999999947,16,0.5625,2.8450160597778944,mid_dynamic_cost_train_daily_sharpe,Train Sharpe selector,mid_dynamic_cost,train_daily_sharpe,2025-09-01,2025-11-30,2025-12-01,2025-12-31,,,,
a=180s | b=0.65x rolling sigma | c=1800s | d=21600s | reversal | exit_by_midnight,180,0.65,1800,21600,63,reversal,3.2315909200115107,284.8381999999987,3.699197402597386,3.2315909200115107,1.8255970674865651,-53.5277999999998,0.1038961038961039,0.12987012987012986,77,10,0.8,28.483819999999874,5.626595457838289,7,3,0.12987012987012986,2,3,0.6666666666666666,167.82119999999998,0.5891808051026889,97.5818,0.34258677382457986,187.25639999999873,97.5818,187.25639999999873,2.6465275684441147,-53.5277999999998,9,0.7777777777777778,4.041585046146009,mid_dynamic_cost_train_daily_sharpe,Train Sharpe selector,mid_dynamic_cost,train_daily_sharpe,2025-09-01,2025-11-30,2025-12-01,2025-12-31,,,,
a=300s | b=0.6x rolling sigma | c=900s | d=14400s | reversal | exit_by_midnight,300,0.6,900,14400,63,reversal,3.2211808160601874,177.17060000000185,2.300916883116907,3.2211808160601874,5.678567447963157,-14.628199999999893,0.07792207792207792,0.14285714285714285,77,11,0.5454545454545454,16.106418181818352,6.6674642525831525,7,4,0.14285714285714285,2,3,0.6666666666666666,99.81220000000057,0.5633677370850442,61.44700000000006,0.34682390870719754,115.7236000000018,61.44700000000006,115.72360000000178,2.635071734810573,-14.628199999999886,10,0.5,4.701852148043937,mid_dynamic_cost_train_daily_sharpe,Train Sharpe selector,mid_dynamic_cost,train_daily_sharpe,2025-09-01,2025-11-30,2025-12-01,2025-12-31,,,,
a=120s | b=0.6x rolling sigma | c=900s | d=14400s | reversal | exit_by_midnight,120,0.6,900,14400,63,reversal,3.2196147135213384,212.67600000000368,2.762025974026022,3.2196147135213384,2.669732057567274,-29.635799999998184,0.1038961038961039,0.14285714285714285,77,11,0.7272727272727273,19.334181818182152,7.609606921757657,7,4,0.14285714285714285,2,3,0.6666666666666666,154.80620000000098,0.7278968948071165,75.97900000000108,0.35725234629201114,136.69700000000262,75.97900000000108,136.6970000000026,2.6390356899726926,-29.635799999998184,10,0.7,5.248309340891806,mid_dynamic_cost_train_daily_sharpe,Train Sharpe selector,mid_dynamic_cost,train_daily_sharpe,2025-09-01,2025-11-30,2025-12-01,2025-12-31,,,,
a=180s | b=0.65x rolling sigma | c=2400s | d=14400s | reversal | exit_by_midnight,180,0.65,2400,14400,63,reversal,3.208847613945953,341.42160000000064,4.434046753246761,3.208847613945953,2.453249828258064,-87.48840000000101,0.15584415584415584,0.22077922077922077,77,17,0.7058823529411765,20.083623529411803,3.5088590777623163,11,6,0.22077922077922077,2,3,0.6666666666666666,185.09159999999983,0.5421203579386877,83.47999999999995,0.24450708449611797,257.9416000000007,83.47999999999995,257.9416000000007,2.6654697450025755,-87.48840000000101,16,0.6875,2.8954252592470313,mid_dynamic_cost_train_daily_sharpe,Train Sharpe selector,mid_dynamic_cost,train_daily_sharpe,2025-09-01,2025-11-30,2025-12-01,2025-12-31,,,,
a=180s | b=0.65x rolling sigma | c=1800s | d=14400s | reversal | exit_by_midnight,180,0.65,1800,14400,63,reversal,3.2073492316239167,267.3382000000004,3.471924675324681,3.2073492316239167,1.813076367323345,-51.02779999999994,0.1038961038961039,0.12987012987012986,77,10,0.8,26.733820000000044,5.526138822390071,7,3,0.12987012987012986,2,3,0.6666666666666666,162.82119999999955,0.6090457704884648,81.58180000000034,0.30516327258880405,185.7564000000001,81.58180000000034,185.7564000000001,2.617659013685464,-51.02779999999994,9,0.7777777777777778,4.144927487158276,mid_dynamic_cost_train_daily_sharpe,Train Sharpe selector,mid_dynamic_cost,train_daily_sharpe,2025-09-01,2025-11-30,2025-12-01,2025-12-31,,,,
a=90s | b=0.6x rolling sigma | c=900s | d=7200s | reversal | exit_by_midnight,90,0.6,900,7200,63,reversal,3.1914462608066967,151.68679999999947,1.9699584415584346,3.1914462608066967,8.931686729963571,-9.487000000000165,0.06493506493506493,0.14285714285714285,77,11,0.45454545454545453,13.789709090909042,8.3408441979532,7,4,0.14285714285714285,2,3,0.6666666666666666,76.31080000000063,0.5030813492011229,58.481199999999944,0.3855391504072876,93.20559999999952,58.481199999999944,93.2055999999995,2.628027978461282,-18.123599999999826,10,0.4,5.510661362602037,mid_dynamic_cost_train_daily_sharpe,Train Sharpe selector,mid_dynamic_cost,train_daily_sharpe,2025-09-01,2025-11-30,2025-12-01,2025-12-31,,,,
a=90s | b=0.55x rolling sigma | c=900s | d=21600s | reversal | exit_by_midnight,90,0.55,900,21600,63,reversal,4.235925011864421,286.2681999999968,3.7177688311687898,4.235925011864421,11.438630531059578,-12.494000000000142,0.12987012987012986,0.18181818181818182,77,14,0.7142857142857143,20.447728571428343,12.3881387892136,7,7,0.18181818181818182,3,3,1.0,133.8118000000002,0.467435083603424,67.45240000000028,0.23562659072855818,218.8157999999965,67.45240000000028,218.8157999999965,3.8116053779035277,-12.494000000000142,13,0.6923076923076923,9.70479047156754,mid_dynamic_cost_train_daily_sharpe,Train Sharpe selector,mid_dynamic_cost,train_daily_sharpe,2025-10-01,2025-12-31,2026-01-01,2026-01-31,,,,
a=120s | b=0.65x rolling sigma | c=1200s | d=21600s | reversal | exit_by_midnight,120,0.65,1200,21600,63,reversal,4.217005609525626,242.21580000000029,3.145659740259744,4.217005609525626,0.0,-13.493599999999958,0.12987012987012986,0.14285714285714285,77,11,0.9090909090909091,22.019618181818206,18.95042094029631,5,6,0.14285714285714285,3,3,1.0,139.3181999999996,0.5751821309757639,67.45159999999957,0.278477291737366,174.7642000000007,67.45159999999957,174.7642000000007,3.9042324665312367,-13.493599999999958,10,0.9,13.951636331296873,mid_dynamic_cost_train_daily_sharpe,Train Sharpe selector,mid_dynamic_cost,train_daily_sharpe,2025-10-01,2025-12-31,2026-01-01,2026-01-31,,,,
a=300s | b=0.6x rolling sigma | c=900s | d=21600s | reversal | exit_by_midnight,300,0.6,900,21600,63,reversal,4.212442787923741,236.28619999999978,3.0686519480519454,4.212442787923741,7.583609923857654,-14.628199999999879,0.11688311688311688,0.16883116883116883,77,13,0.6923076923076923,18.175861538461522,10.59311918411039,7,6,0.16883116883116883,3,3,1.0,108.31219999999995,0.4583941000363121,58.446999999999946,0.24735680712627314,177.83919999999983,58.446999999999946,177.83919999999983,3.8035383141062997,-14.628199999999893,12,0.6666666666666666,8.220195852347036,mid_dynamic_cost_train_daily_sharpe,Train Sharpe selector,mid_dynamic_cost,train_daily_sharpe,2025-10-01,2025-12-31,2026-01-01,2026-01-31,,,,
a=300s | b=0.55x rolling sigma | c=900s | d=21600s | reversal | exit_by_midnight,300,0.55,900,21600,63,reversal,4.165705908030694,238.7527999999995,3.100685714285708,4.165705908030694,6.4043166006548775,-17.592600000000573,0.14285714285714285,0.18181818181818182,77,14,0.7857142857142857,17.05377142857139,9.651968458281921,7,7,0.18181818181818182,3,3,1.0,112.31560000000198,0.4704263154191374,61.94860000000102,0.25946753294621533,176.80419999999847,61.94860000000102,176.80419999999845,3.7691840762514577,-17.592600000000573,13,0.7692307692307693,7.407063547283032,mid_dynamic_cost_train_daily_sharpe,Train Sharpe selector,mid_dynamic_cost,train_daily_sharpe,2025-10-01,2025-12-31,2026-01-01,2026-01-31,,,,
a=120s | b=0.6x rolling sigma | c=900s | d=21600s | reversal | exit_by_midnight,120,0.6,900,21600,63,reversal,4.15809720859638,281.78800000000035,3.65958441558442,4.15809720859638,9.992735060776958,-15.000600000000134,0.11688311688311688,0.16883116883116883,77,13,0.6923076923076923,21.676000000000027,18.981723970697566,7,6,0.16883116883116883,3,3,1.0,149.3061999999996,0.5298529390889584,67.47900000000028,0.23946725907419833,214.30900000000008,67.47900000000028,214.30900000000003,3.720770939503157,-15.000600000000134,12,0.6666666666666666,14.675689818005793,mid_dynamic_cost_train_daily_sharpe,Train Sharpe selector,mid_dynamic_cost,train_daily_sharpe,2025-10-01,2025-12-31,2026-01-01,2026-01-31,,,,
a=90s | b=0.65x rolling sigma | c=1200s | d=21600s | reversal | exit_by_midnight,90,0.65,1200,21600,63,reversal,4.097466479399756,254.21900000000073,3.301545454545464,4.097466479399756,10.653334812803182,-12.494000000000142,0.11688311688311688,0.14285714285714285,77,11,0.8181818181818182,23.11081818181825,15.099308952557989,5,6,0.14285714285714285,3,3,1.0,142.31920000000042,0.5598291237082988,68.4526000000008,0.26926626255315533,185.76639999999992,68.4526000000008,185.76639999999998,3.7006867019788836,-12.494000000000142,10,0.8,11.302840726320442,mid_dynamic_cost_train_daily_sharpe,Train Sharpe selector,mid_dynamic_cost,train_daily_sharpe,2025-10-01,2025-12-31,2026-01-01,2026-01-31,,,,
a=180s | b=0.55x rolling sigma | c=900s | d=21600s | reversal | exit_by_midnight,180,0.55,900,21600,63,reversal,4.0856746754470405,279.76099999999843,3.63325974025972,4.0856746754470405,10.160562270369384,-14.629000000001298,0.12987012987012986,0.18181818181818182,77,14,0.7142857142857143,19.98292857142846,12.357808668538237,7,7,0.18181818181818182,3,3,1.0,131.3153999999989,0.46938422439153293,76.95399999999945,0.2750705066109997,202.806999999999,76.95399999999945,202.80699999999896,3.6998615820761858,-14.629000000001312,13,0.6923076923076923,9.233610484092608,mid_dynamic_cost_train_daily_sharpe,Train Sharpe selector,mid_dynamic_cost,train_daily_sharpe,2025-10-01,2025-12-31,2026-01-01,2026-01-31,,,,
a=180s | b=0.25x rolling sigma | c=1800s | d=21600s | continuation | exit_by_midnight,180,0.25,1800,21600,63,continuation,4.045010894175967,918.6194000000025,11.93012207792211,4.045010894175967,8.425841665855465,-154.79940000000013,0.5324675324675324,0.8441558441558441,77,65,0.6307692307692307,14.132606153846192,2.08100696979411,25,40,0.8441558441558441,3,3,1.0,613.5622000000068,0.6679177470016473,165.92140000000023,0.18062039621632178,752.6980000000024,165.92140000000023,752.6980000000023,3.581579822058623,-154.79940000000013,64,0.625,1.8857550625972916,mid_dynamic_cost_train_daily_sharpe,Train Sharpe selector,mid_dynamic_cost,train_daily_sharpe,2025-10-01,2025-12-31,2026-01-01,2026-01-31,,,,
a=60s | b=0.65x rolling sigma | c=900s | d=1800s | reversal | exit_by_midnight,60,0.65,900,1800,63,reversal,4.01532086543787,199.3420000000026,2.5888571428571767,4.01532086543787,5.43464844142924,-16.055399999999224,0.09090909090909091,0.12987012987012986,77,10,0.7,19.93420000000026,9.840705688258943,4,6,0.12987012987012986,3,3,1.0,102.90680000000111,0.5162324046111696,48.01980000000097,0.24089153314404563,151.32220000000163,48.01980000000097,151.32220000000163,3.5485011227637715,-22.548199999999127,9,0.6666666666666666,7.71105454093895,mid_dynamic_cost_train_daily_sharpe,Train Sharpe selector,mid_dynamic_cost,train_daily_sharpe,2025-10-01,2025-12-31,2026-01-01,2026-01-31,,,,
a=60s | b=0.55x rolling sigma | c=900s | d=21600s | reversal | exit_by_midnight,60,0.55,900,21600,63,reversal,4.009776283939462,260.7530000000008,3.3864025974026077,4.009776283939462,12.409987973631605,-14.136800000000335,0.12987012987012986,0.18181818181818182,77,14,0.7142857142857143,18.625214285714343,10.609258686005901,7,7,0.18181818181818182,3,3,1.0,115.87800000000037,0.44439757164826493,66.59540000000048,0.2553964863299762,194.1576000000003,66.59540000000048,194.15760000000031,3.5580903686216567,-14.136800000000349,13,0.6923076923076923,8.15508778136418,mid_dynamic_cost_train_daily_sharpe,Train Sharpe selector,mid_dynamic_cost,train_daily_sharpe,2025-10-01,2025-12-31,2026-01-01,2026-01-31,,,,
a=120s | b=0.55x rolling sigma | c=900s | d=21600s | reversal | exit_by_midnight,120,0.55,900,21600,63,reversal,4.007487741956262,271.7669999999972,3.529441558441522,4.007487741956262,6.332436186390778,-20.49079999999998,0.12987012987012986,0.18181818181818182,77,14,0.7142857142857143,19.411928571428373,10.161076540346222,7,7,0.18181818181818182,3,3,1.0,146.81199999999833,0.5402127557797667,68.95219999999964,0.25371807467426266,202.81479999999758,68.95219999999964,202.81479999999755,3.5529303486804267,-20.49079999999998,13,0.6923076923076923,7.8367458385860145,mid_dynamic_cost_train_daily_sharpe,Train Sharpe selector,mid_dynamic_cost,train_daily_sharpe,2025-10-01,2025-12-31,2026-01-01,2026-01-31,,,,
a=180s | b=0.6x rolling sigma | c=900s | d=21600s | reversal | exit_by_midnight,180,0.6,900,21600,63,reversal,3.9304563781959665,265.2938000000004,3.4453740259740306,3.9304563781959665,8.227592275962513,-20.62860000000012,0.11688311688311688,0.16883116883116883,77,13,0.6923076923076923,20.40721538461542,9.66090130324591,7,6,0.16883116883116883,3,3,1.0,123.31440000000052,0.4648220199642824,71.95219999999975,0.27121704314235634,193.34160000000062,71.95219999999975,193.34160000000065,3.480498003640837,-20.628600000000105,12,0.6666666666666666,7.311917260831764,mid_dynamic_cost_train_daily_sharpe,Train Sharpe selector,mid_dynamic_cost,train_daily_sharpe,2025-10-01,2025-12-31,2026-01-01,2026-01-31,,,,
a=300s | b=0.25x rolling sigma | c=1800s | d=21600s | continuation | exit_by_midnight,300,0.25,1800,21600,63,continuation,3.923036146962728,887.6377999999871,11.527763636363469,3.923036146962728,8.352006605036493,-143.29440000000068,0.5194805194805194,0.8441558441558441,77,65,0.6153846153846154,13.655966153845956,2.019265783248718,25,40,0.8441558441558441,3,3,1.0,629.5581999999943,0.7092512283726576,162.9226000000001,0.18354626177479424,724.715199999987,162.9226000000001,724.715199999987,3.4536200163387694,-199.93420000000287,64,0.609375,1.832183358978458,mid_dynamic_cost_train_daily_sharpe,Train Sharpe selector,mid_dynamic_cost,train_daily_sharpe,2025-10-01,2025-12-31,2026-01-01,2026-01-31,,,,
