run_key,run_label,fill_model,selector_kind,month,month_pnl_cents,month_share_of_total,trades
mid_dynamic_cost_robust_top_trade_neutral,Robust top-trade-neutral selector,mid_dynamic_cost,robust_top_trade_neutral,2025-07,210.51620000000398,0.5999332002277694,7
mid_dynamic_cost_robust_top_trade_neutral,Robust top-trade-neutral selector,mid_dynamic_cost,robust_top_trade_neutral,2025-08,-66.55080000000297,-0.18965777655933017,5
mid_dynamic_cost_robust_top_trade_neutral,Robust top-trade-neutral selector,mid_dynamic_cost,robust_top_trade_neutral,2025-09,-113.80099999999887,-0.3243123242729938,7
mid_dynamic_cost_robust_top_trade_neutral,Robust top-trade-neutral selector,mid_dynamic_cost,robust_top_trade_neutral,2025-10,-176.07640000000083,-0.5017859819652042,21
mid_dynamic_cost_robust_top_trade_neutral,Robust top-trade-neutral selector,mid_dynamic_cost,robust_top_trade_neutral,2025-11,120.3144000000011,0.3428743394830575,6
mid_dynamic_cost_robust_top_trade_neutral,Robust top-trade-neutral selector,mid_dynamic_cost,robust_top_trade_neutral,2025-12,-9.495200000000029,-0.027059607397447918,1
mid_dynamic_cost_robust_top_trade_neutral,Robust top-trade-neutral selector,mid_dynamic_cost,robust_top_trade_neutral,2026-01,-52.99319999999929,-0.1510210618769919,11
mid_dynamic_cost_robust_top_trade_neutral,Robust top-trade-neutral selector,mid_dynamic_cost,robust_top_trade_neutral,2026-02,20.808400000000574,0.05930018689117334,7
mid_dynamic_cost_robust_top_trade_neutral,Robust top-trade-neutral selector,mid_dynamic_cost,robust_top_trade_neutral,2026-03,216.75839999999403,0.6177223443528094,19
actual_bid_ask_train_total_pnl,Train PnL selector,actual_bid_ask,train_total_pnl,2025-04,157.00000000000074,-0.12575932196981776,14
actual_bid_ask_train_total_pnl,Train PnL selector,actual_bid_ask,train_total_pnl,2025-05,-536.0,0.429343927234535,4
actual_bid_ask_train_total_pnl,Train PnL selector,actual_bid_ask,train_total_pnl,2025-06,138.00000000000097,-0.11054004096710121,14
