run_key,run_label,fill_model,selector_kind,test_start,signal_time_dubai,entry_time_dubai,exit_time_dubai,side,fill_source,selected_symbol,move_cents,threshold_cents,entry_price,exit_price,net_pnl_cents,abs_pnl_cents,selected_params
mid_dynamic_cost_train_daily_sharpe,Train Sharpe selector,mid_dynamic_cost,train_daily_sharpe,2026-03-01,2026-03-23 19:05:18,2026-03-23 19:06:18,2026-03-23 23:06:18,-1,synthetic_dynamic_cost,%BRN 1!-ICE,-259.00000000000034,251.92918203024286,107.61,98.14,942.6955999999999,942.6955999999999,a=60s | b=0.85x rolling sigma | c=3600s | d=14400s | continuation | exit_by_midnight
mid_dynamic_cost_train_daily_sharpe,Train Sharpe selector,mid_dynamic_cost,train_daily_sharpe,2026-03-01,2026-03-09 12:04:25,2026-03-09 12:05:25,2026-03-09 16:05:25,1,synthetic_dynamic_cost,%BRN 1!-ICE,185.00000000000085,176.0588204934557,115.82,106.76,-910.6327999999988,910.6327999999988,a=60s | b=0.85x rolling sigma | c=3600s | d=14400s | continuation | exit_by_midnight
mid_dynamic_cost_train_daily_sharpe,Train Sharpe selector,mid_dynamic_cost,train_daily_sharpe,2026-03-01,2026-03-10 12:00:06,2026-03-10 12:01:06,2026-03-10 16:01:06,1,synthetic_dynamic_cost,%BRN 1!-ICE,175.9999999999991,173.78996819156103,94.12,89.64,-451.7648000000004,451.7648000000004,a=60s | b=0.85x rolling sigma | c=3600s | d=14400s | continuation | exit_by_midnight
mid_dynamic_cost_train_daily_sharpe,Train Sharpe selector,mid_dynamic_cost,train_daily_sharpe,2026-03-01,2026-03-19 16:50:55,2026-03-19 16:51:55,2026-03-19 20:51:55,1,synthetic_dynamic_cost,%BRN 1!-ICE,246.9999999999999,245.01385486580298,116.75,113.2,-359.66999999999973,359.66999999999973,a=60s | b=0.85x rolling sigma | c=3600s | d=14400s | continuation | exit_by_midnight
mid_dynamic_cost_train_daily_sharpe,Train Sharpe selector,mid_dynamic_cost,train_daily_sharpe,2026-03-01,2026-03-03 15:51:24,2026-03-03 15:52:24,2026-03-03 19:52:24,1,synthetic_dynamic_cost,%BRN 1!-ICE,125.99999999999909,125.87277275491067,81.16,84.26,306.75360000000086,306.75360000000086,a=60s | b=0.85x rolling sigma | c=3600s | d=14400s | continuation | exit_by_midnight
mid_dynamic_cost_train_daily_sharpe,Train Sharpe selector,mid_dynamic_cost,train_daily_sharpe,2026-03-01,2026-03-11 12:00:12,2026-03-11 12:01:12,2026-03-11 16:01:12,-1,synthetic_dynamic_cost,%BRN 1!-ICE,-177.00000000000102,176.88032177463725,86.9,89.81,-294.47599999999966,294.47599999999966,a=60s | b=0.85x rolling sigma | c=3600s | d=14400s | continuation | exit_by_midnight
mid_dynamic_cost_train_daily_sharpe,Train Sharpe selector,mid_dynamic_cost,train_daily_sharpe,2026-03-01,2026-03-06 17:45:45,2026-03-06 17:46:45,2026-03-06 21:46:45,1,synthetic_dynamic_cost,%BRN 1!-ICE,148.9999999999995,147.73752019965323,87.1,89.84,270.51600000000093,270.51600000000093,a=60s | b=0.85x rolling sigma | c=3600s | d=14400s | continuation | exit_by_midnight
mid_dynamic_cost_train_daily_sharpe,Train Sharpe selector,mid_dynamic_cost,train_daily_sharpe,2026-03-01,2026-03-18 20:21:55,2026-03-18 20:22:55,2026-03-19 00:00:00,1,synthetic_dynamic_cost,%BRN 1!-ICE,228.0000000000001,225.72784487214278,106.12,108.61,244.7551999999995,244.7551999999995,a=60s | b=0.85x rolling sigma | c=3600s | d=14400s | continuation | exit_by_midnight
mid_dynamic_cost_train_daily_sharpe,Train Sharpe selector,mid_dynamic_cost,train_daily_sharpe,2026-03-01,2026-03-04 17:30:40,2026-03-04 17:31:40,2026-03-04 21:31:40,-1,synthetic_dynamic_cost,%BRN 1!-ICE,-134.00000000000034,131.21587645956072,83.3,81.29,197.6679999999991,197.6679999999991,a=60s | b=0.85x rolling sigma | c=3600s | d=14400s | continuation | exit_by_midnight
mid_dynamic_cost_train_daily_sharpe,Train Sharpe selector,mid_dynamic_cost,train_daily_sharpe,2026-03-01,2026-03-13 17:00:26,2026-03-13 17:01:26,2026-03-13 21:01:26,-1,synthetic_dynamic_cost,%BRN 1!-ICE,-221.0000000000008,215.6947927035439,100.58,98.59,194.97679999999949,194.97679999999949,a=60s | b=0.85x rolling sigma | c=3600s | d=14400s | continuation | exit_by_midnight
